date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,48097000000.0,45764000000.0,43634000000.0,41581000000.0,29003000000.0,9754000000.0,9108000000.0,8155000000.0,7504000000.0,7204000000.0,7059000000.0,6755000000.0,6479000000.0,6002000000.0,5504000000.0,5254000000.0,4977000000.0,4819000000.0,4566000000.0,3953132000.0,3249222000.0,1428244000.0,13713000.0
,costOfRevenue,29930000000.0,29224000000.0,27860000000.0,26541000000.0,18655000000.0,6426000000.0,5973000000.0,5345000000.0,4860000000.0,3138000000.0,3064000000.0,2909000000.0,2792000000.0,2620000000.0,2438000000.0,2293000000.0,2080000000.0,1952000000.0,1804000000.0,2110043000.0,794597000.0,0.0,0.0
,grossProfit,18167000000.0,16540000000.0,15774000000.0,15040000000.0,10348000000.0,3328000000.0,3135000000.0,2810000000.0,2644000000.0,4066000000.0,3995000000.0,3846000000.0,3687000000.0,3382000000.0,3066000000.0,2961000000.0,2897000000.0,2867000000.0,2762000000.0,1843089000.0,2454625000.0,0.0,0.0
,grossProfitRatio,0.377715865854419,0.361419456341229,0.361507081633588,0.361703662730574,0.356790676826535,0.341193356571663,0.344202898550725,0.344573881054568,0.352345415778252,0.564408661854525,0.565944184728715,0.569356032568468,0.569069300818027,0.563478840386538,0.557049418604651,0.563570612866388,0.582077556761101,0.594936708860759,0.604905825667981,0.466235126982858,0.755450073894612,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,351000000.0,315000000.0,285000000.0,261000000.0,-899000000.0,78000000.0,55000000.0,48000000.0,0.0,0.0,0.0,1380000000.0,0.0,0.0,0.0,0.0,0.0,0.0,897000000.0,11247000.0,952977000.0,817936000.0,7979000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74000000.0,0.0,0.0,0.0,0.0
,otherExpenses,-97000000.0,-204000000.0,115000000.0,-17000000.0,-14000000.0,-7000000.0,0.0,-16000000.0,-1000000.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,9704000000.0,9926000000.0,10318000000.0,10588000000.0,6008000000.0,2125000000.0,2102000000.0,1854000000.0,1713000000.0,3025000000.0,2946000000.0,-7005000000.0,2724000000.0,2834000000.0,2699000000.0,2618000000.0,4943000000.0,2351000000.0,7046000000.0,3038944000.0,3426059000.0,1563251000.0,16297000.0
,costAndExpenses,39634000000.0,39150000000.0,38178000000.0,37129000000.0,24663000000.0,8551000000.0,8075000000.0,7199000000.0,6573000000.0,6163000000.0,6010000000.0,-4096000000.0,5516000000.0,5454000000.0,5137000000.0,4911000000.0,7023000000.0,4303000000.0,8850000000.0,5148987000.0,4220656000.0,1563251000.0,16297000.0
,interestExpense,3848000000.0,3797000000.0,3540000000.0,3090000000.0,2499000000.0,1306000000.0,911000000.0,846000000.0,907000000.0,963000000.0,877000000.0,-68000000.0,1903000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477799000.0,2353000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,9704000000.0,9926000000.0,10318000000.0,10588000000.0,6907000000.0,2125000000.0,2102000000.0,1854000000.0,1713000000.0,1592000000.0,1524000000.0,1316000000.0,1310000000.0,1328000000.0,1354000000.0,1499000000.0,1495000000.0,1479000000.0,1437000000.0,3010068000.0,2473082000.0,745315000.0,8318000.0
,EBITDA,18167000000.0,16540000000.0,15774000000.0,15040000000.0,11247000000.0,3328000000.0,3135000000.0,2810000000.0,2644000000.0,2633000000.0,2573000000.0,12167000000.0,2273000000.0,1876000000.0,1721000000.0,1842000000.0,-551000000.0,1995000000.0,-2847000000.0,1814213000.0,1501648000.0,610308000.0,5734000.0
,EBITDARatio,0.377715865854419,0.361419456341229,0.361507081633588,0.361703662730574,0.387787470261697,0.341193356571663,0.344202898550725,0.344573881054568,0.352345415778252,0.365491393670183,0.364499220852812,1.80118430792006,0.35082574471369,0.312562479173609,0.312681686046512,0.350590026646365,-0.110709262607997,0.413986304212492,-0.623521681997372,0.45893053912695,0.46215617153891,0.427313540263428,0.41814336760738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,8463000000.0,6614000000.0,5456000000.0,4452000000.0,4340000000.0,1203000000.0,1033000000.0,956000000.0,931000000.0,1041000000.0,1049000000.0,10851000000.0,963000000.0,548000000.0,367000000.0,343000000.0,-2046000000.0,516000000.0,-4284000000.0,-1195855000.0,-971434000.0,-135007000.0,-2584000.0
