Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,1995-12,1994-12,1993-12,1992-12,1991-12
Depreciation & Amortization,-36343000.0,-66619000.0,-72948000.0,-32267000.0,2000000.0,4000000.0,5000000.0,3000000.0,4000000.0
Stock-based compensation,3999000.0,3995000.0,4021000.0,4514000.0,,,,,
Operating Cash Flow,249704000.0,167867000.0,257607000.0,218037000.0,7000000.0,8000000.0,6000000.0,6000000.0,8000000.0
Capital Expenditure,0.0,0.0,0.0,0.0,-2000000.0,-2000000.0,-1000000.0,-1000000.0,-1000000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,,,,,
Investment purchases and sales,-347000.0,36485000.0,-42003000.0,-1952000.0,0,0,0,0,0
Investing Cash flow,-498473000.0,1398924000.0,229645000.0,-77704000.0,-6000000.0,-5000000.0,18000000.0,-5000000.0,-4000000.0
Issuance (repayment) of debt,-1.46604658e+11,-1.01576719e+11,-92192394000.0,-81587031000.0,,,,,
Issuance (buybacks) of shares,27439000.0,-5509000.0,-9982000.0,-1952000.0,,,,,
Dividend payments,-174171000.0,-173772000.0,-191866000.0,-221659000.0,,,,,
Financing Cash Flow,251641000.0,-1575513000.0,-481593000.0,-141002000.0,-1000000.0,-7000000.0,-7000000.0,-2000000.0,-4000000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,,,,,
Net cash flow / Change in cash,2872000.0,-8722000.0,5659000.0,-669000.0,-0000000.0,-4000000.0,17000000.0,-1000000.0,-0000000.0
Free Cash Flow,249704000.0,167867000.0,257607000.0,218037000.0,5000000.0,6000000.0,5000000.0,5000000.0,7000000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,,,,,
