date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,3974988000.0,3866956000.0,3598484000.0,3373387000.0,2960896000.0,2631417000.0
,costOfRevenue,3035003000.0,2791414000.0,2513857000.0,2287662000.0,1944050000.0,1742478000.0
,grossProfit,939985000.0,1075542000.0,1084627000.0,1085725000.0,1016846000.0,888939000.0
,grossProfitRatio,0.236474927723052,0.278136601502577,0.301412205806667,0.321850116811383,0.343425098348608,0.337817609295676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-9432000.0,-8509000.0,36530000.0,27617000.0,91377000.0,-63860000.0
,operatingExpenses,576568000.0,513526000.0,510075000.0,626153000.0,557077000.0,468152000.0
,costAndExpenses,3611571000.0,3304940000.0,3023932000.0,2913815000.0,2501127000.0,2210630000.0
,interestExpense,156391000.0,157017000.0,153925000.0,158251000.0,173298000.0,218877000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,414621000.0,413344000.0,400871000.0,413986000.0,351480000.0,289630000.0
,EBITDA,778038000.0,975360000.0,975423000.0,873558000.0,811249000.0,710417000.0
,EBITDARatio,0.195733421082026,0.252229402144736,0.271064981809006,0.258955761672171,0.273987671299499,0.26997507426607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,363417000.0,562016000.0,574552000.0,459572000.0,459769000.0,420787000.0
,operatingIncomeRatio,0.0914259363801853,0.145338090218766,0.159665014489435,0.136234591524779,0.155280361079889,0.159908900793755
,totalOtherIncomeExpensesNet,-7388000.0,-6586000.0,-43014000.0,26714000.0,67436000.0,-84758000.0
,incomeBeforeTax,199638000.0,398413000.0,377613000.0,328035000.0,353907000.0,117152000.0
,incomeBeforeTaxRatio,0.0502235478446727,0.103030135331253,0.104936690006125,0.0972420300428027,0.119526994531385,0.0445204997915572
,incomeTaxExpense,35326000.0,57492000.0,128037000.0,86645000.0,119352000.0,6279000.0
,netIncome,158592000.0,337531000.0,242531000.0,242562000.0,545482000.0,69223000.0
,netIncomeRatio,0.0398974789357855,0.0872859686016598,0.0673981043128162,0.0719045872886805,0.184228692936192,0.0263063588933263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.578448250707595,1.23,0.875901521526366,0.87,2.0,0.24
,EPSDiluted,0.574157274896187,1.22,0.87141060649612,0.86,1.95,0.23
,weightedAverageShsOut,274168000.0,275235000.0,276893000.0,277546000.0,273139000.0,238633000.0
,weightedAverageShsOutDil,276217000.0,277518000.0,278320000.0,282752000.0,280067000.0,246747000.0
