date,,2020-12-27_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2016-12-25_FY,2015-12-27_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-25_FY,2010-12-26_FY,2009-09-26_FY,2008-12-11_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-10-01_FY,2004-10-02_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-10-02_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-10-01_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,95070000.0,455924000.0,247945000.0,718065000.0,440532000.0,645914000.0,711648000.0,550000000.0,174000000.0,-497000000.0,87000000.0,-152000000.0,-998581000.0,-999000000.0,47000000.0,-34232000.0,265000000.0,128000000.0,56000000.0,14000000.0,41000000.0,52344000.0,65000000.0,50000000.0,41000000.0,-7000000.0,-8000000.0,31000000.0
,depreciationAndAmortization,337104000.0,287230000.0,279657000.0,277792000.0,231708000.0,173817000.0,155824000.0,150500000.0,147400000.0,209100000.0,231000000.0,236000000.0,240305000.0,240300000.0,204900000.0,135133000.0,134900000.0,113800000.0,74200000.0,71000000.0,55400000.0,36027000.0,34500000.0,32600000.0,29800000.0,28000000.0,26100000.0,25200000.0
,deferredIncomeTax,37337000.0,42478000.0,32540000.0,-49963000.0,-5034000.0,19872000.0,78943000.0,-5000000.0,-1100000.0,-7100000.0,-69300000.0,-21500000.0,-195944000.0,-195900000.0,83900000.0,20455000.0,2200000.0,3300000.0,-5600000.0,-1800000.0,12700000.0,444000.0,-5600000.0,600000.0,2600000.0,-400000.0,3800000.0,6700000.0
,stockBasedCompensation,-276000.0,10132000.0,13153000.0,3020000.0,6102000.0,2975000.0,4928000.0,3345000.0,567000.0,567000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,15050000.0,11647000.0,-125331000.0,439037000.0,-274536000.0,-238913000.0,292577000.0,33100000.0,65500000.0,-224900000.0,113900000.0,2120242000.0,58000.0,-1641400000.0,-149737000.0,124237000.0,20900000.0,172600000.0,32100000.0,-24400000.0,78869000.0,-29669000.0,7200000.0,13500000.0,45000000.0,100000.0,-11300000.0,27000000.0
,accountsReceivables,29154000.0,-25000000.0,-10918000.0,0.0,35617000.0,61294000.0,-9526000.0,7235000.0,-63987000.0,-63987000.0,-9045000.0,-173915000.0,-19864000.0,-100000.0,247217000.0,0.0,21192000.0,-70936000.0,-41673000.0,9700000.0,-44700000.0,0.0,-2600000.0,-3800000.0,-12100000.0,-5900000.0,0.0,6300000.0
,inventory,26041000.0,-111748000.0,83174000.0,-207399000.0,-11905000.0,57078000.0,10638000.0,142675000.0,122827000.0,122827000.0,-285839000.0,284678000.0,-103937000.0,-74300000.0,-129645000.0,-58612000.0,82669000.0,-73445000.0,-14089000.0,-12400000.0,-133200000.0,-13202000.0,-26300000.0,4500000.0,-9300000.0,-26500000.0,-4300000.0,-8900000.0
,accountsPayables,295327000.0,119892000.0,86834000.0,0.0,38427000.0,61882000.0,44833000.0,49625000.0,-7274000.0,-7274000.0,-91119000.0,-101255000.0,-71293000.0,23400000.0,-5097000.0,0.0,-38861000.0,150240000.0,18157000.0,-12600000.0,-46200000.0,0.0,-11500000.0,1100000.0,200000.0,-15700000.0,0.0,-400000.0
,otherWorkingCapital,965131000.0,950081000.0,938434000.0,1063765000.0,624728000.0,899264000.0,1138177000.0,845600000.0,812500000.0,747000000.0,971900000.0,858000000.0,-1262242000.0,-1262300000.0,379100000.0,528837000.0,404600000.0,383700000.0,211100000.0,179000000.0,203400000.0,124531000.0,154200000.0,147000000.0,133500000.0,88500000.0,88400000.0,99700000.0
,otherNonCashItems,0.0,-57542000.0,35934000.0,-180000.0,-1570000.0,-2584000.0,43893000.0,13600000.0,4000000.0,29600000.0,51500000.0,-20900000.0,0.0,499800000.0,9100000.0,3767000.0,4300000.0,51000000.0,600000.0,-100000.0,1700000.0,0.0,3800000.0,500000.0,800000.0,5400000.0,1400000.0,2100000.0
,netCashProvidedByOperatingActivites,0.0,666521000.0,491650000.0,801321000.0,795362000.0,1020380000.0,1066692000.0,878500000.0,199600000.0,-129000000.0,14600000.0,75000000.0,-680726000.0,-680700000.0,464000000.0,30382000.0,493100000.0,272400000.0,98900000.0,98100000.0,87800000.0,130803000.0,81500000.0,85000000.0,49600000.0,11400000.0,32700000.0,60700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-354762000.0,-348120000.0,-348666000.0,-339872000.0,-272500000.0,-175764000.0,-171443000.0,-116223000.0,135968000.0,-135968000.0,-179332000.0,-88193000.0,-152501000.0,-152500000.0,-172323000.0,-143882000.0,-116588000.0,-79642000.0,-53574000.0,-80400000.0,-112600000.0,0.0,-69600000.0,-53500000.0,-50200000.0,-34300000.0,-64700000.0,-25500000.0
,acquisitionsNet,-4000000.0,-384694000.0,0.0,-659000000.0,0.0,-373532000.0,0.0,0.0,0.0,37000000.0,0.0,0.0,0.0,0.0,-1102069000.0,0.0,0.0,-272097000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-99233000.0,-55100000.0,-96902000.0,-4596000.0,-4596000.0,-17201000.0,-19958000.0,-38043000.0,0.0,-125045000.0,-318266000.0,-305458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,152050000.0,0.0,15852000.0,15852000.0,68100000.0,18946000.0,27545000.0,0.0,208676000.0,490764000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,15753000.0,9775000.0,1845000.0,10838000.0,113843000.0,11108000.0,0.0,-205413000.0,-69445000.0,0.0,0.0,0.0,0.0,0.0,-506000.0,0.0,0.0,0.0,0.0,0.0,-6055000.0,0.0,0.0,0.0,0.0,-7400000.0,0.0
