date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-803692000.0,-425703000.0,-321421000.0,5910000.0,-318634000.0,-294486000.0,162664000.0,188009000.0,299477000.0,322413000.0,116942000.0,-38290000.0,347069000.0,438639000.0,673254000.0,372740000.0,108733000.0,55326000.0,2169000.0,164162000.0,23754000.0,-9100000.0,-300000.0,22200000.0,4300000.0,1900000.0,2500000.0,1600000.0,100000.0
,depreciationAndAmortization,670910000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249206000.0,196370000.0,159218000.0,120617000.0,97998000.0,91216000.0,86159000.0,33133000.0,28200000.0,28100000.0,17500000.0,10000000.0,5300000.0,2900000.0,2300000.0,1800000.0
,deferredIncomeTax,-125283000.0,-103202000.0,-41185000.0,-330346000.0,-157028000.0,-101235000.0,43673000.0,50569000.0,159152000.0,158967000.0,147490000.0,101443000.0,66039000.0,38271000.0,-3708000.0,17101000.0,23473000.0,17274000.0,23548000.0,14560000.0,15941000.0,-7100000.0,6500000.0,2500000.0,-2400000.0,-200000.0,-400000.0,0.0,0.0
,stockBasedCompensation,26572000.0,39328000.0,37925000.0,44483000.0,28324000.0,28510000.0,27032000.0,25891000.0,23185000.0,20904000.0,16779000.0,18214000.0,20131000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-26979000.0,-192668000.0,223276000.0,182099000.0,-159898000.0,-162284000.0,-113685000.0,114245000.0,-6110000.0,104793000.0,-22515000.0,-74801000.0,111184000.0,-107475000.0,-47396000.0,145491000.0,37344000.0,31750000.0,57691000.0,-713000.0,110885000.0,11500000.0,-7600000.0,-9600000.0,-7300000.0,-1500000.0,-700000.0,-1000000.0,-600000.0
,accountsReceivables,173862000.0,213588000.0,23515000.0,-239482000.0,72327000.0,440884000.0,-214059000.0,12007000.0,52612000.0,-183165000.0,-178444000.0,213813000.0,-50567000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,27192000.0,29394000.0,-1470000.0,-23449000.0,5664000.0,40238000.0,-5737000.0,570000.0,5276000.0,-13491000.0,-8772000.0,14178000.0,5492000.0,4853000.0,-47406000.0,-9402000.0,-13556000.0,-196000.0,-222000.0,-3320000.0,-1520000.0,-700000.0,-1300000.0,-100000.0,-2500000.0,-700000.0,0.0,0.0,0.0
,accountsPayables,-48602000.0,-77686000.0,-69453000.0,104072000.0,12024000.0,-131649000.0,86621000.0,11331000.0,-25199000.0,41995000.0,49576000.0,-52673000.0,10341000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,204234000.0,231213000.0,423881000.0,200605000.0,18506000.0,178404000.0,340688000.0,454373000.0,340128000.0,346238000.0,241445000.0,263960000.0,338761000.0,227577000.0,335052000.0,382448000.0,236957000.0,199613000.0,167863000.0,110172000.0,110885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,1046000.0,1745000.0,2275000.0,2328000.0,1224000.0,550000.0,89000.0,308000.0,1213000.0,115461000.0,3939000.0,5967000.0,23223000.0,24917000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,-100000.0,0.0,-200000.0,-500000.0
,netCashProvidedByOperatingActivites,278858000.0,696203000.0,730670000.0,300711000.0,305034000.0,999437000.0,728726000.0,888871000.0,1005340000.0,868597000.0,525698000.0,453677000.0,675004000.0,812224000.0,837170000.0,460479000.0,222289000.0,161518000.0,131433000.0,254006000.0,49005000.0,24000000.0,30000000.0,34400000.0,4700000.0,5100000.0,4100000.0,2700000.0,1300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-145481000.0,-347512000.0,-641458000.0,-567087000.0,-119799000.0,-743776000.0,-1052341000.0,-662461000.0,-973988000.0,-1011578000.0,-738090000.0,-452646000.0,-448893000.0,-607686000.0,-597919000.0,-380094000.0,-191560000.0,-117095000.0,-83843000.0,-172850000.0,-57153000.0,-19100000.0,-79600000.0,-84300000.0,-24000000.0,-16500000.0,-9400000.0,-3800000.0,-2200000.0
,acquisitionsNet,0.0,0.0,-14000000.0,-502000000.0,0.0,0.0,-176000000.0,0.0,0.0,0.0,-238000000.0,0.0,0.0,-29000000.0,0.0,-74000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17659000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,1900000.0,0.0,0.0,0.0,200000.0
,otherInvestingActivites,0.0,45761000.0,71117000.0,60945000.0,21889000.0,20814000.0,33233000.0,10386000.0,66027000.0,0.0,0.0,0.0,11617000.0,0.0,0.0,1766000.0,-1766000.0,-40798000.0,1097000.0,-1101000.0,630000.0,-1200000.0,500000.0,0.0,0.0,-100000.0,100000.0,0.0,-100000.0
,netCashUsedForInvestingActivites,-124976000.0,-301764000.0,-584552000.0,-1010616000.0,-97755000.0,-722962000.0,-1195409000.0,-652075000.0,-907961000.0,-989083000.0,-946703000.0,-449287000.0,-437276000.0,-602462000.0,-586985000.0,-439231000.0,-222537000.0,-153345000.0,-98592000.0,-213755000.0,-73205000.0,-19100000.0,-77100000.0,-80100000.0,-20900000.0,-16200000.0,-9100000.0,-3600000.0,-800000.0
