date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,319000.0,806431000.0,17970000.0,21337000.0,123975000.0,38326000.0,36970000.0,81394000.0,27587000.0,12719000.0,16613000.0,10387000.0,9809000.0,19332000.0,30569000.0,23233346.0,13685822.0,12834279.0,19421765.0,18059999.0,7683396.0,1.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,15341000.0,13175000.0,7759000.0,6180000.0,3671000.0,8100000.0,7414000.0,6536000.0,8515000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-787829.0,-399278.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,108634000.0,25151000.0,29211000.0,75214000.0,23916000.0,4619000.0,9199000.0,3851000.0,1294000.0,0.0,30569000.0,23233346.0,0.0,12834279.0,0.0,0.0,8471225.0,399279.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.876257309941521,0.656238584772739,0.790127130105491,0.924073027495884,0.866930075760322,0.363157480934036,0.553722988021429,0.370751901415231,0.131919665613212,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.10253656065625,399279.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,323740000.0,231496000.0,115029000.0,70988000.0,66425000.0,88411000.0,100347000.0,66468000.0,54112000.0,58706000.0,75459000.0,110159000.0,204374000.0,149524000.0,103388000.0,79514020.0,57729138.0,50885417.0,44399136.0,22864250.0,12080204.0,8336483.0,2615526.0
,GeneralAndAdministrativeExpenses,103200000.0,77600000.0,47700000.0,30300000.0,31200000.0,36000000.0,34100000.0,31700000.0,26200000.0,24248000.0,27936000.0,25247000.0,30535000.0,26571000.0,18466000.0,12879578.0,10449281.0,8553910.0,7499011.0,5390446.0,2678980.0,1814023.0,728806.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,2421000.0,3061000.0,2872000.0,1740000.0,472000.0,1415000.0,-2374000.0,352000.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,426940000.0,323669000.0,162729000.0,101288000.0,97625000.0,124411000.0,134447000.0,98168000.0,81003000.0,83951000.0,105554000.0,138914000.0,237223000.0,177632000.0,123391000.0,94368933.0,71469425.0,64296634.0,55749208.0,33775266.0,19889909.0,10927893.0,0.0
,costAndExpenses,426940000.0,323669000.0,162729000.0,101288000.0,112966000.0,137586000.0,142206000.0,104348000.0,84674000.0,92051000.0,112968000.0,145450000.0,245738000.0,177632000.0,123391000.0,94368933.0,71469425.0,64296634.0,55749208.0,33775266.0,19102080.0,10528615.0,3344332.0
,interestExpense,4523000.0,4791000.0,5695000.0,6119000.0,6512000.0,6828000.0,6915000.0,7091000.0,9120000.0,14309000.0,21681000.0,18718000.0,0.0,0.0,1838000.0,1838843.0,0.0,37231.0,0.0,0.0,220483.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,3858000.0,3233000.0,3759000.0,4278000.0,9355000.0,10042000.0,9161000.0,8202000.0,691000.0,997000.0,2159000.0,3508000.0,2314000.0,1537000.0,1537000.0,1975335.0,3291006.0,4857307.0,3851061.0,5520570.0,5130725.0,777387.0,0.0
,EBITDA,-422763000.0,485995000.0,-141000000.0,-75673000.0,20364000.0,-89218000.0,-96075000.0,-14752000.0,-56396000.0,-78335000.0,-94196000.0,-131555000.0,-233615000.0,-156763000.0,-91285000.0,-69160252.0,-54492597.0,-46605048.0,-32476382.0,-10194697.0,-6287959.0,-9751227.0,-3344332.0
,EBITDARatio,-1325.27586206897,0.602649203713647,-7.84641068447412,-3.54656230960304,0.164258923169994,-2.32787141888013,-2.59872869894509,-0.181241860579404,-2.04429622648349,-6.15889613963362,-5.67001745620899,-12.6653509194185,-23.8163931083699,-8.10899027519139,-2.98619516503647,-2.9767667558517,-3.98168243018213,-3.63129459785002,-1.67216429608741,-0.564490452075883,-0.818382782821554,-9751227.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-426621000.0,482762000.0,-144759000.0,-79951000.0,11009000.0,-99260000.0,-105236000.0,-22954000.0,-57087000.0,-79332000.0,-96355000.0,-135063000.0,-235929000.0,-158300000.0,-92822000.0,-71135587.0,-57783603.0,-51462355.0,-36327443.0,-15715267.0,-11418684.0,-10528614.0,-3344332.0
,operatingIncomeRatio,-1337.36990595611,0.598640181243033,-8.05559265442404,-3.74705909921732,0.0888001613228473,-2.58988676094557,-2.84652420881796,-0.28201095903875,-2.06934425635263,-6.23728280525199,-5.79997592247035,-13.0030807740445,-24.0522989091651,-8.18849575832816,-3.03647486015244,-3.06178830203794,-4.22215070457587,-4.00975816405425,-1.87045013674092,-0.870169870995009,-1.48615065525713,-10528614.0,0.0
,totalOtherIncomeExpensesNet,15376000.0,3061000.0,2872000.0,-10235000.0,-27640000.0,-2083000.0,51597000.0,10502000.0,-19363000.0,-15700000.0,-6967000.0,-112000.0,-3339000.0,30000.0,-4279000.0,647106.0,191422.0,1984175.0,-817038.0,1538440.0,632726.0,9420.0,0.0
,incomeBeforeTax,-404734000.0,507888000.0,-138834000.0,-95813000.0,-22853000.0,-108013000.0,-60471000.0,-19454000.0,-85451000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,-1268.75862068966,0.629797217616882,-7.72587646076795,-4.49046257674462,-0.184335551522484,-2.81826958200699,-1.63567757641331,-0.239010246455513,-3.09750969659622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,0.0,110333000.0,-110265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
