date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY
,revenue,1467592000.0,2294352000.0,2451787000.0,2324623000.0,1974397000.0,2573260000.0,2937119000.0,3014357000.0,4159038000.0,4285895000.0,3186268000.0,2576081000.0,2983806000.0,2413644000.0,2500431000.0,2508773000.0,1907168000.0,1435488000.0,1534139000.0,1462478000.0,1391784000.0,1556300000.0,1498800000.0,1034800000.0,577200000.0,636000000.0,610100000.0,498300000.0,579700000.0,444000000.0,407400000.0,316400000.0,253800000.0,219900000.0
,costOfRevenue,1378479000.0,1985072000.0,2044765000.0,1965557000.0,1959293000.0,2585778000.0,2984941000.0,3089578000.0,3963521000.0,3267910000.0,2395812000.0,2070715000.0,2183922000.0,1888285000.0,1909822000.0,2174007000.0,1638284000.0,1418362000.0,1412541000.0,1336788000.0,1075669000.0,1226900000.0,1143600000.0,793300000.0,448400000.0,469700000.0,449900000.0,386100000.0,422800000.0,327100000.0,316400000.0,242700000.0,190600000.0,175500000.0
,grossProfit,89113000.0,309280000.0,407022000.0,359066000.0,15104000.0,-12518000.0,-47822000.0,-75221000.0,195517000.0,1017985000.0,790456000.0,505366000.0,799884000.0,525359000.0,590609000.0,334766000.0,268884000.0,17126000.0,121598000.0,125690000.0,316115000.0,329400000.0,355200000.0,241500000.0,128800000.0,166300000.0,160200000.0,112200000.0,156900000.0,116900000.0,91000000.0,73700000.0,63200000.0,44400000.0
,grossProfitRatio,0.060720554486533,0.134800588575772,0.166010342660272,0.154462035349388,0.00764993058640182,-0.00486464640184047,-0.0162819415897007,-0.0249542439730928,0.0470101499433282,0.237519817914345,0.248082082235393,0.196176284829553,0.268075069223669,0.217662173874855,0.236202878623725,0.133438138883032,0.140986006476619,0.011930437593348,0.0792613967834727,0.085943173162263,0.227129353405413,0.211655850414445,0.236989591673339,0.233378430614612,0.223146223146223,0.261477987421384,0.262579904933617,0.225165562913907,0.270657236501639,0.263288288288288,0.223367697594502,0.232932996207332,0.249014972419228,0.201909959072306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,82397000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62024000.0,53456000.0,67200000.0,69800000.0,28900000.0,26900000.0,27900000.0,33800000.0,35800000.0,32000000.0,23400000.0,20700000.0,18000000.0,11500000.0,10800000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-19971000.0,-2053000.0,-3202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
