date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,1854608000.0,2683810000.0,2721705000.0,2591265000.0,2702395000.0,2806204000.0,2961259000.0,2946190000.0,2946944000.0,3003874000.0,2797994000.0,2698024000.0,3289287000.0,3281836000.0,2897721000.0,2666078000.0,2447040000.0,2174597000.0,1859641000.0,1748030000.0
,costOfRevenue,1201208000.0,1452177000.0,1470668000.0,1402765000.0,1435569000.0,1494902000.0,1596888000.0,1594728000.0,1611262000.0,1638801000.0,1559972000.0,1625083000.0,1882136000.0,1734845000.0,1453100000.0,1342307000.0,1262317000.0,1133386000.0,957830000.0,0.0
,grossProfit,653400000.0,1231633000.0,1251037000.0,1188500000.0,1266826000.0,1311302000.0,1364371000.0,1351462000.0,1335682000.0,1365073000.0,1238022000.0,1072941000.0,1407151000.0,1546991000.0,1444621000.0,1323771000.0,1184723000.0,1041211000.0,901811000.0,0.0
,grossProfitRatio,0.35231164752875,0.458912143557107,0.45965194611466,0.45865629335479,0.468778990488067,0.467286768887793,0.460740178417356,0.458715154148239,0.453243088433306,0.454437503037744,0.442467710795663,0.397676595908709,0.427798182402448,0.471379739877313,0.49853695369568,0.496523732613975,0.484145334771806,0.478806417924793,0.484938221947139,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,579607000.0,665269000.0,675008000.0,652315000.0,632585000.0,647884000.0,679413000.0,667971000.0,682724000.0,631077000.0,602252000.0,549651000.0,677415000.0,604074000.0,614278000.0,602890000.0,499457000.0,456893000.0,392803000.0,355370000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,795414000.0,973431000.0,991462000.0,951915000.0,622021000.0,1028670000.0,1078397000.0,1048162000.0,1031045000.0,1071703000.0,1039593000.0,981067000.0,4367414000.0,1003557000.0,999162000.0,1000041000.0,941444000.0,890766000.0,790139000.0,1848793000.0
,costAndExpenses,1996622000.0,2425608000.0,2462130000.0,2354680000.0,2057590000.0,2523572000.0,2675285000.0,2642890000.0,2642307000.0,2710504000.0,2599565000.0,2606150000.0,6249550000.0,2738402000.0,2452262000.0,2342348000.0,2203761000.0,2024152000.0,1747969000.0,1848793000.0
,interestExpense,360259000.0,419518000.0,388133000.0,381149000.0,374892000.0,355669000.0,353265000.0,352783000.0,373876000.0,242435000.0,239453000.0,154919000.0,0.0,0.0,162583000.0,198354000.0,0.0,159849000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,269421000.0,309324000.0,318952000.0,325991000.0,344124000.0,375962000.0,406243000.0,403170000.0,399264000.0,432035000.0,413588000.0,439647000.0,472350000.0,399483000.0,407730000.0,400639000.0,388217000.0,379640000.0,336895000.0,559498000.0
,EBITDA,-11065000.0,437792000.0,521360000.0,-212794000.0,937122000.0,685736000.0,741131000.0,722302000.0,482939000.0,760712000.0,587117000.0,-422733000.0,-2599052000.0,792114000.0,845465000.0,706050000.0,295391000.0,516348000.0,-3296649000.0,216023000.0
,EBITDARatio,-0.00596622035492136,0.16312332095044,0.191556395715186,-0.0821197368852665,0.34677462029052,0.244364272875386,0.250275642893783,0.245164772129428,0.163877901989315,0.253243644706802,0.209834974628252,-0.156682446116121,-0.790156650970256,0.241363066283629,0.291768945319442,0.264827210606741,0.12071359683536,0.237445374936138,-1.77273409222533,0.123580830992603
