date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,revenue,3964200000.0,3802100000.0,3145900000.0,5008500000.0,5215400000.0,5815900000.0,5963000000.0,5543400000.0,4480716000.0,3477782000.0,0.0,0.0,0.0,0.0,0.0,109896000.0,367528000.0,181429000.0,117008000.0,98836000.0,84140000.0,93700000.0,25800000.0,133600000.0,117600000.0,95700000.0,103100000.0,241200000.0,265000000.0,106400000.0,93400000.0,91800000.0,187300000.0,193800000.0,147200000.0,219800000.0,288700000.0
,costOfRevenue,2594300000.0,2495200000.0,1992300000.0,3132600000.0,3119800000.0,3136800000.0,2945200000.0,2739300000.0,2136757000.0,2058049000.0,0.0,0.0,0.0,0.0,0.0,91985000.0,314277000.0,154553000.0,89305000.0,84682000.0,94664000.0,78400000.0,16500000.0,84300000.0,90100000.0,70900000.0,74400000.0,183400000.0,235100000.0,70400000.0,67300000.0,65700000.0,113400000.0,129400000.0,100600000.0,-9800000.0,149200000.0
,grossProfit,1369900000.0,1306900000.0,1153600000.0,1875900000.0,2095600000.0,2679100000.0,3017800000.0,2804100000.0,2343959000.0,1419733000.0,0.0,0.0,0.0,0.0,0.0,17911000.0,53251000.0,26876000.0,27703000.0,14154000.0,-10524000.0,15300000.0,9200000.0,49300000.0,27500000.0,24800000.0,28700000.0,57800000.0,29900000.0,36000000.0,26100000.0,26100000.0,73900000.0,64400000.0,46600000.0,229600000.0,139500000.0
,grossProfitRatio,0.345567832097271,0.343731095973278,0.366699513652691,0.374543276430069,0.401810024159221,0.460650974053887,0.506087539828945,0.505844788397013,0.523121527898666,0.408229440488219,0.0,0.0,0.0,0.0,0.0,0.162981364198879,0.144889641061361,0.148135083145473,0.236761588951183,0.14320692864948,-0.125077252198716,0.163287086446105,0.356589147286822,0.369011976047904,0.233843537414966,0.25914315569488,0.278370514064016,0.239635157545605,0.112830188679245,0.338345864661654,0.279443254817987,0.284313725490196,0.394554191137213,0.332301341589267,0.316576086956522,1.04458598726115,0.483200554208521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,41800000.0,43500000.0,28300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489000.0,2900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,337800000.0,354600000.0,323900000.0,0.0,0.0,0.0,0.0,0.0,0.0,1194772000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12462000.0,17876000.0,18900000.0,2200000.0,12400000.0,10900000.0,7200000.0,7600000.0,45200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,614500000.0,600500000.0,492300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-19700000.0,-43900000.0,6300000.0,-5000000.0,1000000.0,37000000.0,-22200000.0,-5600000.0,-17473000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,994100000.0,998600000.0,844500000.0,1359600000.0,1440500000.0,2231600000.0,2367300000.0,2012400000.0,1808783000.0,1183657000.0,18846000.0,6290000.0,3237000.0,3388000.0,4730000.0,34315000.0,37682000.0,20086000.0,11906000.0,12462000.0,27862000.0,30900000.0,4100000.0,18800000.0,14600000.0,16200000.0,25500000.0,88000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,3588400000.0,3493800000.0,2836800000.0,4492200000.0,4560300000.0,5368400000.0,5312500000.0,4751700000.0,3945540000.0,3241706000.0,18846000.0,6290000.0,3237000.0,3388000.0,4730000.0,126300000.0,351959000.0,174639000.0,101211000.0,97144000.0,122526000.0,109300000.0,20600000.0,103100000.0,104700000.0,87100000.0,99900000.0,271400000.0,262000000.0,95500000.0,90400000.0,99800000.0,197800000.0,208300000.0,202600000.0,381300000.0,368500000.0
,interestExpense,144500000.0,222100000.0,264600000.0,360100000.0,397100000.0,429700000.0,321900000.0,511900000.0,251032000.0,249260000.0,4963000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,148500000.0,180800000.0,131700000.0,199300000.0,93900000.0,129600000.0,179200000.0,260100000.0,160656000.0,11115000.0,44000.0,7000.0,0.0,3000.0,18000.0,13339000.0,24179000.0,18946000.0,11074000.0,9824000.0,8497000.0,9100000.0,2000000.0,6400000.0,3700000.0,9000000.0,17900000.0,42800000.0,13000000.0,14900000.0,14200000.0,21700000.0,65800000.0,58900000.0,82300000.0,241600000.0,148300000.0
,EBITDA,524300000.0,489100000.0,440800000.0,715600000.0,749000000.0,577100000.0,829700000.0,1051800000.0,695832000.0,247191000.0,-18802000.0,-6283000.0,-3350000.0,-3385000.0,-4712000.0,-3065000.0,39748000.0,25736000.0,26871000.0,11516000.0,-29889000.0,-6500000.0,7100000.0,36900000.0,16600000.0,17600000.0,21100000.0,12600000.0,16000000.0,25800000.0,17200000.0,13700000.0,55300000.0,44400000.0,26900000.0,80100000.0,68500000.0
,EBITDARatio,0.132258715503759,0.128639436101102,0.140118884897803,0.142877108914845,0.143613145683936,0.0992279784728073,0.139141371792722,0.189739149258578,0.155294823416615,0.071077198053242,0.0,0.0,0.0,0.0,0.0,-0.0278900050957269,0.108149583161011,0.141851633421338,0.229650964036647,0.116516249139989,-0.35522937960542,-0.0693703308431163,0.275193798449612,0.276197604790419,0.141156462585034,0.183908045977011,0.204655674102813,0.0522388059701493,0.060377358490566,0.242481203007519,0.184154175588865,0.149237472766885,0.295248264815804,0.229102167182663,0.182744565217391,0.36442220200182,0.237270523034292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,375800000.0,308300000.0,309100000.0,516300000.0,655100000.0,447500000.0,650500000.0,791700000.0,535176000.0,236076000.0,-18846000.0,-6290000.0,-3237000.0,-3388000.0,-4730000.0,-16404000.0,15569000.0,6790000.0,15797000.0,1692000.0,-38386000.0,-15600000.0,5100000.0,30500000.0,12900000.0,8600000.0,3200000.0,-30200000.0,3000000.0,10900000.0,3000000.0,-8000000.0,-10500000.0,-14500000.0,-55400000.0,-161500000.0,-79800000.0
