Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,13646000.0,12280000.0,9168000.0,4576000.0,2662000.0
Stock-based compensation,29593000.0,23373000.0,20745000.0,825000.0,407000.0
Operating Cash Flow,83085000.0,61893000.0,102844000.0,22450000.0,13397000.0
Capital Expenditure,-14660000.0,-14112000.0,-17254000.0,-12110000.0,-6466000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-41577000.0,-193795000.0,-104237000.0,-6000.0,-12000.0
Investing Cash flow,-56237000.0,-207907000.0,-121491000.0,-12116000.0,-6478000.0
Issuance (repayment) of debt,0.0,0.0,-34000.0,-2218000.0,-6055000.0
Issuance (buybacks) of shares,-33899000.0,5678000.0,217185000.0,200000.0,70000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-33899000.0,5477000.0,199069000.0,-3847000.0,-6020000.0
Effect of forex changes on cash,0.0,0.0,0.0,-5000.0,-6000.0
Net cash flow / Change in cash,-7051000.0,-140537000.0,180422000.0,6482000.0,893000.0
Free Cash Flow,68425000.0,47781000.0,85590000.0,10340000.0,6931000.0
Net Cash/Marketcap,0.2115,0.1926,0.1351,0.0298,0.0298
