Date,2019-01-31,2018-01-31
Revenue,99888805.0,79834139.0
Revenue Growth,0.25120413711733,
Cost of Revenue,36997166.0,29771104.0
Gross Profit,62891639.0,50063035.0
R&D Expenses,14349275.0,11376847.0
SG&A Expense,46442226.0,43598614.0
Operating Expenses,72385315.0,64615755.0
Operating Income,-9493676.0,-14552720.0
Interest Expense,3504185.0,3642401.0
Earnings before Tax,-15062007.0,-18191867.0
Income Tax Expense,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-15062007.0,-18191867.0
Preferred Dividends,30198756.0,19981235.0
Net Income Com,-45260763.0,-38173102.0
EPS,-11.16,-11.29
EPS Diluted,-11.16,-11.29
Weighted Average Shs Out,35185513.0,35186000.0
Weighted Average Shs Out (Dil),4054010.0,3380881.0
Dividend per Share,0.0,0.0
Gross Margin,0.6296,0.6271
EBITDA Margin,0.0,-0.061
EBIT Margin,-0.1157,-0.1822
Profit Margin,-0.453,-0.478
Free Cash Flow margin,-0.1198,-0.2894
EBITDA,35992.0,-4909172.0
EBIT,-11557822.0,-14549466.0
Consolidated Income,-15062007.0,-18191867.0
Earnings Before Tax Margin,-0.1508,-0.2279
Net Profit Margin,-0.1508,-0.2279
