date,,2020-03-28_FY,2019-03-30_FY,2018-03-31_FY,2017-03-25_FY,2016-03-26_FY,2015-03-28_FY,2014-03-29_FY,2013-03-30_FY,2012-03-31_FY,2011-03-26_FY,2010-03-27_FY,2009-03-28_FY,2008-03-29_FY,2007-03-31_FY,2006-03-25_FY,2005-03-26_FY,2004-03-27_FY,2003-03-29_FY,2002-03-30_FY,2001-03-31_FY,2000-03-25_FY,1999-03-27_FY,1998-03-28_FY,1997-03-29_FY,1996-03-30_FY,1995-04-01_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY
,revenue,1281124000.0,1185524000.0,1532186000.0,1538940000.0,1169251000.0,916568000.0,714300000.0,809800000.0,426843000.0,369600000.0,221000000.0,174600000.0,181900000.0,182304000.0,193700000.0,194900000.0,196300000.0,262000000.0,417500000.0,778673000.0,564400000.0,628100000.0,954300000.0,917200000.0,1146900000.0,889000000.0,544100000.0,354800000.0,171600000.0,141800000.0,85000000.0,36900000.0,9200000.0
,costOfRevenue,606957000.0,588027000.0,771470000.0,781125000.0,614411000.0,490820000.0,358200000.0,414600000.0,196402000.0,167600000.0,102300000.0,77500000.0,78700000.0,73290000.0,88500000.0,101600000.0,95600000.0,129800000.0,319300000.0,457228000.0,349700000.0,703000000.0,605500000.0,598800000.0,774400000.0,512500000.0,264400000.0,181600000.0,75700000.0,64100000.0,37800000.0,15100000.0,4800000.0
,grossProfit,674167000.0,597497000.0,760716000.0,757815000.0,554840000.0,425748000.0,356200000.0,395200000.0,230441000.0,202000000.0,118700000.0,97200000.0,103200000.0,109014000.0,105200000.0,93300000.0,100700000.0,132200000.0,98200000.0,321445000.0,214700000.0,-74900000.0,348800000.0,318400000.0,372600000.0,376500000.0,279700000.0,173200000.0,95900000.0,77700000.0,47200000.0,21800000.0,4400000.0
,grossProfitRatio,0.526230872265292,0.503994014461116,0.496490634949021,0.492426605325744,0.474525999977764,0.4645023609814,0.498670026599468,0.488021733761423,0.53987297437231,0.546536796536797,0.53710407239819,0.556701030927835,0.567344694887301,0.597979199578726,0.543107898812597,0.478707029245767,0.512990320937341,0.504580152671756,0.235209580838323,0.412811282784943,0.380403968816442,-0.119248527304569,0.365503510426491,0.347143480157,0.324875752027204,0.423509561304837,0.514059915456717,0.488162344983089,0.558857808857809,0.547954866008463,0.555294117647059,0.590785907859079,0.478260869565217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,347647000.0,375139000.0,366444000.0,303658000.0,269217000.0,197878000.0,126200000.0,114100000.0,85697000.0,63900000.0,51400000.0,44300000.0,48500000.0,43961000.0,45800000.0,66800000.0,76200000.0,95300000.0,121600000.0,127599000.0,111800000.0,130300000.0,179600000.0,230800000.0,238800000.0,165600000.0,124400000.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,131115000.0,126502000.0,131811000.0,127265000.0,117082000.0,99509000.0,74900000.0,77000000.0,65208000.0,58100000.0,45900000.0,45300000.0,53600000.0,51755000.0,44300000.0,42400000.0,51500000.0,73700000.0,167500000.0,109629000.0,89900000.0,98300000.0,117300000.0,126700000.0,165300000.0,126700000.0,89200000.0,126700000.0,66300000.0,46000000.0,27300000.0,15100000.0,11200000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,21925000.0,-217000.0,-971000.0,9842000.0,-1791000.0,19592000.0,97000.0,3292000.0,0.0,27000.0,-66000.0,4349000.0,15960000.0,0.0,-54000.0,22546000.0,-18000.0,-373000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
