date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,revenue,29943000.0,31133000.0,35749256.463052,14882309.187322,1400866.602162
,costOfRevenue,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,70040000.0,55680000.0,53466026.080988,40939846.917964,19972866.097346
,GeneralAndAdministrativeExpenses,35781000.0,34110000.0,11890871.654084,16432324.783454,4478145.639645
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,14829558.453443,9837560.28504901,6052543.014597
,operatingExpenses,105821000.0,0.0,80186456.188515,67209731.986467,30503554.751588
,costAndExpenses,105821000.0,89790000.0,80186456.188515,67209731.986467,30503554.751588
,interestExpense,0.0,0.0,4575.611988,13059961.12964,20659627.276934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1444000.0,1138000.0,729810.112102,381505.386664,246098.186866
,EBITDA,-83566000.0,-53819000.0,-26619766.643789,-73944861.674305,-28764040.217071
,EBITDARatio,-2.79083592158434,-1.72868017858864,-0.744624344041991,-4.96864167674311,-20.5330330330373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-75878000.0,-58657000.0,-44437199.725463,-52327422.799146,-29102688.149426
,operatingIncomeRatio,-2.83906088234312,-1.88407798798702,-0.765167029310117,-5.87182587666247,-35.4564564564643
,totalOtherIncomeExpensesNet,9132000.0,-3700000.0,-17083047.357584,35058905.391463,20567077.531446
,incomeBeforeTax,-85010000.0,-54957000.0,-27354152.367879,-87386328.190609,-49669765.680872
,incomeBeforeTaxRatio,-2.83906088234312,-1.76523303247358,-0.765167029310117,-5.87182587666247,-35.4564564564643
,incomeTaxExpense,503000.0,194000.0,407229.466941,298725.915973,0.0
,netIncome,-85513000.0,-55151000.0,-27761381.83482,-87685054.106582,-49669765.680872
,netIncomeRatio,-2.85585946631934,-1.77146436257348,-0.77655830026877,-5.89189842805305,-35.4564564564643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.92,-2.28,-1.246854,-4.558869,-3.754575
,EPSDiluted,-2.92,-2.28,-1.246854,-4.558869,-3.754575
,weightedAverageShsOut,29256203.0,24218083.0,22286720.0,19196440.0,13229132.0
,weightedAverageShsOutDil,29256203.0,24218083.0,22286720.0,19196440.0,13229132.0
