date,,2019-11-30_FY,2018-11-30_FY,2017-11-30_FY,2016-11-30_FY,2015-11-30_FY,2014-11-30_FY,2013-11-30_FY,2012-11-30_FY,2011-11-30_FY,2010-11-30_FY,2009-11-30_FY,2008-11-30_FY,2007-11-30_FY,2006-11-30_FY,2005-11-30_FY,2004-11-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-127045000.0,228799000.0,-159125000.0,253580000.0,-1653102000.0,522980000.0,736470000.0,271390000.0,151870000.0,495180000.0,335210000.0,-581430000.0,99510000.0,217520000.0,89580000.0,6780000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-45420000.0,-259682000.0,-101055000.0,166779000.0,-971178000.0,325400000.0,419900000.0,167900000.0,95400000.0,293000000.0,197100000.0,-340000000.0,45800000.0,139000000.0,52200000.0,3800000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,167591000.0,125140000.0,111178000.0,259664000.0,660527000.0,-571300000.0,-750100000.0,-1006700000.0,-491300000.0,-1479000000.0,-769000000.0,1296100000.0,66500000.0,-163800000.0,492800000.0,-418200000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,3171000.0,2233000.0,6669000.0,-695000.0,3547000.0,-3500000.0,-2500000.0,900000.0,-5600000.0,-4500000.0,-5800000.0,3700000.0,3400000.0,-7800000.0,4800000.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,313972000.0,95109000.0,416390000.0,-225317000.0,2857093000.0,-646800000.0,-999900000.0,56000000.0,-5200000.0,69500000.0,119800000.0,-5500000.0,-571800000.0,-223500000.0,-1019200000.0,-378400000.0
,netCashProvidedByOperatingActivites,309098000.0,189366000.0,267388000.0,454706000.0,893340000.0,-369800000.0,-593700000.0,-511400000.0,-249200000.0,-621300000.0,-116900000.0,369100000.0,-360000000.0,-30800000.0,-384700000.0,-786000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-8000000.0,-203965000.0,-31221000.0,377600000.0,452300000.0,423000000.0,192000000.0,466000000.0,120500000.0,0.0,156100000.0,0.0,156000000.0,829000000.0
,dividendsPaid,-184008000.0,-196025000.0,-195483000.0,-224436000.0,-260897000.0,-242700000.0,-190700000.0,-149200000.0,-115100000.0,-88600000.0,-68600000.0,-67400000.0,-58900000.0,-46200000.0,-26700000.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-309098000.0,-189366000.0,-266483000.0,-601348000.0,-747118000.0,371100000.0,587800000.0,463700000.0,302500000.0,621900000.0,116900000.0,-369100000.0,360000000.0,30800000.0,384700000.0,786000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,0.0,905000.0,-146642000.0,146222000.0,1300000.0,-5900000.0,-47700000.0,53300000.0,500000.0,0.0,0.0,0.0,0.0,0.0,-100000.0
,cashAtEndOfPeriod,2000000.0,2000000.0,2000000.0,1095000.0,147722000.0,1600000.0,200000.0,6100000.0,53800000.0,500000.0,0.0,0.0,0.0,0.0,0.0,-100000.0
