Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2011-12-31
Revenue,307819000.0,308000000.0,404622000.0,405000000.0,429933000.0,430000000.0,392000000.0,357000000.0,345381000.0
Revenue Growth,-0.000587662337662338,-0.238795715507313,-0.000933333333333333,-0.0579927570109761,-0.000155813953488372,0.0969387755102041,0.0980392156862745,0.0336411093835503,0.0
Cost of Revenue,433946000.0,117000000.0,297645000.0,123000000.0,162231000.0,192000000.0,324000000.0,350000000.0,222658000.0
Gross Profit,-126127000.0,191000000.0,106977000.0,282000000.0,267702000.0,238000000.0,68000000.0,6000000.0,122723000.0
R&D Expenses,0.0,,0.0,,0.0,,,,0.0
SG&A Expense,33831000.0,34000000.0,27844000.0,28000000.0,36379000.0,36000000.0,22000000.0,22000000.0,42383000.0
Operating Expenses,-39481000.0,278000000.0,-9293000.0,165000000.0,115703000.0,86000000.0,86000000.0,73000000.0,213426000.0
Operating Income,-86646000.0,-87000000.0,116270000.0,116000000.0,151999000.0,152000000.0,-17000000.0,-67000000.0,-90703000.0
Interest Expense,0.0,72000000.0,0.0,33000000.0,0.0,000000.0,000000.0,000000.0,104126000.0
Earnings before Tax,0.0,,0.0,,0.0,,,,0.0
Income Tax Expense,0.0,,0.0,,0.0,,,,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,,0.0
Net Income,-168541000.0,-169000000.0,67306000.0,67000000.0,129569000.0,130000000.0,-47000000.0,-101000000.0,-152699000.0
Preferred Dividends,0.0,,0.0,,0.0,,,,0.0
Net Income Com,-168541000.0,-169000000.0,67306000.0,67000000.0,129569000.0,130000000.0,-47000000.0,-101000000.0,-152699000.0
EPS,-2.03,-2.03,0.81,0.81,2.06,2.06,-0.59,-0.83,-1.4
EPS Diluted,-2.03,-2.03,0.81,0.81,2.05,2.05,-0.59,-0.83,-1.4
Weighted Average Shs Out,83003000.0,83000000.0,82705000.0,83000000.0,62779000.0,63000000.0,80000000.0,000000.0,109147546.0
Weighted Average Shs Out (Dil),83003000.0,83000000.0,82705000.0,83000000.0,63113000.0,63000000.0,80000000.0,000000.0,109147546.0
Dividend per Share,0.0,,0.0,,0.0,,,,0.0
Gross Margin,-0.409744037892,0.62012987012987,0.26438750241,0.6962962962963,0.622659809784,0.55348837209302,0.1734693877551,0.016806722689076,0.355326436602
EBITDA Margin,0.10595837164,0.025974025974026,0.533040714543,0.4641975308642,0.477923304329,0.46511627906977,0.073979591836735,-0.058823529411765,0.0340464588382
EBIT Margin,-0.281483599128,-0.31493506493506,0.287354617396,0.24691358024691,0.353541133153,0.30232558139535,-0.11989795918367,-0.28291316526611,-0.262617225615
Profit Margin,-0.547532803368,-0.5487012987013,0.166342907702,0.16543209876543,0.301370213498,0.30232558139535,-0.11989795918367,-0.28291316526611,-0.442117545551
Free Cash Flow margin,0.502035286971,,0.63993554478,,-0.544431341628,,,,-0.420538477797
EBITDA,32616000.0,8000000.0,215680000.0,188000000.0,205475000.0,200000000.0,29000000.0,-21000000.0,11759000.0
EBIT,-86646000.0,-97000000,116270000.0,100000000,151999000.0,130000000,-47000000,-101000000,-90703000.0
Consolidated Income,-168541000.0,-169000000.0,67306000.0,67000000.0,129569000.0,130000000.0,-47000000.0,-101000000.0,-152699000.0
Earnings Before Tax Margin,0.0,0,0.0,0,0.0,0,0,0,0.0
Net Profit Margin,-0.547532803368,-0.5487012987013,0.166342907702,0.16543209876543,0.301370213498,0.30232558139535,-0.11989795918367,-0.28291316526611,-0.442117545551
