Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12,2012-12
Revenue,1899398.0,945468.0,1000000.0,518329.0,1000000.0,1974019.0,2000000.0,4000000.0,7000000.0
Revenue Growth,1.00895006494138,-0.054532,0.929276579161112,-0.481671,-0.493419262935159,-0.0129905,-0.5,-0.428571428571429,
Cost of Revenue,0.0,0.0,,0.0,,0.0,,,
Gross Profit,0.0,0.0,1000000.0,0.0,1000000.0,0.0,2000000.0,4000000.0,7000000.0
R&D Expenses,21656096.0,38307236.0,38000000.0,62054823.0,62000000.0,45498916.0,45000000.0,24000000.0,18000000.0
SG&A Expense,12183235.0,14203301.0,14000000.0,11011011.0,11000000.0,8599359.0,9000000.0,5000000.0,6000000.0
Operating Expenses,64357955.0,53251651.0,53000000.0,73065834.0,73000000.0,54098275.0,54000000.0,29000000.0,24000000.0
Operating Income,-62458557.0,-52306183.0,-52000000.0,-72547505.0,-73000000.0,-52124256.0,-52000000.0,-24000000.0,-17000000.0
Interest Expense,1308201.0,1774740.0,2000000.0,2263599.0,2000000.0,1123579.0,1000000.0,0000000.0,0000000.0
Earnings before Tax,-40569166.0,-53024073.0,-53000000.0,-74801925.0,-75000000.0,-53328248.0,-53000000.0,-24000000.0,-10000000.0
Income Tax Expense,0.0,0.0,,0.0,,0.0,,,
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,,
Net Income,-40577510.0,-53028110.0,-53000000.0,-74788521.0,-75000000.0,-53305938.0,-53000000.0,-24000000.0,-10000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,,
Net Income Com,-40577510.0,-53028110.0,-53000000.0,-74788521.0,-75000000.0,-53305938.0,-53000000.0,-24000000.0,-10000000.0
EPS,-13.45,-1.66,-33.20,-3.66,-73.20,-3.12,-62.40,-2947.40,-91.60
EPS Diluted,-13.45,-1.66,-33.20,-3.66,-73.20,-3.12,-62.40,-2947.40,-91.60
Weighted Average Shs Out,3017409.0,32005718.0,2000000.0,20457245.0,1000000.0,17367665.0,1000000.0,0000000.0,0000000.0
Weighted Average Shs Out (Dil),3017409.0,32005718.0,2000000.0,20457245.0,1000000.0,17367665.0,1000000.0,0000000.0,0000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,,
Gross Margin,0.0,0.0,1,0.0,1,0.0,1,1,1
EBITDA Margin,-32.3737657932,-54.1308875604,-50,-138.010018733,-72,-26.0706274864,-26,-5.75,-1.4285714285714
EBIT Margin,-32.8833435646,-55.3230601141,-51,-139.964202273,-73,-26.4051440234,-26,-6,-1.4285714285714
Profit Margin,-21.3633530203,-56.0866258826,-53,-144.287741955,-75,-27.003761362,-26.5,-6,-1.4285714285714
Free Cash Flow margin,-20.5850716911,-59.2372719119,,-136.413970663,,-23.4742553137,,,
EBITDA,-61490666.0,-51179022.0,-50000000.0,-71534595.0,-72000000.0,-51463914.0,-52000000.0,-23000000.0,-10000000.0
EBIT,-62458557.0,-52306183.0,-51000000,-72547505.0,-73000000,-52124256.0,-52000000,-24000000,-10000000
Consolidated Income,-40577510.0,-53028110.0,-53000000.0,-74788521.0,-75000000.0,-53305938.0,-53000000.0,-24000000.0,-10000000.0
Earnings Before Tax Margin,-21.3589600494,-56.0823560395,-53,-144.313601979,-75,-27.0150631782,-26.5,-6,-1.4285714285714
Net Profit Margin,-21.3633530203,-56.0866258826,-53,-144.287741955,-75,-27.003761362,-26.5,-6,-1.4285714285714
