Date,2017-12-31,2017-12,2017-01-01,2016-12,2016-01-03,2015-12,2014-12,2013-12
Revenue,314359000.0,314000000.0,127000.0,288000000.0,120000.0,272000000.0,262000000.0,219000000.0
Revenue Growth,0.00114331210191083,2471.44094488189,-0.999559027777778,2399,-0.999558823529412,0.0381679389312977,0.19634703196347,
Cost of Revenue,192495000.0,226000000.0,168192000.0,203000000.0,163024000.0,186000000.0,177000000.0,151000000.0
Gross Profit,121864000.0,88000000.0,-168065000.0,86000000.0,-162904000.0,85000000.0,85000000.0,69000000.0
R&D Expenses,0.0,,0.0,,0.0,,,
SG&A Expense,23321000.0,35000000.0,20576000.0,31000000.0,32566000.0,44000000.0,29000000.0,29000000.0
Operating Expenses,92380000.0,54000000.0,81688000.0,47000000.0,85628000.0,57000000.0,41000000.0,38000000.0
Operating Income,29484000.0,34000000.0,38416000.0,39000000.0,22982000.0,29000000.0,45000000.0,30000000.0
Interest Expense,4984000.0,5000000.0,4387000.0,4000000.0,9975000.0,10000000.0,000000.0,23000000.0
Earnings before Tax,26935000.0,27000000.0,36219000.0,36000000.0,13829000.0,14000000.0,24000000.0,2000000.0
Income Tax Expense,-1470000.0,-1000000.0,11957000.0,12000000.0,-14168000.0,-14000000.0,7000000.0,2000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,
Net Income,28789000.0,29000000.0,24437000.0,24000000.0,27865000.0,28000000.0,18000000.0,-1000000.0
Preferred Dividends,0.0,,0.0,,0.0,,,
Net Income Com,28789000.0,29000000.0,24437000.0,24000000.0,27865000.0,28000000.0,18000000.0,-1000000.0
EPS,1.02,1.02,0.87,0.87,1.09,1.09,0.91,27
EPS Diluted,1.0,1.00,0.85,0.85,1.06,1.06,0.90,28
Weighted Average Shs Out,28227747.0,28000000.0,28119196.0,28000000.0,25519312.0,26000000.0,27000000.0,
Weighted Average Shs Out (Dil),28802819.0,29000000.0,28822616.0,29000000.0,26324115.0,26000000.0,27000000.0,
Dividend per Share,0.0,,0.0,,0.0,,,
Gross Margin,0.38765869595,0.28025477707006,-1323.34645669,0.29861111111111,-1357.53333333,0.3125,0.32442748091603,0.31506849315068
EBITDA Margin,0.171056021937,0.16242038216561,467.511811024,0.19444444444444,302.241666667,0.13235294117647,0.21374045801527,0.15068493150685
EBIT Margin,0.0937908569502,0.10509554140127,302.488188976,0.13888888888889,191.516666667,0.088235294117647,0.095419847328244,0.10958904109589
Profit Margin,0.0915800088434,0.092356687898089,192.417322835,0.083333333333333,232.208333333,0.10294117647059,0.068702290076336,-0.0045662100456621
Free Cash Flow margin,0.0622695707774,,143.165354331,,18.2416666667,,,
EBITDA,53773000.0,51000000.0,59374000.0,56000000.0,36269000.0,36000000.0,56000000.0,33000000.0
EBIT,29484000.0,33000000,38416000.0,40000000,22982000.0,24000000,25000000,24000000
Consolidated Income,28789000.0,29000000.0,24437000.0,24000000.0,27865000.0,28000000.0,18000000.0,-1000000.0
Earnings Before Tax Margin,0.0856822931744,0.085987261146497,285.188976378,0.125,115.241666667,0.051470588235294,0.091603053435115,0.0091324200913242
Net Profit Margin,0.0915800088434,0.092356687898089,192.417322835,0.083333333333333,232.208333333,0.10294117647059,0.068702290076336,-0.0045662100456621
