date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-10500000.0,-7542000.0,13715000.0,-99407000.0,10163000.0,10931000.0
,depreciationAndAmortization,23806000.0,21522000.0,14734000.0,11747000.0,9980000.0,8378000.0
,deferredIncomeTax,-10350000.0,-950000.0,763000.0,52571000.0,-6076000.0,-9131000.0
,stockBasedCompensation,21355000.0,8528000.0,3339000.0,47281000.0,5132000.0,597000.0
,changeInWorkingCapital,-3635000.0,173315000.0,79851000.0,-673000.0,2195000.0,-1209000.0
,accountsReceivables,-11032000.0,-7901000.0,-1394000.0,-10397000.0,-4397000.0,-8120000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-1839000.0,-426000.0,1647000.0,-1087000.0,-1321000.0,558000.0
,otherWorkingCapital,5596000.0,199591000.0,26276000.0,-53575000.0,-52902000.0,-55097000.0
,otherNonCashItems,10947000.0,5663000.0,-183000.0,28000.0,86000.0,124000.0
,netCashProvidedByOperatingActivites,32882000.0,31393000.0,36230000.0,16091000.0,21385000.0,10838000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-26000000.0,-206000000.0,-18000000.0,-7000000.0,-3000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,6614000.0,0.0,0.0,0.0
,otherInvestingActivites,162000.0,14000.0,6614000.0,373000.0,-90000.0,-40000.0
,netCashUsedForInvestingActivites,-49092000.0,-35839000.0,-206210000.0,-24851000.0,-16033000.0,-8030000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-127941000.0,-6217000.0,-214056000.0,-152504000.0,-107623000.0
,commonStockIssued,0.0,1510000.0,137649000.0,121060000.0,456000.0,291000.0
,commonStockRepurchased,0.0,0.0,-675000.0,-1045000.0,-3049000.0,-1744000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-460000.0,-1746000.0,-268000.0,-4774000.0,-725000.0,-55000.0
,netCashUsedProvidedByFinancingActivities,31250000.0,191916000.0,167530000.0,29558000.0,-1864000.0,-4697000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,3010000.0,342000.0,-1443000.0,1641000.0,-362000.0,-1639000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,18050000.0,187812000.0,-3893000.0,22439000.0,3126000.0,-3528000.0
,cashAtEndOfPeriod,241547000.0,223497000.0,35685000.0,39578000.0,17139000.0,14013000.0
,cashAtBeginningOfPeriod,223497000.0,35685000.0,39578000.0,17139000.0,14013000.0,17541000.0
,operatingCashFlow,32882000.0,31393000.0,36230000.0,16091000.0,21385000.0,10838000.0
,capitalExpenditure,-8226000.0,-10133000.0,-9386000.0,-9642000.0,-9444000.0,-5233000.0
,freeCashFlow,24656000.0,21260000.0,26844000.0,6449000.0,11941000.0,5605000.0
