date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-13625000.0,36646000.0,32281000.0,37270000.0,38022000.0,27199000.0,97000.0,17349000.0,17052000.0,11068000.0,17764000.0,13611000.0,7725000.0,7330000.0,5788000.0,3322000.0,6210000.0,7160000.0,6915000.0,3838000.0,4476000.0
,depreciationAndAmortization,16093000.0,13633000.0,13042000.0,10691000.0,8812000.0,8038000.0,6926000.0,6367000.0,5909000.0,4327000.0,3368000.0,3054000.0,2657000.0,2391000.0,2035000.0,2862000.0,2648000.0,2024000.0,1957000.0,1988000.0,0.0
,deferredIncomeTax,-1930000.0,930000.0,4866000.0,2725000.0,1603000.0,3183000.0,-15076000.0,-6908000.0,-818000.0,1907000.0,1332000.0,290000.0,940000.0,378000.0,0.0,-1925000.0,-320000.0,-226000.0,0.0,0.0,0.0
,stockBasedCompensation,4487000.0,3593000.0,4633000.0,4320000.0,2134000.0,2108000.0,727000.0,376000.0,417000.0,188000.0,52000.0,44000.0,0.0,0.0,666000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-7322000.0,7319000.0,25906000.0,-21951000.0,6648000.0,-3083000.0,9697000.0,2694000.0,1014000.0,-6159000.0,2244000.0,-2856000.0,-921000.0,4311000.0,-5595000.0,-2735000.0,-382000.0,1902000.0,9034000.0,9799000.0,0.0
,accountsReceivables,1859000.0,2685000.0,3617000.0,-879000.0,-11542000.0,-2063000.0,-1712000.0,-16191000.0,-2837000.0,4270000.0,-9353000.0,5297000.0,0.0,0.0,-4963000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-4206000.0,-1845000.0,-4186000.0,991000.0,-5498000.0,4713000.0,-2302000.0,-5725000.0,-5161000.0,-2137000.0,-3006000.0,3158000.0,-5587000.0,2210000.0,-473000.0,1279000.0,-3354000.0,4440000.0,-3386000.0,-1349000.0,0.0
,accountsPayables,-16144000.0,3708000.0,-10466000.0,10413000.0,25680000.0,-1875000.0,1639000.0,12712000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,29564000.0,36886000.0,29567000.0,3661000.0,25612000.0,18964000.0,22047000.0,12350000.0,9656000.0,8642000.0,14801000.0,12557000.0,15413000.0,16334000.0,12023000.0,17618000.0,20353000.0,20735000.0,18833000.0,9799000.0,0.0
,otherNonCashItems,-1556000.0,-2435000.0,0.0,0.0,0.0,15000.0,53157000.0,1717000.0,548000.0,-434000.0,100000.0,258000.0,119000.0,489000.0,-79000.0,0.0,0.0,0.0,0.0,-498000.0,0.0
,netCashProvidedByOperatingActivites,28878000.0,72099000.0,48426000.0,62140000.0,61968000.0,37283000.0,21345000.0,13721000.0,21723000.0,7866000.0,18198000.0,21997000.0,5296000.0,4629000.0,7819000.0,5568000.0,4460000.0,15222000.0,8135000.0,1161000.0,2958000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11343000.0,-16721000.0,-15004000.0,-44510000.0,-21859000.0,-18099000.0,-11613000.0,-6746000.0,-7749000.0,-4826000.0,-4767000.0,-4149000.0,-2674000.0,-2950000.0,-4513000.0,-1874000.0,0.0,-6535000.0,-1973000.0,-2330000.0,0.0
,acquisitionsNet,-19873000.0,0.0,-3636000.0,-9567000.0,-3900000.0,-1800000.0,-125000.0,-1000000.0,300000.0,-13362000.0,-3070000.0,-1841000.0,-5030000.0,0.0,0.0,-13450000.0,-8474000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000000.0,0.0,0.0,0.0,0.0,-150000.0,0.0,0.0,-2223000.0,-105000.0,-284000.0,0.0
,salesMaturitiesOfInvestments,0.0,1154000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4283000.0,0.0,0.0,0.0
,otherInvestingActivites,-715000.0,-16283000.0,-11564000.0,409000.0,4028000.0,-1155000.0,-6813000.0,0.0,288000.0,281000.0,116000.0,0.0,250000.0,-5000000.0,0.0,3383000.0,0.0,0.0,0.0,585000.0,-1685000.0
,netCashUsedForInvestingActivites,-31931000.0,-31850000.0,-30204000.0,-53668000.0,-21731000.0,-21054000.0,-18551000.0,-7746000.0,-7161000.0,-20907000.0,-7721000.0,-5990000.0,-7454000.0,-7950000.0,-4663000.0,-11941000.0,-8474000.0,-4475000.0,-2078000.0,-2029000.0,-1685000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-216918000.0,-227805000.0,-283636000.0,-162558000.0,-237349000.0,-259438000.0,-245590000.0,-5405000.0,-5237000.0,-9871000.0,-6766000.0,-12524000.0,0.0,0.0,-1318000.0,0.0,0.0,0.0,0.0,-507000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387000.0,710000.0,0.0,522000.0,2680000.0,475000.0,5122000.0,98000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4788000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-19354000.0,-17568000.0,-16657000.0,-15696000.0,-13907000.0,-12971000.0,-11005000.0,-9646000.0,-8123000.0,-8100000.0,-7252000.0,-5047000.0,-5031000.0,-4573000.0,-4564000.0,-4052000.0,-3376000.0,-2567000.0,0.0,-4973000.0,0.0
