Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,18300000.0,19686000.0,16019000.0,11819270.0
Stock-based compensation,9478000.0,0.0,0.0,
Operating Cash Flow,-16961000.0,-9387000.0,6518000.0,1140908.0
Capital Expenditure,-23170000.0,-16502000.0,-57899000.0,-33686384.0
Acquisitions and disposals,0.0,0.0,0.0,
Investment purchases and sales,250000.0,-250000.0,0.0,
Investing Cash flow,-22920000.0,-16752000.0,-57899000.0,-33686384.0
Issuance (repayment) of debt,20577000.0,15934000.0,47852000.0,18793960.0
Issuance (buybacks) of shares,12325000.0,0.0,0.0,13771129.0
Dividend payments,0.0,0.0,0.0,0.0
Financing Cash Flow,35402000.0,31991000.0,47852000.0,32565089.0
Effect of forex changes on cash,0.0,0.0,0.0,
Net cash flow / Change in cash,-4479000.0,5852000.0,-3529000.0,
Free Cash Flow,-40131000.0,-25889000.0,-51381000.0,
Net Cash/Marketcap,-5.069,-1.0765,-1.0765,-1.0765
