date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,76403000.0,61979000.0,46210000.0,40712000.0,25126000.0,1874000.0,896000.0,-4891000.0,-4891000.0,-3752000.0
,depreciationAndAmortization,104736000.0,90984000.0,74061000.0,62582000.0,51329000.0,42039000.0,29028000.0,16100000.0,13403000.0,9505000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,12871000.0,10756000.0,10147000.0,5398000.0,3835000.0,1752000.0,1042000.0,0.0,0.0,0.0
,changeInWorkingCapital,100464000.0,-109080000.0,165069000.0,-7522000.0,17583000.0,-16390000.0,-10975000.0,-38589000.0,21239000.0,-1554000.0
,accountsReceivables,-4030000.0,-875000.0,-2347000.0,-2007000.0,-988000.0,-1228000.0,-883000.0,-83000000.0,58000.0,25000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,1573000.0,0.0,0.0,0.0,0.0,0.0,1376000000.0,0.0,0.0
,otherWorkingCapital,162145000.0,61681000.0,170761000.0,5692000.0,13214000.0,-4369000.0,12021000.0,22996000.0,61585000.0,40346000.0
,otherNonCashItems,-11110000.0,-6199000.0,-5140000.0,-3825000.0,-3965000.0,621000.0,475000.0,2300000.0,1908000.0,1221000.0
,netCashProvidedByOperatingActivites,182994000.0,139514000.0,102775000.0,76650000.0,56432000.0,40508000.0,24504000.0,13500000.0,1080000.0,-3349000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-908758000.0,-911047000.0,-449237000.0,-568373000.0,-329116000.0,-230599000.0,-368252000.0,-3200000.0,-17191000.0,-41075000.0
,acquisitionsNet,-929000000.0,-943000000.0,-494000000.0,-667000000.0,-368000000.0,-228000000.0,-384000000.0,-153000000.0,-21000000.0,-44000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,6250000.0,-5700000.0,13896000.0,590000.0,8997000.0,417000.0,-295000.0
,netCashUsedForInvestingActivites,-987523000.0,-972742000.0,-507213000.0,-606900000.0,-361214000.0,-236774000.0,-380581000.0,-128300000.0,-23778000.0,-42303000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-175671000.0,-35158000.0,-311541000.0,-443011000.0,-179223000.0,-226712000.0,-147241000.0,0.0,-4479000.0,-24757000.0
,commonStockIssued,734096000.0,638900000.0,556520000.0,330900000.0,183386000.0,175833000.0,221773000.0,0.0,0.0,0.0
,commonStockRepurchased,-1278000.0,-854000.0,-594000.0,-1693000.0,-747000.0,-327000.0,-98000.0,208600000.0,0.0,0.0
,dividendsPaid,-119711000.0,-89494000.0,-65468000.0,-46808000.0,-36036000.0,-27137000.0,-18372000.0,0.0,-2842000.0,-816000.0
,otherFinancingActivites,-6085000.0,-143000.0,-1748000.0,-2268000.0,-1925000.0,-796000.0,-1876000.0,8997000.0,40606000.0,31060000.0
,netCashUsedProvidedByFinancingActivities,903195000.0,731484000.0,578169000.0,521595000.0,315106000.0,192861000.0,355686000.0,80300000.0,45269000.0,51569000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,98666000.0,-101744000.0,173731000.0,-8655000.0,10324000.0,-3405000.0,-391000.0,-34500000.0,22571000.0,5917000.0
,cashAtEndOfPeriod,177523000.0,78857000.0,180601000.0,6870000.0,15525000.0,5201000.0,8606000.0,9000000.0,43499000.0,20928000.0
,cashAtBeginningOfPeriod,78857000.0,180601000.0,6870000.0,15525000.0,5201000.0,8606000.0,8997000.0,43500000.0,20928000.0,15011000.0
,operatingCashFlow,182994000.0,139514000.0,102775000.0,76650000.0,56432000.0,40508000.0,24504000.0,13500000.0,1080000.0,-3349000.0
,capitalExpenditure,-78765000.0,-911047000.0,-449237000.0,-568373000.0,-329116000.0,-230599000.0,-368252000.0,-3200000.0,-4620000.0,-1321000.0
,freeCashFlow,104229000.0,92345000.0,44824000.0,34337000.0,24504000.0,18327000.0,10545000.0,10300000.0,-3540000.0,-4670000.0
