date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,106176000.0,21505000.0,-282368000.0,-116937000.0,-81708000.0,-142669000.0,-189618000.0,-272812000.0,-72624000.0,-64852000.0,-52981000.0,-71185000.0,-53874000.0,-52752000.0
,depreciationAndAmortization,3564000.0,5580000.0,14223000.0,14617000.0,11260000.0,11630000.0,12331000.0,11729000.0,11325000.0,9999000.0,6161000.0,5250000.0,2849000.0,1731000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,31175000.0,31278000.0,43977000.0,33820000.0,29219000.0,25469000.0,26184000.0,19829000.0,17573000.0,11732000.0,7496000.0,5244000.0,2794000.0,1154000.0
,changeInWorkingCapital,197743000.0,119012000.0,-98658000.0,-43481000.0,-134690000.0,194551000.0,41101000.0,58586000.0,27069000.0,-92216000.0,119638000.0,6077000.0,-20309000.0,45241000.0
,accountsReceivables,4091000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2243000.0,2324000.0,-465000.0,18387000.0,-24277000.0
,inventory,648000.0,0.0,-806000.0,346000.0,0.0,0.0,-3078000.0,-11915000.0,-6699000.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-7523000.0,-32700000.0,8057000.0,-6843000.0,19683000.0,-1551000.0,1425000.0,-11724000.0,24241000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,463666000.0,265923000.0,146911000.0,245569000.0,289050000.0,423740000.0,229189000.0,188088000.0,129502000.0,102433000.0,194649000.0,75011000.0,68934000.0,89243000.0
,otherNonCashItems,22263000.0,16421000.0,-13444000.0,-16809000.0,28123000.0,8398000.0,4139000.0,1719000.0,0.0,2234000.0,1619000.0,-360000.0,532000.0,-1724000.0
,netCashProvidedByOperatingActivites,168836000.0,10725000.0,-70882000.0,-99563000.0,-25433000.0,-106927000.0,-155568000.0,-273355000.0,-69633000.0,-75237000.0,-67899000.0,-3998000.0,-28195000.0,-6759000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1842000.0,-7189000.0,-8621000.0,-4211000.0,-4206000.0,-4049000.0,-3538000.0,-9592000.0,-13979000.0,-9682000.0,-17220000.0,-4045000.0,-22934000.0,-2651000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-3241000.0,-191354000.0,-311116000.0,-281958000.0,-253995000.0,-287943000.0,-96709000.0,-97511000.0,-441799000.0,-26673000.0,-82613000.0,-87839000.0
,salesMaturitiesOfInvestments,0.0,0.0,99165000.0,346890000.0,237423000.0,276707000.0,200964000.0,196102000.0,140757000.0,222254000.0,236475000.0,48455000.0,90465000.0,62880000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1842000.0,-11144000.0,88866000.0,151460000.0,-177674000.0,-9153000.0,-56569000.0,-101433000.0,30078000.0,115065000.0,-213042000.0,17758000.0,-15073000.0,-27609000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-156409000.0,-1824000.0,-137492000.0,-28771000.0,-14029000.0,-2225000.0,-768000.0,-275000.0,-260000.0,-1957000.0,-1501000.0,-1680000.0,-920000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,190428000.0,137766000.0,85228000.0,0.0,203167000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-34207000.0,-165000.0,-15293000.0,-246000.0,-11730000.0,0.0,-7717000.0,0.0,0.0,0.0,0.0,1000.0,0.0
,netCashUsedProvidedByFinancingActivities,18546000.0,-1185000.0,30072000.0,19835000.0,-4176000.0,303070000.0,210944000.0,313578000.0,88973000.0,3133000.0,202956000.0,41663000.0,48563000.0,50718000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,185540000.0,-1604000.0,48056000.0,71732000.0,-207283000.0,186990000.0,-1193000.0,-61210000.0,49418000.0,42961000.0,-77985000.0,55423000.0,5295000.0,16350000.0
,cashAtEndOfPeriod,364784000.0,179244000.0,180848000.0,125736000.0,54004000.0,261287000.0,74297000.0,75490000.0,136700000.0,87282000.0,44321000.0,123145000.0,67722000.0,62427000.0
,cashAtBeginningOfPeriod,179244000.0,180848000.0,132792000.0,54004000.0,261287000.0,74297000.0,75490000.0,136700000.0,87282000.0,44321000.0,122306000.0,67722000.0,62427000.0,46077000.0
