Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31
Cash and cash equivalents,5841000.0,1939000.0,10970000.0,28000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,5841000.0,1939000.0,10970000.0,28000.0
Receivables,10399000.0,7903000.0,21011000.0,7875000.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,29770000.0,21278000.0,30814000.0,28000.0
Property Plant & Equipment Net,1205000.0,1915000.0,2163000.0,3000.0
Goodwill and Intangible Assets,32366000.0,36402000.0,46320000.0,0.0
Long-term investments,0.0,14147000.0,18060000.0,0.0
Tax assets,2054000.0,2570000.0,2312000.0,0.0
Total non-current assets,35625000.0,55034000.0,70022000.0,7878000.0
Total assets,65395000.0,76312000.0,100836000.0,7906000.0
Payables,17923000.0,14082000.0,8262000.0,186000.0
Short-term debt,887000.0,3955000.0,235000.0,8001000.0
Total current liabilities,20807000.0,20610000.0,12197000.0,8187000.0
Long-term debt,18380000.0,18385000.0,20020000.0,0.0
Total debt,19267000.0,22340000.0,20255000.0,8001000.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,288000.0,129000.0,6137000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,20603000.0,18699000.0,24033000.0,0.0
Total liabilities,41410000.0,39309000.0,36230000.0,8187000.0
Other comprehensive income,-2177000.0,821000.0,599000.0,0.0
Retained earnings (deficit),-34062000.0,-22579000.0,5300000.0,-281000.0
Total shareholders equity,23985000.0,37003000.0,64606000.0,-281000.0
Investments,0.0,14147000.0,18060000.0,0.0
Net Debt,20401000.0,,,
Other Assets,11436000.0,,,
Other Liabilities,1997000.0,2573000.0,3700000.0,0.0
