date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,3901211000.0,3293253000.0,3065216000.0,2577614000.0,2326844000.0,1909036000.0,1694584000.0,1680434000.0,1203023000.0,844168000.0,958655000.0,898303000.0,1458108000.0,2933249000.0,4801742000.0,4884160000.0,4009072000.0,2920070000.0,2318524000.0,2125874000.0,1751545000.0,1567600000.0,1263200000.0,969600000.0,922600000.0,865900000.0,824900000.0,652100000.0,513300000.0,433300000.0,519000000.0,728100000.0,840600000.0,799800000.0,674600000.0,371600000.0
,costOfRevenue,3035133000.0,2646132000.0,2475189000.0,2122817000.0,1930350000.0,1583572000.0,1392274000.0,1365129000.0,1000693000.0,697457000.0,750451000.0,711892000.0,1238712000.0,2439956000.0,3653147000.0,3955367000.0,3270574000.0,2497146000.0,1997753000.0,1824527000.0,1487091000.0,1371700000.0,1139400000.0,902600000.0,862400000.0,807700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653800000.0,554100000.0,295100000.0
,grossProfit,866078000.0,647121000.0,590027000.0,454797000.0,396494000.0,325464000.0,302310000.0,315305000.0,202330000.0,146711000.0,208204000.0,186411000.0,219396000.0,493293000.0,1148595000.0,928793000.0,738498000.0,422924000.0,320771000.0,301347000.0,264454000.0,195900000.0,123800000.0,67000000.0,60200000.0,58200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146000000.0,120500000.0,76500000.0
,grossProfitRatio,0.222002347476207,0.196499023913438,0.192491165386061,0.17644108078246,0.170399906482772,0.170486046360572,0.178397766059399,0.187633075741148,0.168184648173809,0.173793605064395,0.217183449729047,0.20751461366599,0.150466220609173,0.168172903152784,0.239203813949188,0.19016432713097,0.184206719160943,0.144833514265069,0.138351382172451,0.141752051156371,0.150983274765992,0.124968104108191,0.0980050664977834,0.0691006600660066,0.0652503793626707,0.0672133040766832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182545636409102,0.178624369997035,0.205866523143165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,184720000.0,175027000.0,161679000.0,137674000.0,118076000.0,226317000.0,203253000.0,213283000.0,167295000.0,137314000.0,167008000.0,163503000.0,320884000.0,523136000.0,703431000.0,120030000.0,101584000.0,65386000.0,46727000.0,45960000.0,39461000.0,29600000.0,19700000.0,11800000.0,11600000.0,13500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,218498000.0,187763000.0,168122000.0,149814000.0,132464000.0,0.0,0.0,0.0,0.0,67738000.0,75577000.0,67373000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-9581000.0,11588000.0,-8990000.0,-2817000.0,-3447000.0,-4208000.0,-4813000.0,-923000.0,228000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
