date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,6554000000.0,8925000000.0,6842000000.0,3018000000.0,8891000000.0,9448000000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,620000000.0,534000000.0,592000000.0,0.0,576000000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,7606000000.0,7976000000.0,7457000000.0,7723000000.0,7429000000.0,0.0
,costAndExpenses,7606000000.0,7936000000.0,7457000000.0,7723000000.0,7429000000.0,7920000000.0
,interestExpense,191000000.0,158000000.0,153000000.0,0.0,170000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,18000000.0,17000000.0,17000000.0,26000000.0,32000000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,-0.160512664021971,0.110812324929972,-0.0898859982461269,-1.55897945659377,0.164435946462715,0.161727349703641
,totalOtherIncomeExpensesNet,389000000.0,397000000.0,651000000.0,736000000.0,422000000.0,535000000.0
,incomeBeforeTax,-1052000000.0,989000000.0,-615000000.0,-4705000000.0,1462000000.0,1528000000.0
,incomeBeforeTaxRatio,-0.160512664021971,0.110812324929972,-0.0898859982461269,-1.55897945659377,0.164435946462715,0.161727349703641
,incomeTaxExpense,-317000000.0,119000000.0,-237000000.0,-1766000000.0,343000000.0,369000000.0
,netIncome,-740000000.0,865000000.0,-378000000.0,-2939000000.0,1119000000.0,1159000000.0
,netIncomeRatio,-0.112908147696063,0.0969187675070028,-0.0552470038000585,-0.973823724320742,0.125857608817906,0.122671464860288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-7.177397,7.359677,-3.155967,-24.62,9.118021,9.443956
,EPSDiluted,-7.177397,7.359677,-3.155967,-24.62,9.118021,9.443956
,weightedAverageShsOut,106027301.0,117532336.0,119773106.0,122723993.0,122723993.0,122723993.0
,weightedAverageShsOutDil,106027301.0,117532336.0,119773106.0,122723993.0,122723993.0,122723993.0
