Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Depreciation & Amortization,1291856.2963,1823739.1987,1710878.7202,1350419.3782,1310291.7384,1827297.9323,1336548.2897
Stock-based compensation,1348684.4444,1112049.4894,722318.4524,344485.9002,738327.0224,0.0,1473131.7907
Operating Cash Flow,-4411739.2593,-2703396.7007,-3955017.1131,-3674782.3572,-4115270.2238,-5437863.7218,-14456265.5936
Capital Expenditure,149680.0,107041.6339,2223423.3631,3832075.1988,20118.7608,119057.3308,-1372402.4145
Acquisitions and disposals,-1319734.8148,-1617934.7997,0.0,0.0,-914833.0465,-2607678.5714,-6058959.7586
Investment purchases and sales,63997558.5185,-829293.0086,-161914.4345,-537049.1685,-194898.4509,-357574.2481,-894821.9316
Investing Cash flow,62940769.6296,-2664036.9207,1994989.5833,3295026.0304,-1111582.6162,-3458437.9699,-8247237.4245
Issuance (repayment) of debt,-188968.8889,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,137851.8519,5493266.3001,95089.2857,0.0,0.0,339849.6241,1910457.7465
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-51117.037,5493266.3001,95089.2857,0.0,0.0,339849.6241,2966463.7827
Effect of forex changes on cash,2738175.5556,136480.7541,53245.5357,-210053.5069,-136969.0189,81908.8346,-53690.1408
Net cash flow / Change in cash,61216088.8889,262313.4328,-1811692.7083,-589809.8337,-5363821.8589,-8474543.2331,-19790729.3763
Free Cash Flow,-4262059.2593,-2596355.0668,-1731593.75,157292.8416,-4095151.463,-5318806.391,-15828668.008
Net Cash/Marketcap,,,,,,,
