Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,0.0,0.0,0.0,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0
R&D Expenses,11366117.0,2874184.0,13292488.0,2260297.0,113931.0
SG&A Expense,5425033.0,4777902.0,4881725.0,6404643.0,1969960.0
Operating Expenses,16995546.0,7902458.0,18446727.0,8908403.0,2281622.0
Operating Income,-16995546.0,-7902458.0,-18446727.0,-8908403.0,-2281622.0
Interest Expense,0.0,0.0,0.0,0.0,213516.0
Earnings before Tax,-16868711.0,-7863858.0,-18384634.0,-8787771.0,-2473465.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-16868711.0,-7863858.0,-18384634.0,-8787771.0,-2473465.0
Preferred Dividends,2537844.0,3111020.0,0.0,390852.0,598042.0
Net Income Com,-16868711.0,-7863858.0,-18384634.0,-9178623.0,-3071507.0
EPS,-3.66,-4.95,-20.4,-31.1,-67.9
EPS Diluted,-3.66,-4.95,-20.4,-31.1,-67.9
Weighted Average Shs Out,5734639.0,4950652.0,1073036.0,779243.0,
Weighted Average Shs Out (Dil),5304667.0,2214951.0,899332.0,294679.0,45251.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0,0.0,0.0
EBITDA Margin,,,,,
EBIT Margin,0.0,0.0,0.0,0.0,0.0
Profit Margin,,,,,
Free Cash Flow margin,0.0,0.0,0.0,0.0,0.0
EBITDA,-16862990.0,-7858138.0,-18379425.0,-8785832.0,-2256470.0
EBIT,-16868711.0,-7863858.0,-18384634.0,-8787771.0,-2259949.0
Consolidated Income,-16868711.0,-7863858.0,-18384634.0,-8787771.0,-2473465.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0,0.0
Net Profit Margin,0.0,0.0,0.0,0.0,0.0
