date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,revenue,368144000.0,309190000.0,280115000.0,244946000.0,202469000.0,175273000.0,141835000.0,122472000.0,103765000.0,82257000.0,68055000.0,48273000.0,37700000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20500000.0
,grossProfit,368144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37700000.0
,grossProfitRatio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,68766000.0,74745000.0,66942000.0,61169000.0,55860000.0,48993000.0,38778000.0,32877000.0,28325000.0,21314000.0,21083000.0,16396000.0,26900000.0
,SellingAndMarketingExpenses,338000.0,581000.0,557000.0,716000.0,544000.0,562000.0,477000.0,532000.0,454000.0,0.0,313000.0,0.0,0.0
,otherExpenses,15490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6881000.0
,operatingExpenses,15490000.0,228000000.0,177000000.0,143000000.0,119000000.0,102000000.0,82000000.0,74000000.0,67000000.0,63000000.0,57000000.0,58000000.0,47400000.0
,costAndExpenses,15490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6881000.0
,interestExpense,50985000.0,103158000.0,63948000.0,35333000.0,25805000.0,17704000.0,14119000.0,13619000.0,14901000.0,16080000.0,15260000.0,18337000.0,20500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4103000.0,3952000.0,3648000.0,2845000.0,3058000.0,2595000.0,1838000.0,1841000.0,1218000.0,1173000.0,1066000.0,1087000.0,900000.0
,EBITDA,5718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11700000.0
,EBITDARatio,0.0146983975199346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310344827586207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1615000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10800000.0
,operatingIncomeRatio,0.00438687035507845,0.604356544519551,0.602759580886422,0.560735835653573,0.547333171991762,0.50780781980111,0.52157788980153,0.5060340322686,0.496940201416663,0.43554955809232,0.392858717214018,0.179354918898763,0.286472148541114
,totalOtherIncomeExpensesNet,1615000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,214208000.0,186861000.0,168842000.0,137350000.0,110818000.0,89005000.0,73978000.0,61975000.0,51565000.0,35827000.0,26736000.0,8658000.0,10800000.0
,incomeBeforeTaxRatio,0.581859272458603,0.604356544519551,0.602759580886422,0.560735835653573,0.547333171991762,0.50780781980111,0.52157788980153,0.5060340322686,0.496940201416663,0.43554955809232,0.392858717214018,0.179354918898763,0.286472148541114
,incomeTaxExpense,44639000.0,37618000.0,31902000.0,44258000.0,29339000.0,25465000.0,21601000.0,20358000.0,17120000.0,12389000.0,9358000.0,2780000.0,3825000.0
,netIncome,169569000.0,149243000.0,136940000.0,93092000.0,81479000.0,63540000.0,52377000.0,41617000.0,34445000.0,23438000.0,17378000.0,5878000.0,7000000.0
,netIncomeRatio,0.460605089312878,0.482690255182897,0.488870642414723,0.380051113306606,0.402427038213257,0.362520182800545,0.369281207036345,0.339808282709517,0.331952006938756,0.284936236429726,0.255352288590111,0.121765790400431,0.185676392572944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,3.171319952031,2.79,2.57,1.76,1.55,1.23,1.09,0.999674,0.826046,0.563832,0.421648,0.14262,0.21875
,EPSDiluted,3.171319952031,2.76,2.53,1.72,1.52,1.195,1.045,0.947353,0.780633,0.532834,0.398468,0.134779,0.21875
,weightedAverageShsOut,53831428.0,53469534.0,53259533.0,52857955.0,52536774.0,51430894.0,47656881.0,41214426.0,41214426.0,41214426.0,41214426.0,41214426.0,32000000.0
,weightedAverageShsOutDil,53831428.0,54103074.0,54101581.0,54087209.0,53573684.0,52885108.0,49636442.0,43612050.0,43612050.0,43612050.0,43612050.0,43612050.0,32000000.0
