date,,2020-07-31_FY,2019-07-31_FY,2018-07-31_FY,2017-07-31_FY,2016-07-31_FY,2015-07-31_FY,2014-07-31_FY,2013-07-31_FY,2012-07-31_FY,2011-07-31_FY,2010-07-31_FY,2009-07-31_FY,2008-07-31_FY,2007-07-31_FY,2006-07-31_FY,2005-07-31_FY,2004-07-31_FY,2003-07-31_FY,2002-07-31_FY,2001-07-31_FY,2000-07-31_FY,1999-07-31_FY,1998-07-31_FY,1997-07-31_FY,1996-07-31_FY,1995-07-31_FY,1994-07-31_FY,1993-07-31_FY,1992-07-31_FY,1991-07-31_FY,1990-07-31_FY,1989-07-31_FY,1988-07-31_FY,1987-07-31_FY,1986-07-31_FY
,revenue,2581800000.0,2844900000.0,2734200000.0,2371900000.0,2220300000.0,2371213000.0,2473466000.0,2436948000.0,2493248000.0,2294029000.0,1877064000.0,1868629000.0,2232521000.0,1918828000.0,1694327000.0,1595733000.0,1414980000.0,1218252000.0,1126005000.0,1137015000.0,1092294000.0,944100000.0,940400000.0,833300000.0,758600000.0,704000000.0,593500000.0,533300000.0,482100000.0,457700000.0,422900000.0,397500000.0,362900000.0,295000000.0,270700000.0
,costOfRevenue,1710200000.0,1896600000.0,1798700000.0,1548800000.0,1465500000.0,1562629000.0,1595640000.0,1589821000.0,1619485000.0,1480233000.0,1218316000.0,1278923000.0,1506659000.0,1313964000.0,1137747000.0,1090158000.0,964539000.0,827101000.0,776513000.0,795281000.0,730447000.0,640800000.0,651800000.0,561600000.0,514100000.0,485500000.0,410500000.0,366300000.0,334500000.0,317400000.0,292700000.0,282300000.0,242700000.0,184300000.0,157300000.0
,grossProfit,871600000.0,948300000.0,935500000.0,823100000.0,754800000.0,808584000.0,877826000.0,847127000.0,873763000.0,813796000.0,658748000.0,589706000.0,725862000.0,604864000.0,556580000.0,505575000.0,450441000.0,391151000.0,349492000.0,341734000.0,361847000.0,303300000.0,288600000.0,271700000.0,244500000.0,218500000.0,183000000.0,167000000.0,147600000.0,140300000.0,130200000.0,115200000.0,120200000.0,110700000.0,113400000.0
,grossProfitRatio,0.337593926717794,0.333333333333333,0.342147611732865,0.347021375268772,0.339954060262127,0.341000154773106,0.354897136245253,0.347618004159301,0.350451699951228,0.354745297465725,0.350945945370003,0.31558217281226,0.325131096191256,0.315225752386352,0.328496211180014,0.316829319190616,0.318337361658822,0.321075606688928,0.310382280718114,0.300553642652032,0.331272532852877,0.321258341277407,0.306890684814972,0.326053042121685,0.322304244661218,0.310369318181818,0.308340353833193,0.313144571535721,0.306160547604232,0.306532663316583,0.307874201938993,0.289811320754717,0.331220721961973,0.375254237288136,0.418913926856298
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,61200000.0,62300000.0,59900000.0,54700000.0,55500000.0,60229000.0,61837000.0,62630000.0,59589000.0,55286000.0,44486000.0,40643000.0,43757000.0,36458000.0,33887000.0,32234000.0,35374000.0,30456000.0,28150000.0,28425000.0,27304000.0,23600000.0,23500000.0,17300000.0,15900000.0,14500000.0,10900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,470300000.0,497800000.0,495600000.0,439800000.0,425100000.0,460045000.0,460250000.0,441168000.0,451158000.0,443227000.0,376018000.0,379108000.0,436293000.0,357306000.0,329905000.0,316851000.0,279095000.0,228930000.0,197492000.0,201201000.0,194623000.0,163700000.0,153000000.0,150300000.0,131300000.0,118000000.0,103600000.0,107000000.0,92300000.0,86800000.0,75000000.0,66800000.0,75000000.0,77400000.0,75700000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,12500000.0,6900000.0,4900000.0,12900000.0,3900000.0,15450000.0,15164000.0,15762000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,531500000.0,560100000.0,555500000.0,494500000.0,480600000.0,520274000.0,522087000.0,503798000.0,510747000.0,498513000.0,420504000.0,419751000.0,480050000.0,393764000.0,363792000.0,349085000.0,308853000.0,259386000.0,225642000.0,229626000.0,256253000.0,215000000.0,201800000.0,189100000.0,168900000.0,153000000.0,130900000.0,121800000.0,106300000.0,99000000.0,85900000.0,77400000.0,85400000.0,86300000.0,83100000.0
,costAndExpenses,2241700000.0,2456700000.0,2354200000.0,2043300000.0,1946100000.0,2082903000.0,2117727000.0,2093619000.0,2130232000.0,1978746000.0,1638820000.0,1698674000.0,1986709000.0,1707728000.0,1501539000.0,1439243000.0,1273392000.0,1086487000.0,1002155000.0,1024907000.0,986700000.0,855800000.0,853600000.0,750700000.0,683000000.0,638500000.0,541400000.0,488100000.0,440800000.0,416400000.0,378600000.0,359700000.0,328100000.0,270600000.0,240400000.0
