date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1992-08-31_FY,1991-08-31_FY,1990-08-31_FY,1989-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,158440000.0,146509000.0,148551000.0,132884000.0,129671000.0,74345000.0,62266000.0,50119000.0,37340000.0,30059000.0,28034000.0,-24053000.0,11678000.0,39767000.0,31023000.0,33602000.0,25108000.0,19423000.0,-14598000.0,8934000.0,1547000.0,17200000.0,15200000.0,12000000.0,13400000.0,7800000.0,5500000.0,5600000.0,1600000.0,3800000.0,1700000.0,-13400000.0,-1300000.0
,depreciationAndAmortization,97980000.0,75358000.0,67526000.0,54727000.0,46167000.0,41624000.0,32596000.0,27500000.0,25665000.0,20522000.0,17087000.0,18468000.0,17078000.0,17557000.0,15669000.0,11945000.0,9300000.0,7863000.0,7332000.0,8534000.0,8954000.0,8100000.0,6800000.0,3000000.0,1700000.0,800000.0,700000.0,1900000.0,600000.0,1600000.0,1600000.0,1800000.0,2400000.0
,deferredIncomeTax,-1504000.0,3416000.0,13874000.0,6808000.0,-2598000.0,1062000.0,-5493000.0,269000.0,-668000.0,821000.0,-1438000.0,-16685000.0,-2145000.0,-1488000.0,653000.0,-215000.0,-1394000.0,383000.0,1748000.0,84000.0,-2304000.0,1100000.0,100000.0,300000.0,-300000.0,-300000.0,-300000.0,500000.0,-1800000.0,0.0,1400000.0,-500000.0,100000.0
,stockBasedCompensation,18502000.0,16077000.0,14065000.0,20036000.0,15420000.0,14043000.0,10817000.0,10839000.0,6318000.0,4587000.0,4176000.0,3744000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,53874000.0,50464000.0,114003000.0,17023000.0,48463000.0,69129000.0,-6888000.0,23096000.0,-1414000.0,-12134000.0,-15953000.0,29366000.0,-5483000.0,27882000.0,-14167000.0,18942000.0,27504000.0,5633000.0,11591000.0,-9891000.0,-6633000.0,-2600000.0,7600000.0,7900000.0,7300000.0,2800000.0,-7700000.0,1900000.0,-1400000.0,3200000.0,2900000.0,-9700000.0,-3400000.0
,accountsReceivables,-45028000.0,-25452000.0,-11352000.0,-12601000.0,-13899000.0,2082000.0,-606000.0,-9013000.0,774000.0,-5007000.0,-341000.0,-4628000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-86898000.0,57790000.0,-34730000.0,-78698000.0,-7856000.0,-31276000.0,-21940000.0,-3403000.0,-4727000.0,-14738000.0,-11757000.0,37505000.0,-12695000.0,8994000.0,20219000.0,-27357000.0,-28447000.0,218000.0,-11501000.0,6155000.0,-321000.0,2000000.0,-3700000.0,-100000.0,-4600000.0,-500000.0,-2900000.0,-3000000.0,-400000.0,-2400000.0,-400000.0,-1000000.0,-1500000.0
,accountsPayables,67679000.0,-12189000.0,-17335000.0,20727000.0,18800000.0,-21783000.0,21269000.0,2296000.0,5983000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,453407000.0,399533000.0,349069000.0,235066000.0,218043000.0,169580000.0,100451000.0,107339000.0,84243000.0,85657000.0,97791000.0,113744000.0,84378000.0,89861000.0,61979000.0,76146000.0,57204000.0,29700000.0,24067000.0,12476000.0,22367000.0,29000000.0,31600000.0,24000000.0,16100000.0,8800000.0,6000000.0,13700000.0,11800000.0,13200000.0,10000000.0,7100000.0,16800000.0
,otherNonCashItems,2229000.0,-1553000.0,-13000.0,4371000.0,1540000.0,1335000.0,2796000.0,1867000.0,654000.0,1570000.0,0.0,0.0,9123000.0,2489000.0,2981000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-100000.0,-100000.0,100000.0,200000.0,0.0,1400000.0,-100000.0,300000.0,14500000.0,-200000.0
,netCashProvidedByOperatingActivites,231400000.0,269525000.0,156608000.0,155083000.0,203407000.0,95018000.0,107020000.0,82677000.0,72689000.0,36831000.0,42063000.0,63256000.0,4657000.0,84910000.0,67021000.0,32102000.0,8880000.0,31541000.0,12200000.0,28159000.0,9853000.0,29600000.0,18000000.0,11000000.0,11900000.0,9600000.0,6400000.0,6100000.0,3800000.0,2800000.0,5000000.0,5200000.0,-500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,2739000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4199000.0,-8770000.0,-22250000.0,-26092000.0,-27058000.0,-5073000.0,-10538000.0,-8194000.0,-21890000.0,-13400000.0,-18900000.0,-42200000.0,-5800000.0,-1900000.0,-1200000.0,-7900000.0,-1200000.0,-2300000.0,-900000.0,-1100000.0,-1900000.0
,acquisitionsNet,-182000000.0,-448000000.0,-185000000.0,-61000000.0,-49000000.0,-41000000.0,-107000000.0,-5000000.0,-1000000.0,-50000000.0,-22000000.0,-2000000.0,-29000000.0,-17000000.0,-34000000.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21288000.0,-15026000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,29000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
