date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY,1986-03-31_FY
,revenue,25424000000.0,23362000000.0,23747000000.0,22849000000.0,22991000000.0,21662000000.0,20063000000.0,18676000000.0,17265000000.0,15582000000.0,15053000000.0,14642000000.0,15003000000.0,14771000000.0,14268000000.0,12430000000.0,10550000000.0,8356000000.0,5523000000.0,4015700000.0,3448400000.0,3204200000.0,2642300000.0,2345700000.0,2198100000.0,1903800000.0,1620000000.0,1354900000.0,1080300000.0,679800000.0,381200000.0,190400000.0,70200000.0,44300000.0,29800000.0,21100000.0
,costOfRevenue,6159000000.0,4356000000.0,4101000000.0,4069000000.0,4162000000.0,4227000000.0,4422000000.0,3346000000.0,2918000000.0,2427000000.0,2220000000.0,2091000000.0,2296000000.0,2548000000.0,2095000000.0,2082000000.0,1731000000.0,1340700000.0,735700000.0,443000000.0,196600000.0,225300000.0,201400000.0,183700000.0,182900000.0,188700000.0,163600000.0,169300000.0,151200000.0,91200000.0,55200000.0,14700000.0,44000000.0,35500000.0,21800000.0,-2500000.0
,grossProfit,19265000000.0,19006000000.0,19646000000.0,18780000000.0,18829000000.0,17435000000.0,15641000000.0,15330000000.0,14347000000.0,13155000000.0,12833000000.0,12551000000.0,12707000000.0,12223000000.0,12173000000.0,10348000000.0,8819000000.0,7015300000.0,4787300000.0,3572700000.0,3251800000.0,2978900000.0,2440900000.0,2162000000.0,2015200000.0,1715100000.0,1456400000.0,1185600000.0,929100000.0,588600000.0,326000000.0,175700000.0,26200000.0,8800000.0,8000000.0,23600000.0
,grossProfitRatio,0.757748584015104,0.813543361013612,0.827304501621257,0.821917808219178,0.818972641468401,0.80486566337365,0.779594278024224,0.820839580209895,0.830987547060527,0.844243357720447,0.852521092141101,0.857191640486272,0.846963940545224,0.827499830749441,0.853167928231006,0.832502011263073,0.835924170616114,0.839552417424605,0.866793409378961,0.889682994247578,0.942988052430113,0.929686037076337,0.923778526283919,0.921686490173509,0.916791774714526,0.900882445635046,0.899012345679012,0.875046128865599,0.86003887808942,0.865842894969109,0.855194123819517,0.922794117647059,0.373219373219373,0.198645598194131,0.268456375838926,1.11848341232227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,4207000000.0,4116000000.0,3737000000.0,3562000000.0,3840000000.0,4070000000.0,4297000000.0,4083000000.0,3380000000.0,3167000000.0,2894000000.0,2864000000.0,3030000000.0,3266000000.0,3366000000.0,2314000000.0,2028000000.0,1655400000.0,1116600000.0,865000000.0,845000000.0,822800000.0,663300000.0,630800000.0,528300000.0,451700000.0,323600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,5730000000.0,5150000000.0,5332000000.0,4870000000.0,5062000000.0,4846000000.0,4699000000.0,5184000000.0,4801000000.0,4486000000.0,3983000000.0,3820000000.0,3789000000.0,3361000000.0,3366000000.0,2790000000.0,2556000000.0,1952600000.0,1462100000.0,970700000.0,826900000.0,654300000.0,515400000.0,483800000.0,470600000.0,418400000.0,359800000.0,583700000.0,397400000.0,443700000.0,257200000.0,134600000.0,23000000.0,10300000.0,6800000.0,22000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,10126000000.0,9332000000.0,9383000000.0,8807000000.0,9035000000.0,8965000000.0,9450000000.0,9463000000.0,8770000000.0,7947000000.0,7288000000.0,7045000000.0,7493000000.0,7444000000.0,7102000000.0,5500000000.0,4917000000.0,3924100000.0,-4512000000.0,2041500000.0,1883700000.0,1653900000.0,1322500000.0,1231700000.0,1099200000.0,954300000.0,757900000.0,634400000.0,431000000.0,465200000.0,274900000.0,146600000.0,31000000.0,14400000.0,9400000.0,24500000.0
,costAndExpenses,16285000000.0,13688000000.0,13484000000.0,12876000000.0,13197000000.0,13192000000.0,13872000000.0,12809000000.0,11688000000.0,10374000000.0,9508000000.0,9136000000.0,9789000000.0,9992000000.0,9197000000.0,7582000000.0,6648000000.0,5264800000.0,-3776300000.0,2484500000.0,2080300000.0,1879200000.0,1523900000.0,1415400000.0,1282100000.0,1143000000.0,921500000.0,803700000.0,582200000.0,556400000.0,330100000.0,161300000.0,75000000.0,49900000.0,31200000.0,22000000.0
,interestExpense,1262000000.0,1289000000.0,1392000000.0,1304000000.0,1260000000.0,1095000000.0,1071000000.0,1022000000.0,1053000000.0,610000000.0,604000000.0,578000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,3601000000.0,2206000000.0,1946000000.0,1955000000.0,2105000000.0,2108000000.0,2092000000.0,1286000000.0,294000000.0,294000000.0,294000000.0,294000000.0,294000000.0,298000000.0,370000000.0,347000000.0,333000000.0,335800000.0,155200000.0,265900000.0,211800000.0,176800000.0,143800000.0,117100000.0,100300000.0,84200000.0,74500000.0,50700000.0,33600000.0,21500000.0,17700000.0,12000000.0,8000000.0,4100000.0,2600000.0,2500000.0
,EBITDA,12740000000.0,11880000000.0,12209000000.0,11928000000.0,11899000000.0,10578000000.0,8283000000.0,7153000000.0,5871000000.0,5502000000.0,5839000000.0,5800000000.0,5508000000.0,5077000000.0,5441000000.0,5195000000.0,4235000000.0,3427000000.0,9454500000.0,1797100000.0,1579900000.0,1501800000.0,1262200000.0,1047400000.0,1016300000.0,845000000.0,773000000.0,601900000.0,531700000.0,144900000.0,68800000.0,41100000.0,3200000.0,-1500000.0,1200000.0,1600000.0
