date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,793000000.0,858000000.0,667000000.0,474000000.0,378670000.0,590949000.0,488500000.0,508200000.0,319500000.0,691800000.0,202700000.0,-139500000.0,90800000.0,69700000.0,41900000.0,3200000.0
,depreciationAndAmortization,0.0,0.0,1000000.0,1000000.0,734000.0,805000.0,802000.0,829000.0,876000.0,923000.0,672000.0,503000.0,2267959.0,258563.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-39000000.0,16000000.0,3000000.0,-2000000.0,-30860000.0,-590000.0,10303000.0,58205000.0,31264000.0,-93842000.0,30534000.0,24257000.0,-14732869.0,4759450.0,-1593369.0,369453.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600645782.0,-6629380.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207410.0,11388830.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86676000.0,0.0,599937119.0,-7095824.0,224625.0,-321155.0
,otherNonCashItems,-91000000.0,-44000000.0,-2377000000.0,-22000000.0,16936000.0,28548000.0,32981000.0,9810000.0,2530591000.0,771439000.0,-43315000.0,238695000.0,-596640183.0,-20025726.0,-348844426.0,-188173228.0
,netCashProvidedByOperatingActivites,-1210000000.0,304000000.0,-2048000000.0,707000000.0,360384000.0,-658547000.0,-1297603000.0,-250932000.0,-396914000.0,-656491000.0,12257000.0,-309007000.0,-514156045.0,-518262178.0,-349972397.0,-187753464.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1311301216.0,0.0,-498798732.0,-243860004.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311301216.0,0.0,498798732.0,243860004.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11422000000.0,-6241000000.0,-11228000000.0,-10104000000.0,-3697750000.0,-3955423000.0,-5654000000.0,-3091531000.0,-1738632000.0,-2154884000.0,-392136000.0,-721200000.0,-513874741.0,-518573936.0,-2817442.0,-778223.0
,commonStockIssued,64000000.0,0.0,1839000000.0,0.0,0.0,257667000.0,833476000.0,679981000.0,0.0,1330577000.0,109086000.0,259801000.0,344165772.0,211752663.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-5000000.0,-1685000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-694000000.0,-656000000.0,-642000000.0,-477000000.0,-487368000.0,-464373000.0,-411453000.0,-357332000.0,-277150000.0,-229765000.0,-189574000.0,-109214000.0,-99881717.0,-74516005.0,-17303309.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25341000.0,-25176000.0,-7192000.0,-3139000.0,0.0,-2475000.0,-161000000.0,0.0
,netCashUsedProvidedByFinancingActivities,1090000000.0,-324000000.0,2141000000.0,-741000000.0,-297883000.0,703473000.0,1178189000.0,399193000.0,416944000.0,658016000.0,-2413000.0,377248000.0,443759171.0,593187722.0,339779571.0,214558124.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-120000000.0,-20000000.0,93000000.0,-34000000.0,62501000.0,44926000.0,-119414000.0,148261000.0,20030000.0,1525000.0,9844000.0,68241000.0,-70396874.0,74925544.0,-10192826.0,26804660.0
