date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY
,revenue,19890000000.0,20631000000.0,22152000000.0,21506000000.0,20954000000.0,20596000000.0,19937000000.0,18639000000.0,17983000000.0,16913000000.0,16910000000.0,16505000000.0,11436685140.0,10179040000.0,9207070800.0,8818675200.0,8007987830.0,7330891150.0,7264019760.0,7945242800.0,6253454200.0,5759351636.0,5627835720.0,5087088766.0,4754546440.0,4382703360.0,4306417152.0,4481758512.0,4575125142.0,4547863810.0,5174271734.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,6486000000.0,6456000000.0,6304000000.0,6065000000.0,5928000000.0,5901000000.0,5919000000.0,5523000000.0,7909000000.0,0.0,3934000000.0,0.0,2918954820.0,2558272000.0,2321526800.0,1579875840.0,1987223340.0,1836766910.0,1828897470.0,1744424000.0,1814330600.0,1830479724.0,1705481480.0,1752377166.0,1785675052.0,1529182368.0,1366968572.0,1511809824.0,1587407994.0,1670096834.0,1643241480.0,0.0,0.0
,SellingAndMarketingExpenses,217000000.0,245000000.0,299000000.0,307000000.0,300000000.0,284000000.0,295000000.0,299000000.0,0.0,0.0,0.0,0.0,0.0,90080000.0,75017600.0,0.0,0.0,0.0,0.0,89249600.0,103149760.0,100084004.0,99071512.0,73997526.0,0.0,0.0,0.0,0.0,0.0,0.0,18540999.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,18592000000.0,19589000000.0,19159000000.0,19064000000.0,21634000000.0,25100000000.0,27962000000.0,33229000000.0,34419000000.0,26750000000.0,19039000000.0,24622000000.0,16421000000.0,12509000000.0,11128000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,10351000000.0,16315000000.0,16066000000.0,15716000000.0,16674000000.0,18028000000.0,18706000000.0,20144000000.0,24371000000.0,26102000000.0,22309000000.0,18809000000.0,21859000000.0,15762000000.0,12449000000.0,9882432000.0,8181148370.0,5680889170.0,5074131450.0,6208932400.0,6575797200.0,4857062920.0,5408595696.0,5193055428.0,5279975694.0,4188842840.0,3225354036.0,4240939248.0,5654294496.0,7883297940.0,10026681420.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1765000000.0,857000000.0,899000000.0,978000000.0,943000000.0,1442000000.0,217000000.0,221000000.0,850000000.0,721000000.0,720000000.0,610000000.0,328000000.0,310776000.0,279976400.0,450455040.0,427404190.0,413235790.0,373883370.0,393509600.0,270768120.0,237105596.0,244218872.0,217858638.0,0.0,0.0,164165940.0,177347520.0,189053604.0,0.0,192196238.0,0.0,0.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25444000000.0,27340403980.0,0.0,0.0,0.0,0.0,9005893160.0,0.0,0.0,0.0,0.0,7479308440.0,0.0,6837032720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54159345652832,2.39058815078999,0.0,0.0,0.0,0.0,1.22848545636911,0.0,0.0,0.0,0.0,1.32898485530064,0.0,1.43799893560404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6096000000.0,5226789060.0,0.0,0.0,0.0,0.0,2911768200.0,0.0,0.0,0.0,0.0,1830544496.0,0.0,1560093458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36934262344744,0.457019581812147,0.0,0.0,0.0,0.0,0.397191574724172,0.0,0.0,0.0,0.0,0.325266156845104,0.0,0.32812666311868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73385080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4050624.0,0.0,3036432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,4266000000.0,9749000000.0,11731000000.0,11515000000.0,10644000000.0,11416000000.0,10740000000.0,9865000000.0,8862000000.0,8514000000.0,8038000000.0,6096000000.0,5153403980.0,5083890000.0,4487660000.0,4046215680.0,3490696600.0,2911768200.0,2663228340.0,2580124800.0,2543746760.0,2150503308.0,1826493872.0,1782279332.0,1557057026.0,1385209504.0,611805248.0,71716848.0,-1967051088.0,256514048.0,920869617.0,0.0,0.0
