date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,254904000.0,238167000.0,215713000.0,92940000.0,96814000.0,74364000.0,35688000.0,23231000.0,27684000.0,25374000.0,37117000.0,25210000.0,26910000.0,27360000.0,27481000.0,26962000.0,24446000.0,23790000.0,22078000.0,16528000.0,18869000.0,17200000.0,14300000.0,12000000.0,10300000.0,10000000.0,9900000.0,9400000.0,7500000.0,5300000.0
,depreciationAndAmortization,49038000.0,36257000.0,28412000.0,21062000.0,16978000.0,13654000.0,7933000.0,6127000.0,5516000.0,6067000.0,5724000.0,5841000.0,5729000.0,5626000.0,5689000.0,5231000.0,6071000.0,5260000.0,4940000.0,6929000.0,7213000.0,6200000.0,6100000.0,6200000.0,3900000.0,4300000.0,1400000.0,2300000.0,3400000.0,1800000.0
,deferredIncomeTax,-122000.0,34911000.0,8412000.0,23251000.0,-9832000.0,13599000.0,-9029000.0,-4618000.0,485000.0,-3571000.0,8428000.0,1613000.0,739000.0,865000.0,2221000.0,-1342000.0,-2946000.0,122000.0,-1342000.0,1382000.0,-1359000.0,-300000.0,-1700000.0,-300000.0,200000.0,-100000.0,100000.0,800000.0,-500000.0,-600000.0
,stockBasedCompensation,13197000.0,12921000.0,9725000.0,10681000.0,3418000.0,4018000.0,1423000.0,1417000.0,1388000.0,1204000.0,974000.0,627000.0,548000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,14444437000.0,-3319133000.0,-426597000.0,-4811390000.0,-399347000.0,-1843437000.0,-282345000.0,-788358000.0,-60663000.0,-2663495000.0,26110000.0,82213000.0,16795000.0,10901000.0,13645000.0,3673000.0,-5129000.0,74964000.0,-1540000.0,12540000.0,-4145000.0,223200000.0,-99100000.0,-65600000.0,-2700000.0,1200000.0,80800000.0,0.0,0.0,-5400000.0
,accountsReceivables,-10846000.0,3231000.0,-6227000.0,-2432000.0,-1197000.0,713000.0,359000.0,-1097000.0,596000.0,2237000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,50508000.0,-35886000.0,33978000.0,-14194000.0,-5127000.0,1393000.0,6511000.0,-3032000.0,3054000.0,-2847000.0,2282000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,217499000.0,-14226938000.0,-10907805000.0,-10481208000.0,-5669818000.0,-5270471000.0,-3427034000.0,-3144689000.0,-2356331000.0,-2295668000.0,367827000.0,341717000.0,259504000.0,242709000.0,231808000.0,218163000.0,214490000.0,219619000.0,144655000.0,146195000.0,133655000.0,137800000.0,-85400000.0,13700000.0,79300000.0,82000000.0,80800000.0,0.0,0.0,0.0
,otherNonCashItems,-41468000.0,-3351000.0,4050000.0,14320000.0,11825000.0,5171000.0,-1843000.0,-1319000.0,-4874000.0,-1481000.0,-1670000.0,-1270000.0,-1547000.0,2688000.0,2239000.0,6573000.0,8116000.0,8914000.0,10265000.0,10130000.0,7744000.0,6700000.0,4800000.0,4300000.0,2100000.0,-13000000.0,41100000.0,0.0,-4100000.0,4500000.0
,netCashProvidedByOperatingActivites,202543000.0,266347000.0,260679000.0,114581000.0,91134000.0,88698000.0,11620000.0,36089000.0,36082000.0,29557000.0,39107000.0,29749000.0,34889000.0,35800000.0,41560000.0,37003000.0,39071000.0,53376000.0,31982000.0,17281000.0,33051000.0,24300000.0,28500000.0,30400000.0,28200000.0,200000.0,59800000.0,-13500000.0,6500000.0,5400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-13272000.0,-67831000.0,-29740000.0,-34216000.0,-17264000.0,-9094000.0,-11293000.0,-4772000.0,-2268000.0,-14470000.0,-4001000.0,-4257000.0,-8353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,182000000.0,1000000.0,-55000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-4449817000.0,-1710483000.0,-827086000.0,-855568000.0,-867734000.0,-504767000.0,-678855000.0,-363910000.0,-1020744000.0,-620088000.0,-794559000.0,-943034000.0,-473730000.0,-177499000.0,-165301000.0,-106141000.0,-184022000.0,-541939000.0,-548251000.0,-516619000.0,-133649000.0,-189100000.0,-251600000.0,-282500000.0,-175100000.0,-133700000.0,-150000000.0,-84900000.0,-78500000.0,-51600000.0
,salesMaturitiesOfInvestments,4078264000.0,2043083000.0,347087000.0,1264824000.0,854297000.0,748565000.0,640354000.0,322627000.0,1063143000.0,536072000.0,928357000.0,939984000.0,359794000.0,177502000.0,161937000.0,122528000.0,198560000.0,451356000.0,592426000.0,470072000.0,148097000.0,191000000.0,254300000.0,277700000.0,163300000.0,103200000.0,177100000.0,88900000.0,45000000.0,29400000.0
,otherInvestingActivites,194366000.0,21656000.0,-29646000.0,18112000.0,31951000.0,30854000.0,34774000.0,26362000.0,97354000.0,49359000.0,160302000.0,4139000.0,8294000.0,-72324000.0,-72429000.0,-176598000.0,-89876000.0,-58186000.0,-965000.0,25155000.0,-114704000.0,-84300000.0,-63800000.0,-88700000.0,-45800000.0,-20000000.0,-24000000.0,-27100000.0,-41700000.0,-3200000.0
