date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-144584000.0,-343810000.0,85416000.0,139692000.0,-35193000.0,-331428000.0,65350000.0,-98400000.0,-18500000.0,-155600000.0,70800000.0,98900000.0,68700000.0,211700000.0,497400000.0,70400000.0
,depreciationAndAmortization,363603000.0,346634000.0,333144000.0,297825000.0,299134000.0,217617000.0,84402000.0,75300000.0,76600000.0,105800000.0,100400000.0,88300000.0,82700000.0,88200000.0,57300000.0,43800000.0
,deferredIncomeTax,-34505000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21200000.0,1900000.0,46300000.0,98900000.0,-133700000.0,-9800000.0
,stockBasedCompensation,15008000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6336000.0,0.0,0.0,0.0,0.0,2674000.0
,changeInWorkingCapital,-2383000.0,-23281000.0,-51214000.0,-1602000.0,75463000.0,-39791000.0,281760000.0,118600000.0,338400000.0,-75200000.0,54100000.0,-16400000.0,11300000.0,18900000.0,-59000000.0,17900000.0
,accountsReceivables,0.0,0.0,0.0,-39326000.0,0.0,-14077000.0,-35365000.0,-16602000.0,44277000.0,0.0,0.0,6300000.0,27300000.0,41700000.0,-75000000.0,0.0
,inventory,-2867000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4200000.0,63900000.0,-43800000.0,-40300000.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,5679000.0,396146000000.0,547715000.0,448274000.0,193709000.0,207273000.0,213703000.0,618012000.0,976227000.0,1067065000.0,211024000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,81277000.0,331313000.0,112206000.0,103661000.0,135670000.0,339267000.0,-166168000.0,52200000.0,150300000.0,252600000.0,4400000.0,-79700000.0,22200000.0,46500000.0,11900000.0,-2700000.0
,netCashProvidedByOperatingActivites,239480000.0,310856000.0,479552000.0,539576000.0,475074000.0,185665000.0,265263000.0,139900000.0,544100000.0,253000000.0,248100000.0,93100000.0,231200000.0,464200000.0,373800000.0,119600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-361185000.0,-259202000.0,-190899000.0,-249763000.0,-192822000.0,-490664000.0,-845312957.634857,-847117217.802906,-511109435.782998,-236647404.505387,-167615181.570949,-97329767.930475,-118912900.575185,-118083409.067959,-102307824.2965,-61067676.941622
,acquisitionsNet,0.0,-45000000.0,-15000000.0,0.0,0.0,-11756000.0,3000000.0,0.0,0.0,-103000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52619000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-359018000.0,-292370000.0,-202136000.0,-234264000.0,-147056000.0,-485544000.0,-830411074.54818,-988958178.76161,-548488686.509253,-207760039.177277,-162249040.153575,538830102.186993,-602567789.646672,-118980107.038271,-116408716.540837,-49448940.933356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-443232000.0,0.0,0.0,-10617000.0,0.0,-1823000.0,0.0,4501000.0,-62663000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3672000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,11719000.0,14008000.0,0.0,400000.0,200000.0,100000.0,-56300000.0,3900000.0,-49400000.0,1400000.0,120300000.0,17000000.0
,dividendsPaid,-3783000.0,-3927000.0,-4045000.0,-3686000.0,-3567000.0,-3604000.0,-3814000.0,-18400000.0,-34400000.0,-34700000.0,-14500000.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,98801000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,162093000.0,-137778000.0,-120354000.0,-92847000.0,-236077000.0,187959000.0,186941577.795772,172288851.113386,431184222.429963,-35746327.130264,-75597904.335306,112692.197498,-53113393.590797,-6587902.655761,-38196636.925189,-6344067.504736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,434000.0,-59000.0,1936000.0,-2830000.0,1071000.0,-12896000.0,27612287.442069,18581477.690018,10913422.393776,2887365.32811,-2825547.912334,-9009645.688091,15949876.746097,-2133696.859538,416952.642416,-2546065.093852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
