date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,159327000.0,341123000.0,281578000.0,100419000.0
,depreciationAndAmortization,329924000.0,301683000.0,281279000.0,287591000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0
,stockBasedCompensation,18822000.0,15359000.0,15987000.0,15212000.0
,changeInWorkingCapital,-30838000.0,113836000.0,-335537000.0,-87508000.0
,accountsReceivables,-45702000.0,-94582000.0,-91929000.0,-70280000.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0
,otherWorkingCapital,15583000.0,20963000.0,-92873000.0,242664000.0
,otherNonCashItems,-2549000.0,3500000.0,-2706000.0,-230000.0
,netCashProvidedByOperatingActivites,708256000.0,553747000.0,499373000.0,577912000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-30995000.0,-351149000.0,35202000.0,-214295000.0
,acquisitionsNet,-8000000.0,-60000000.0,0.0,2000000.0
,purchasesOfInvestments,-167936000.0,-100312000.0,-385707000.0,-139047000.0
,salesMaturitiesOfInvestments,149866000.0,91281000.0,181371000.0,95696000.0
,otherInvestingActivites,-51668000.0,135727000.0,-9556000.0,-42003000.0
,netCashUsedForInvestingActivites,-89057000.0,-378953000.0,-173219000.0,-285133000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1838155000.0,-2081322000.0,-1270049000.0,-2839788000.0
,commonStockIssued,152783000.0,404863000.0,75532000.0,22120000.0
,commonStockRepurchased,0.0,0.0,-134000.0,-48000.0
,dividendsPaid,-612310000.0,-564127000.0,-528696000.0,-502603000.0
,otherFinancingActivites,-35406000.0,89198000.0,23300000.0,-15102000.0
,netCashUsedProvidedByFinancingActivities,-485548000.0,-153959000.0,-410701000.0,-303815000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,527000.0,874000.0,-590000.0,568000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,134178000.0,21709000.0,-85137000.0,-10468000.0
,cashAtEndOfPeriod,167558000.0,33380000.0,11671000.0,96808000.0
,cashAtBeginningOfPeriod,33380000.0,11671000.0,96808000.0,107276000.0
,operatingCashFlow,708256000.0,553747000.0,499373000.0,577912000.0
,capitalExpenditure,0.0,-351149000.0,35202000.0,-214295000.0
,freeCashFlow,708256000.0,553747000.0,499373000.0,577912000.0
