date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-07-31_FY,2008-07-31_FY
,revenue,1253760000.0,1108595000.0,1041758000.0,890151000.0,718774000.0,694700000.0,601552000.0,573621000.0,546285000.0,467398000.0,363888000.0,234816000.0,168126000.0
,costOfRevenue,526866000.0,399086000.0,402787000.0,355665000.0,267012000.0,270370000.0,202136000.0,217143000.0,192375000.0,0.0,0.0,0.0,0.0
,grossProfit,726894000.0,709509000.0,638971000.0,534486000.0,451762000.0,424330000.0,399416000.0,356478000.0,353910000.0,467398000.0,363888000.0,234816000.0,168126000.0
,grossProfitRatio,0.579771248085758,0.64000739674994,0.613358380737177,0.600444194299619,0.628517447765222,0.610810421764791,0.663975849136899,0.621452143488471,0.647848650429721,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,281710000.0,199751000.0,206040000.0,155601000.0,139350000.0,134560000.0,105200000.0,88976000.0,71900000.0,215202000.0,171679000.0,95360000.0,69371000.0
,SellingAndMarketingExpenses,415111000.0,386840000.0,326333000.0,280561000.0,249096000.0,230441000.0,235227000.0,218370000.0,209870000.0,168747000.0,122890000.0,75786000.0,69577000.0
,otherExpenses,-1217000.0,0.0,0.0,0.0,0.0,0.0,7129000.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,696821000.0,586591000.0,532373000.0,436162000.0,388446000.0,365001000.0,340427000.0,307346000.0,281770000.0,383949000.0,294569000.0,0.0,0.0
,costAndExpenses,1223687000.0,985677000.0,935160000.0,791827000.0,655458000.0,635371000.0,542563000.0,524489000.0,474145000.0,383949000.0,294569000.0,171146000.0,138948000.0
,interestExpense,761000.0,1837000.0,6482000.0,6109000.0,9122000.0,5944000.0,1276000.0,72000.0,76000.0,346000.0,52000.0,1000.0,247000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,86124000.0,82105000.0,71342000.0,64580000.0,62481000.0,61714000.0,36984000.0,27099000.0,18131000.0,12330000.0,7588000.0,4593000.0,4407000.0
,EBITDA,116197000.0,205023000.0,177940000.0,162904000.0,125797000.0,121043000.0,95973000.0,76231000.0,90271000.0,95779000.0,76907000.0,68263000.0,33585000.0
,EBITDARatio,0.0926788221031138,0.184939495487532,0.170807423605098,0.183007152719033,0.175016069028652,0.17423780048942,0.15954231720616,0.132894367535359,0.1652452474441,0.204919576035841,0.211347997185947,0.290708469610248,0.199760893615503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,30073000.0,122918000.0,106598000.0,98324000.0,63316000.0,59329000.0,58989000.0,49132000.0,72140000.0,83449000.0,69319000.0,63670000.0,29178000.0
,operatingIncomeRatio,0.0239862493619193,0.110877281604193,0.102325108134519,0.110457663924435,0.0880888846841984,0.0854023319418454,0.098061347979892,0.0856523732569066,0.132055611997401,0.178539488829648,0.190495427164402,0.271148473698555,0.173548410120981
,totalOtherIncomeExpensesNet,-1217000.0,0.0,0.0,0.0,0.0,0.0,7129000.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,28095000.0,121081000.0,123817000.0,103458000.0,61561000.0,58122000.0,68906000.0,52500000.0,76138000.0,84013000.0,69632000.0,64065000.0,29596000.0
,incomeBeforeTaxRatio,0.0224085949464012,0.109220229209044,0.118853898890145,0.116225224709066,0.0856472270838956,0.0836648913199942,0.114547038327526,0.0915238458843034,0.139374136210952,0.179746169217669,0.191355581937299,0.272830641864268,0.176034640686152
,incomeTaxExpense,4964000.0,21184000.0,5114000.0,17571000.0,19961000.0,19707000.0,26213000.0,18460000.0,28919000.0,31930000.0,27400000.0,26902000.0,12261000.0
,netIncome,23131000.0,99897000.0,118703000.0,85887000.0,41600000.0,38415000.0,42693000.0,34040000.0,47219000.0,52083000.0,42232000.0,37163000.0,17335000.0
,netIncomeRatio,0.0184493044920878,0.0901113571683076,0.113944889312105,0.096485877115231,0.0578763283034723,0.0552972506117749,0.0709714205920685,0.0593423183600321,0.0864365669934192,0.11143179902353,0.116057688079849,0.158264343145271,0.103107193414463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.43,1.91,2.27,1.7,0.82,0.73,0.92,0.78,1.1,1.24,1.12,0.630104,0.284446
,EPSDiluted,0.42,1.88,2.18,1.61,0.8,0.72,0.9,0.76,1.07,1.19,0.52,0.25336,0.114374
,weightedAverageShsOut,52438000.0,52195000.0,52222000.0,50482000.0,49535000.0,51332000.0,40907000.0,35875000.0,34487000.0,22238000.0,24569000.0,12955000.0,12955000.0
,weightedAverageShsOutDil,52438000.0,53138000.0,54481000.0,53198000.0,50797000.0,51875000.0,41770000.0,37156000.0,35921000.0,42065000.0,52578000.0,32219000.0,32219000.0
