Date,2018-12-31,2017-12-31
Depreciation & Amortization,1345000.0,715000.0
Stock-based compensation,2159000.0,1371000.0
Operating Cash Flow,-22562000.0,-20074000.0
Capital Expenditure,-8981000.0,-1908000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-8981000.0,-1908000.0
Issuance (repayment) of debt,-70000.0,0.0
Issuance (buybacks) of shares,12000.0,41000.0
Dividend payments,0.0,0.0
Financing Cash Flow,105025000.0,17662000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,73482000.0,-4320000.0
Free Cash Flow,-31543000.0,-21982000.0
Net Cash/Marketcap,0.161,0.161
