Date,2017-12-31,2017-12,2016-12-25,2016-12,2015-12-27,2015-12,2014-12-28,2014-12,2013-12-29,2013-12
Cash and cash equivalents,249828000.0,250000000.0,353076000.0,353000000.0,180549000.0,181000000.0,38477000.0,38000000.0,116739000.0,117000000.0
Short-term investments,0.0,,51679000.0,,40571000.0,,121788000.0,,141142000.0,
Cash and short-term investments,249828000.0,,353076000.0,,180549000.0,,38477000.0,,116739000.0,
Receivables,281622000.0,270000000.0,289582000.0,280000000.0,219736000.0,211000000.0,190754000.0,184000000.0,164664000.0,155000000.0
Inventories,489806000.0,490000000.0,445491000.0,445000000.0,403101000.0,403000000.0,356467000.0,356000000.0,361872000.0,362000000.0
Total current assets,1032317000.0,5546000000.0,1150515000.0,5589000000.0,857634000.0,4482000000.0,715709000.0,4485000000.0,792309000.0,4289000000.0
Property Plant & Equipment Net,739713000.0,740000000.0,723345000.0,723000000.0,631109000.0,631000000.0,605906000.0,606000000.0,523270000.0,523000000.0
Goodwill and Intangible Assets,2177961000.0,4771000000,2163156000.0,4838000000,1714008000.0,3825000000,1719560000.0,3845000000,1628095000.0,3705000000
Long-term investments,0.0,28000000.0,0.0,26000000.0,0.0,9000000.0,0.0,7000000.0,0.0,5000000.0
Tax assets,614000.0,000000.0,51679000.0,52000000.0,40571000.0,41000000.0,121788000.0,122000000.0,141142000.0,141000000.0
Total non-current assets,5545947000.0,3638000000.0,5589130000.0,4220000000.0,4482449000.0,3129000000.0,4485236000.0,3104000000.0,4288882000.0,3152000000.0
Total assets,6578264000.0,6578000000.0,6739645000.0,6740000000.0,5340083000.0,5340000000.0,5200945000.0,5201000000.0,5081191000.0,5081000000.0
Payables,323062000.0,323000000.0,292478000.0,292000000.0,211039000.0,211000000.0,198579000.0,199000000.0,142353000.0,142000000.0
Short-term debt,33934000.0,37000000.0,23801000.0,26000000.0,14847000.0,17000000.0,11916000.0,14000000.0,24580000.0,27000000.0
Total current liabilities,561311000.0,561000000.0,571696000.0,572000000.0,405647000.0,406000000.0,383436000.0,383000000.0,331304000.0,331000000.0
Long-term debt,2925594000.0,2926000000.0,3140496000.0,3140000000.0,2272932000.0,2273000000.0,2285984000.0,2286000000.0,2476167000.0,2476000000.0
Total debt,2959528000.0,2926000000.0,3164297000.0,3140000000.0,2287779000.0,2273000000.0,2297900000.0,2286000000.0,2500747000.0,2476000000.0
Deferred revenue,0.0,2000000.0,0.0,5000000.0,0.0,2000000.0,0.0,2000000.0,0.0,1000000.0
Tax Liabilities,26805000.0,635000000.0,29173000.0,984000000.0,8611000.0,746000000.0,8242000.0,723000000.0,6905000.0,602000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,3583464000.0,3638000000.0,4162684000.0,4220000000.0,3065453000.0,3129000000.0,3041690000.0,3104000000.0,3101999000.0,3152000000.0
Total liabilities,4199132000.0,4199000000.0,4791637000.0,4792000000.0,3534554000.0,3535000000.0,3486956000.0,3487000000.0,3483150000.0,3483000000.0
Other comprehensive income,1420944000,-30000000.0,1397337000,-52000000.0,1346411000,-59000000.0,1331019000,-38000000.0,1328847000,-7000000.0
Retained earnings (deficit),987238000.0,987000000.0,601049000.0,601000000.0,517330000.0,517000000.0,419531000.0,420000000.0,275519000.0,276000000.0
Total shareholders equity,2379132000.0,2379000000.0,1948008000.0,1948000000.0,1805529000.0,1806000000.0,1713989000.0,1714000000.0,1598041000.0,1598000000.0
Investments,0.0,28000000.0,51679000.0,26000000.0,40571000.0,9000000.0,121788000.0,7000000.0,141142000.0,5000000.0
Net Debt,2709700000.0,2713000000,2811221000.0,2813000000,2107230000.0,2109000000,2259423000.0,2262000000,2384008000.0,2386000000
Other Assets,0.0,31000000,0.0,12000000,0.0,25000000,0.0,34000000,0.0,66000000
Other Liabilities,54357000.0,103000000,57257000.0,127000000,63454000.0,110000000,61830000.0,106000000,49847000.0,108000000
