date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY
,revenue,28111000.0,25832530.0,26426347.0,16600244.0,12279979.0,8521998.0,528991.0,7278383.0,18775.0,1012141.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,26673000.0,25818075.0,25527360.0,17308156.0,12709678.0,9102560.0,498436.0,461671.0,67967.0,418171.0,2713.0,0.0,0.0,0.0,0.0
,grossProfit,1438000.0,14455.0,898987.0,-707912.0,-429699.0,-580562.0,30555.0,6816712.0,-49192.0,593970.0,-2713.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0511543523887446,0.000559565787787723,0.0340185875860935,-0.042644674379485,-0.0349918350837571,-0.0681251039955654,0.0577609070853757,0.936569564970681,-2.62007989347537,0.586845113477272,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,4128000.0,8057147.0,14989746.0,3366468.0,2340958.0,1669387.0,1249007.0,744230.0,729225.0,2097980.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,7658119.0,7116535.0,6193269.0,7760127.0,8793151.0,4106694.0,2205450.0,1785543.0,78566.0,52862.0,82146.0,29202.0,59786.0
,SellingAndMarketingExpenses,0.0,0.0,927414.0,1161952.0,1581741.0,1357518.0,85930.0,9052.0,61876.0,286033.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,20445000.0,22438567.0,24917614.0,12591952.0,10958148.0,11463321.0,11767536.0,5004265.0,3194957.0,4349509.0,78566.0,52862.0,82146.0,29202.0,59786.0
,costAndExpenses,47118000.0,48256642.0,50444974.0,29900108.0,23667826.0,20565881.0,12265972.0,5465936.0,3262924.0,4767680.0,81279.0,52862.0,82146.0,29202.0,59786.0
,interestExpense,72000.0,56382.0,10939.0,29104.0,37745.0,52982.0,7094.0,748605.0,1494545.0,103998.0,8655.0,2622.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1346000.0,1425003.0,1342335.0,946997.0,842180.0,676289.0,462772.0,144289.0,198406.0,179953.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,-17661000.0,-20999109.0,-22676292.0,-12352867.0,-10545667.0,-11367594.0,-11274209.0,1956736.0,-3045743.0,-3575586.0,-81279.0,-52862.0,-82146.0,-29202.0,-59786.0
,EBITDARatio,-0.628259400234784,-0.812894013865463,-0.858094083151182,-0.744137676530538,-0.85876913958892,-1.333911836168,-21.3126669451843,0.268842131555869,-162.223328894807,-3.53269554340749,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-19007000.0,-22424112.0,-24018627.0,-13299864.0,-11387847.0,-12043883.0,-11736981.0,1812447.0,-3244149.0,-3755539.0,-81279.0,-52862.0,-82146.0,-29202.0,-59786.0
,operatingIncomeRatio,-0.676141012415069,-0.86805713571222,-0.908889412524554,-0.801184850054011,-0.927350690094828,-1.41326986934285,-22.1874871217091,0.249017810686797,-172.790892143808,-3.71048994161881,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,-2345000.0,-5144374.0,14993619.0,184753.0,-172723.0,1033736.0,-3851283.0,-27217000.0,-1998043.0,2511750.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-19673000.0,-26558544.0,-7966911.0,-13029117.0,-11581430.0,-11031931.0,-15595358.0,-26153158.0,-6736737.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,-0.699832805663263,-1.02810464170563,-0.30147606099322,-0.784875029547758,-0.943114805000888,-1.29452400716358,-29.4813295500301,-3.59326487765208,-358.814221038615,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-19711000.0,-26558544.0,-7966911.0,-13029117.0,-11581430.0,-11031931.0,-15595358.0,-26153158.0,-6735281.0,-1353903.0,-89933.0,-55469.0,-82146.0,-29672.0,-59786.0
,netIncomeRatio,-0.70118458966241,-1.02810464170563,-0.30147606099322,-0.784875029547758,-0.943114805000888,-1.29452400716358,-29.4813295500301,-3.59326487765208,-358.736671105193,-1.33766244031217,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.156582257435705,-0.21,-0.06,-0.13,-0.15,-0.16,-0.26,-0.6,-0.22,-0.05,-0.009993,-0.003595,-0.003595,-0.003595,-0.025162
,EPSDiluted,-0.156582257435705,-0.21,-0.06,-0.13,-0.15,-0.16,-0.26,-0.6,-0.22,-0.05,-0.009993,-0.003595,-0.003595,-0.003595,-0.025162
,weightedAverageShsOut,125882717.0,125882717.0,124298981.0,101161380.0,79842773.0,68143284.0,59993413.0,43635182.0,30419556.0,26391204.0,17356590.0,17356589.0,17221089.0,8715914.0,2357057.0
,weightedAverageShsOutDil,125882717.0,125882717.0,124298981.0,101161380.0,79842773.0,68143284.0,59993413.0,43635182.0,30419556.0,26391204.0,17356590.0,17356589.0,17221089.0,8715914.0,2357057.0
