date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,61562000.0,66066000.0,27613000.0,28358000.0,18042000.0,14661000.0,-4676000.0,5347000.0,11106000.0,-543000.0
,depreciationAndAmortization,18380000.0,15960000.0,12854000.0,6748000.0,5524000.0,4890000.0,6777000.0,6268000.0,6073000.0,5999000.0
,deferredIncomeTax,8715000.0,6794000.0,45793000.0,9577000.0,5176000.0,7933000.0,-2654000.0,0.0,0.0,0.0
,stockBasedCompensation,3871000.0,3398000.0,2807000.0,2084000.0,1947000.0,1467000.0,2577000.0,127000.0,132000.0,118000.0
,changeInWorkingCapital,1972000.0,-16209000.0,37629000.0,14014000.0,10163000.0,15373000.0,-18607000.0,1584000.0,8372000.0,859000.0
,accountsReceivables,14193000.0,-3041000.0,-12181000.0,4870000.0,-5211000.0,-2170000.0,1167000.0,-161000.0,-3675000.0,-2000.0
,inventory,-5263000.0,-15410000.0,-6336000.0,-3300000.0,-52000.0,-2884000.0,-1251000.0,-2516000.0,944000.0,-3063000.0
,accountsPayables,-5812000.0,-2791000.0,4612000.0,-5018000.0,7003000.0,-366000.0,-4133000.0,1802000.0,-1189000.0,3123000.0
,otherWorkingCapital,54291000.0,52319000.0,68528000.0,30899000.0,16885000.0,6722000.0,-8651000.0,9956000.0,8372000.0,0.0
,otherNonCashItems,-2919000.0,-3166000.0,-27708000.0,-15454000.0,671000.0,-19936000.0,21572000.0,137000.0,170000.0,180000.0
,netCashProvidedByOperatingActivites,94141000.0,81500000.0,58455000.0,35856000.0,35602000.0,12552000.0,23765000.0,25899000.0,15495000.0,6613000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-41291000.0,-17938000.0,-10449000.0,-9262000.0,-6176000.0,-5366000.0,-5915000.0,-2878000.0,-2651000.0,-1306000.0
,acquisitionsNet,0.0,-100000000.0,-126000000.0,0.0,0.0,-12000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-40394000.0,-118011000.0,-135856000.0,-9246000.0,-5990000.0,-17129000.0,-5906000.0,-2878000.0,-2651000.0,-1302000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-135000000.0,-85000000.0,-50000000.0,-72000000.0,-6500000.0,-21500000.0,-88589000.0,-26155000.0,-6872000.0,-6154000.0
,commonStockIssued,0.0,0.0,55317000.0,0.0,0.0,133362000.0,99512000.0,0.0,0.0,0.0
,commonStockRepurchased,-13833000.0,0.0,0.0,0.0,-3981000.0,-71406000.0,0.0,0.0,-260000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23542000.0,0.0,0.0
,otherFinancingActivites,-2667000.0,-3374000.0,-4115000.0,-2719000.0,-1541000.0,-139714000.0,-97566000.0,-664000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-47323000.0,2375000.0,106202000.0,-19719000.0,-12022000.0,742000.0,-21643000.0,-21861000.0,-7132000.0,-6154000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-29000.0,-95000.0,0.0,10000.0,-56000.0,49000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,6395000.0,-34231000.0,28801000.0,6901000.0,17534000.0,-3786000.0,-3784000.0,1160000.0,5712000.0,-843000.0
,cashAtEndOfPeriod,33787000.0,27392000.0,61623000.0,32822000.0,25921000.0,8387000.0,12173000.0,15957000.0,14797000.0,9085000.0
,cashAtBeginningOfPeriod,27392000.0,61623000.0,32822000.0,25921000.0,8387000.0,12173000.0,15957000.0,14797000.0,9085000.0,9928000.0
,operatingCashFlow,94141000.0,81500000.0,58455000.0,35856000.0,35602000.0,12552000.0,23765000.0,25899000.0,15495000.0,6613000.0
,capitalExpenditure,-41291000.0,-17938000.0,-10449000.0,-9262000.0,-6176000.0,-5466000.0,-5915000.0,-2878000.0,-2651000.0,-1306000.0
,freeCashFlow,52850000.0,63562000.0,48006000.0,26594000.0,29426000.0,7086000.0,17850000.0,23021000.0,12844000.0,5307000.0
