date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,43165000000.0,40522000000.0,40030000000.0,33781000000.0,34829000000.0,47664000000.0,51171000000.0,50967000000.0,60537000000.0,56576000000.0,41825000000.0,54263999516.4,29700000461.9,22464999387.7,19033000090.4,12953999393.8,9228683700.0,8443000000.0,8152000000.0,11597521209.2245,11584028568.6554,11847791517.9683,12289936024.5983,7757646333.52742,7965572655.91199,3577067992.43313,4709780486.36175,4926212973.77641,6646457842.14663,7459202962.84866,9878048780.4878,8879919273.46115,8481816648.8674,6423523846.1311,4463573105.90235
,costOfRevenue,16412000000.0,16559000000.0,15807000000.0,15530000000.0,16819000000.0,19704000000.0,16674000000.0,16624000000.0,36260000000.0,36667000000.0,33818000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4160000000.0,3647000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,26753000000.0,23963000000.0,24223000000.0,18251000000.0,18010000000.0,27960000000.0,34497000000.0,34343000000.0,24277000000.0,19909000000.0,8007000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4283000000.0,4505000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.619784547665933,0.591357780958492,0.605121159130652,0.540274118587372,0.517097820781533,0.586606243705942,0.674151374802134,0.673828163321365,0.40102747080298,0.351898331447964,0.191440526001195,0.0,0.0,0.0,0.0,0.0,0.0,0.507284140708279,0.552625122669284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,45000000.0,45000000.0,58000000.0,60000000.0,104000000.0,112000000.0,231000000.0,129000000.0,0.0,0.0,0.0,307000678.8,69000633.6,14999612.0,20000207.8,15999433.8,23201100.0,25000000.0,39000000.0,58009917.552874,70395852.206548,88375134.865964,129966276.532434,90762749.597561,92712775.820508,140706345.856198,124253002.780901,77351250.511883,102915310.055761,98375834.265653,85044929.396662,55859881.793282,72133850.448729,58691345.613672,49558440.06166
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395000000.0,1260000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,2257000000.0,2580000000.0,2338000000.0,1454000000.0,2165000000.0,3370000000.0,3513000000.0,3075000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,589000000.0,0.0,0.0,0.0,0.0,0.0,-2078000000.0,-3168000000.0,-2756000000.0,-1552000000.0,-12000542.2,-1242000000.0,-1251616332.44745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,28181000000.0,23209000000.0,25131000000.0,26737000000.0,28423000000.0,35256000000.0,36426000000.0,39922000000.0,38050000000.0,37555000000.0,34581000000.0,39067000000.0,21239000000.0,14031000000.0,12552000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,27952000000.0,28137600000.0,27367000000.0,27258000000.0,28758000000.0,34691000000.0,37123000000.0,39503000000.0,37697000000.0,35900000000.0,34332000000.0,36068998419.8,21436000083.8,13677998935.3,12294000088.4,10224997589.3,7656363000.0,6588000000.0,5932000000.0,8404744593.14135,8992418305.94021,9422998755.08341,9742055478.41037,6430455183.75175,5793003275.85141,2778168628.73849,3930240814.15301,4316503116.80039,5529358931.17772,7459202962.84866,9878048780.4878,8879919273.46115,8481816648.8674,6423523846.1311,4463573105.90235
