date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-09-30_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,2122300000.0,2231600000.0,2270300000.0,2261100000.0,2259200000.0,2196900000.0,2453100000.0,0.0,0.0,2867700000.0,0.0,0.0,0.0,3671200000.0,3915900000.0,3716900000.0,2869700000.0,4070700000.0,3797600000.0,4005600000.0,5948200000.0,4926600000.0,3779000000.0,3023900000.0,3182363000.0,3298727000.0,2172400000.0,1617800000.0,1472300000.0
,costOfRevenue,1107400000.0,1278700000.0,1367100000.0,1377900000.0,1345700000.0,1316600000.0,1546200000.0,0.0,0.0,1918100000.0,0.0,0.0,0.0,2520200000.0,2277900000.0,2187400000.0,1557700000.0,2818000000.0,2634700000.0,2902500000.0,4963100000.0,0.0,2846000000.0,0.0,0.0,2173026000.0,1230800000.0,772100000.0,701800000.0
,grossProfit,1014900000.0,952900000.0,903200000.0,883200000.0,913500000.0,880300000.0,906900000.0,0.0,0.0,949600000.0,0.0,0.0,0.0,1151000000.0,1638000000.0,1529500000.0,1312000000.0,1252700000.0,1162900000.0,1103100000.0,985100000.0,4926600000.0,933000000.0,3023900000.0,3182363000.0,1125701000.0,941600000.0,845700000.0,770500000.0
,grossProfitRatio,0.478207604956886,0.427003047141065,0.397832885521737,0.390606342045907,0.404346671388102,0.400700987755474,0.369695487342546,0.0,0.0,0.331136450814241,0.0,0.0,0.0,0.313521464371323,0.418294644909216,0.411498829669886,0.457190647105969,0.307735770260643,0.306219717716453,0.275389454763331,0.165613126660166,1.0,0.246890711828526,1.0,1.0,0.341253156141748,0.433437672620144,0.522746940289282,0.523330842898866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,9800000.0,10800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-1600000.0,-11400000.0,-12500000.0,32300000.0,9100000.0,12700000.0,3400000.0,0.0,0.0,9600000.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
