date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,revenue,1042316000.0,1218219000.0,1275059000.0,1282725000.0,1270593000.0,1284753000.0,1213475000.0,1132818000.0
,costOfRevenue,0.0,601191000.0,596246000.0,585545000.0,580772000.0,604087000.0,592101000.0,540551000.0
,grossProfit,1042316000.0,617028000.0,678813000.0,697180000.0,689821000.0,680666000.0,621374000.0,592267000.0
,grossProfitRatio,1.0,0.506500062796591,0.532377717423272,0.543514782981543,0.542912640003526,0.529803004935579,0.512061641154536,0.522826261588358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,92173000.0,95155000.0,91094000.0,94652000.0,98045000.0,98625000.0,84381000.0,109053000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,800868000.0,391000.0,765000.0,399000.0,1576000.0,-2732000.0,-3763000.0,0.0
,operatingExpenses,893041000.0,292523000.0,299754000.0,320909000.0,319329000.0,302477000.0,271200000.0,275972000.0
,costAndExpenses,893041000.0,893714000.0,896000000.0,906454000.0,900101000.0,906564000.0,863301000.0,816523000.0
,interestExpense,-130133000.0,117067000.0,116348000.0,118510000.0,127633000.0,123411000.0,123736000.0,194980000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,206013000.0,197400000.0,209329000.0,229216000.0,221309000.0,203897000.0,187207000.0,168053000.0
,EBITDA,205932000.0,521905000.0,588388000.0,605487000.0,591801000.0,582086000.0,537381000.0,484348000.0
,EBITDARatio,0.197571561791242,0.428416401320288,0.461459430504784,0.472031807285272,0.46576755892721,0.45307230261381,0.442844722800223,0.427560296534836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-81000.0,324505000.0,379059000.0,376271000.0,370492000.0,378189000.0,350174000.0,316295000.0
,operatingIncomeRatio,-7.77115577233776e-05,0.266376571043466,0.297287419640973,0.29333723128496,0.291589832464054,0.294367088459805,0.288571251982942,0.279210782314547
,totalOtherIncomeExpensesNet,8000.0,-10589000.0,-3387000.0,-18132000.0,-35687000.0,114953000.0,-16427000.0,-31246000.0
,incomeBeforeTax,71756000.0,194453000.0,253832000.0,231702000.0,197703000.0,359558000.0,195611000.0,77666000.0
,incomeBeforeTaxRatio,0.0688428461234405,0.159620725009214,0.199074709484032,0.180632637548968,0.155598999837084,0.279865468304024,0.161199035826861,0.068559998163871
,incomeTaxExpense,-24500000.0,29315000.0,42076000.0,59514000.0,34351000.0,76536000.0,45057000.0,-4990000.0
,netIncome,96256000.0,69668000.0,112864000.0,78847000.0,69932000.0,113040000.0,39596000.0,86231000.0
,netIncomeRatio,0.0923481938298942,0.0571884037270803,0.0885166882473674,0.0614683583776725,0.0550388676783203,0.0879857840378656,0.0326302560827376,0.0761207890411346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.542102138798952,0.388158,0.59964,0.410448,0.357879,0.552509,0.193607,0.420083
,EPSDiluted,0.540163189261383,0.37,0.59,0.41,0.35,0.552509,0.193607,0.420083
,weightedAverageShsOut,177560635.0,179483397.0,188219605.0,192099933.0,195406944.0,204593912.0,204517265.0,204788000.0
,weightedAverageShsOutDil,178198000.0,186822000.0,189821000.0,193670000.0,200736000.0,204593912.0,204517265.0,204788000.0
