Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Depreciation & Amortization,2286000.0,1625000.0,881000.0,754000.0,547000.0,404000.0,404000.0
Stock-based compensation,7483000.0,7321000.0,5956000.0,4640000.0,2644000.0,476000.0,243000.0
Operating Cash Flow,-49227000.0,-50473000.0,-34001000.0,-33743000.0,-20496000.0,-12645000.0,-12585000.0
Capital Expenditure,-1889000.0,-8247000.0,-1917000.0,-1771000.0,-1260000.0,-387000.0,-203000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,35200000.0,38985000.0,-36858000.0,-37326000.0,0.0,4017000.0
Investing Cash flow,-1889000.0,26953000.0,37068000.0,-38569000.0,-38586000.0,-387000.0,3814000.0
Issuance (repayment) of debt,6375000.0,2400000.0,0.0,397000.0,-2273000.0,-1818000.0,-909000.0
Issuance (buybacks) of shares,62265000.0,30199000.0,1104000.0,66068000.0,69617000.0,7000.0,3000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,68640000.0,32008000.0,585000.0,65703000.0,78970000.0,6683000.0,27295000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,17524000.0,8488000.0,3652000.0,-6609000.0,19888000.0,-6349000.0,18524000.0
Free Cash Flow,-51116000.0,-58720000.0,-35918000.0,-35514000.0,-21756000.0,-13032000.0,-12788000.0
Net Cash/Marketcap,0.2194,0.1775,0.262,0.3884,0.12,0.2079,0.2079
