date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,175835000.0,705945000.0,658559000.0,555234000.0,409760000.0,320008000.0,257135000.0,202800000.0,172500000.0,120300000.0,71000000.0,39400000.0,25268000.0,25300000.0
,depreciationAndAmortization,297772000.0,295599000.0,279472000.0,252713000.0,210295000.0,165049000.0,131764000.0,106300000.0,88200000.0,75900000.0,64900000.0,62200000.0,51445000.0,39500000.0
,deferredIncomeTax,-24008000.0,5503000.0,34080000.0,-27095000.0,26971000.0,5809000.0,9246000.0,3900000.0,8700000.0,10800000.0,7700000.0,3100000.0,22583000.0,-3300000.0
,stockBasedCompensation,27583000.0,25642000.0,27489000.0,24399000.0,19340000.0,15594000.0,14923000.0,16003000.0,13375000.0,11605000.0,11155000.0,5949000.0,3877000.0,2283000.0
,changeInWorkingCapital,253008000.0,-173069000.0,39548000.0,44683000.0,27948000.0,78185000.0,164861000.0,167700000.0,152900000.0,174300000.0,104600000.0,-23295000.0,42695000.0,28900000.0
,accountsReceivables,-53772000.0,-20637000.0,-36387000.0,-11088000.0,-23639000.0,-12552000.0,0.0,-5534000.0,-15362000.0,-3861000.0,-8815000.0,4791000.0,0.0,-2167000.0
,inventory,125486000.0,-79372000.0,-122019000.0,-152449000.0,-182182000.0,-180564000.0,-123296000.0,-96808000.0,-116478000.0,-26131000.0,-11568000.0,6654000.0,-37493000.0,-46872000.0
,accountsPayables,62324000.0,9993000.0,78256000.0,66240000.0,63344000.0,5396000.0,42496000.0,29396000.0,32444000.0,-651000.0,30706000.0,8576000.0,-4311000.0,9051000.0
,otherWorkingCapital,1171064000.0,918056000.0,1091125000.0,1051577000.0,1006894000.0,978946000.0,900761000.0,735900000.0,568200000.0,415300000.0,241000000.0,136400000.0,159695000.0,117000000.0
,otherNonCashItems,0.0,309715000.0,29521000.0,31917000.0,19427000.0,9787000.0,0.0,6500000.0,-32900000.0,-13000000.0,0.0,5400000.0,0.0,900000.0
,netCashProvidedByOperatingActivites,810355000.0,1101293000.0,956127000.0,779366000.0,634385000.0,375874000.0,396592000.0,327700000.0,239000000.0,220900000.0,176500000.0,172800000.0,75203000.0,46900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-298534000.0,-319400000.0,-440714000.0,-373747000.0,-299167000.0,-249067000.0,-226024000.0,-188578000.0,-128636000.0,-97115000.0,-68105000.0,-110863000.0,-101866000.0
,acquisitionsNet,-1220000.0,0.0,-13606000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5665000.0,-680979000.0,-616194000.0,-367581000.0,-344275000.0,-167396000.0,-200209000.0,-37337000.0,-79000.0,-3236000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,508033000.0,734093000.0,277581000.0,444275000.0,187605000.0,0.0,37337000.0,79000.0,3236000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-48751000.0,-471480000.0,-215107000.0,-530714000.0,-273447000.0,-278958000.0,-399276000.0,-226000000.0,-188600000.0,-128600000.0,-97100000.0,-68100000.0,-110863000.0,-97400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-800000000.0,133861000.0,195869000.0,254619000.0,212514000.0,179248000.0,0.0,101598000.0,45354000.0,24162000.0,49871000.0,3706000.0,-1186692000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17100000.0,1228000.0,2517000.0,123608000.0
,commonStockRepurchased,-114895000.0,-646739000.0,-609214000.0,-355634000.0,-330821000.0,-149722000.0,-41511000.0,-16100000.0,31500000.0,24400000.0,17100000.0,1200000.0,-59000.0,118000000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62500000.0,0.0,0.0,0.0,0.0,-93000000.0
,otherFinancingActivites,0.0,34240000.0,6980000.0,11364000.0,22507000.0,27171000.0,3229000.0,34637000.0,78875000.0,53538000.0,0.0,0.0,1774000.0,0.0
,netCashUsedProvidedByFinancingActivities,-107934000.0,-646739000.0,-609214000.0,-356217000.0,-321768000.0,-140225000.0,-27643000.0,-2700000.0,16300000.0,50300000.0,27700000.0,-104300000.0,35509000.0,50600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,653726000.0,-16926000.0,131806000.0,-107565000.0,39170000.0,-43309000.0,-30327000.0,99000000.0,66700000.0,142600000.0,107200000.0,400000.0,-151000.0,100000.0
,cashAtEndOfPeriod,1046051000.0,392325000.0,409251000.0,277445000.0,385010000.0,345840000.0,389149000.0,419500000.0,320400000.0,253800000.0,111200000.0,4000000.0,3638000.0,3700000.0
