date,,2018-12-31_FY,2017-12-31_FY
,revenue,5939000000.0,4443000000.0
,costOfRevenue,0.0,0.0
,grossProfit,5939000000.0,4443000000.0
,grossProfitRatio,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0
,GeneralAndAdministrativeExpenses,157000000.0,254000000.0
,SellingAndMarketingExpenses,0.0,0.0
,otherExpenses,32000000.0,3121000000.0
,operatingExpenses,189000000.0,3375000000.0
,costAndExpenses,4245000000.0,3375000000.0
,interestExpense,351000000.0,363000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1272000000.0,833000000.0
,EBITDA,2966000000.0,1901000000.0
,EBITDARatio,0.499410675197845,0.427864055818141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1694000000.0,1068000000.0
,operatingIncomeRatio,0.285233204243139,0.240378122889939
,totalOtherIncomeExpensesNet,531000000.0,-362000000.0
,incomeBeforeTax,1163000000.0,1430000000.0
,incomeBeforeTaxRatio,0.195824212830443,0.321854602745892
,incomeTaxExpense,94000000.0,603000000.0
,netIncome,1069000000.0,827000000.0
,netIncomeRatio,0.179996632429702,0.186135494035562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.11377,0.84986
,EPSDiluted,1.11377,0.84986
,weightedAverageShsOut,959800000.0,973100000.0
,weightedAverageShsOutDil,959800000.0,973100000.0
