date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-279381000.0,-172871000.0,-173482000.0,-118476012.0,-78252894.0,-62948646.0,-55781277.0,-20478210.0,-18072719.0,-853074.0,623645.0,-2793285.0,-4268858.0,-12032252.0,-9695123.0,-19140997.0,-5896031.0,-5960907.0,-1546935.0,-1734945.0,-5802478.0,-2400000.0,-2800000.0,-5200000.0,-3600000.0
,depreciationAndAmortization,374000.0,282000.0,88000.0,82355.0,62960.0,15452.0,3931.0,1127.0,235.0,0.0,3401.0,5531.0,26106.0,48345.0,60186.0,53734.0,128144.0,189246.0,49500.0,66226.0,76095.0,100000.0,200000.0,100000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,80289000.0,11335000.0,12886000.0,15945284.0,7509999.0,15697092.0,21105292.0,5203148.0,3422182.0,86494.0,217479.0,353438.0,463890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-19757000.0,24525000.0,-25183187.0,31374483.0,-42359157.0,-3748972.0,44107748.0,19726270.0,8030507.0,10653629.0,-155839.0,-1656354.0,393996.0,-2356503.0,-8012734.0,5098820.0,-2560618.0,7227722.0,51982.0,-2041932.0,1673934.0,-100000.0,-100000.0,100000.0,-600000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,11631000.0,-4795000.0,0.0,0.0,6492644.0,5470915.0,-603377.0,4034605.0,595757.0,0.0,0.0,-326896.0,-737189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-152000.0,64702000.0,40177000.0,65360187.0,33985704.0,76344861.0,80093833.0,35986085.0,16259815.0,8229308.0,-2424321.0,-2268482.0,-612128.0,-1006124.0,1350379.0,9363113.0,4264293.0,6824911.0,-402811.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,3998000.0,3515000.0,3939000.0,58739.0,-109657.0,-56717.0,5560755.0,0.0,16578000.0,297000.0,-3362982.0,1103247.0,56901.0,1757126.0,1675499.0,11721623.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,200000.0,0.0
,netCashProvidedByOperatingActivites,-214507000.0,-132806000.0,-128925000.0,-93763562.0,-61591330.0,-44690272.0,-35059919.0,-10824231.0,-5187964.0,-86577.0,-1970113.0,-1049799.0,-4444009.0,-10229711.0,-7750738.0,-6244942.0,-5690445.0,-3451525.0,-1432566.0,-4474365.0,-1153047.0,-2300000.0,-2600000.0,-4100000.0,-4000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-357000.0,-131000.0,-90000.0,-2227.0,-343985.0,-42217.0,-18570.0,-5681.0,-1399.0,0.0,-2844.0,0.0,-8973.0,-9134.0,-37052.0,-39555.0,-138340.0,-6554.0,-5460.0,-108250.0,-171351.0,-100000.0,-200000.0,-200000.0,-100000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-67403000.0,-29837000.0,-31230000.0,-28006270.0,-15199922.0,-48993652.0,-18336719.0,-4919871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000979.0,0.0,0.0,0.0,-146618.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,43250000.0,29250000.0,32500000.0,19800000.0,42089219.0,24350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005829.0,3499999.0,931089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-24510000.0,-718000.0,1180000.0,-8208497.0,26545312.0,-24685869.0,-18355289.0,-4925552.0,-1399.0,10386.0,516521.0,0.0,-8973.0,-9134.0,968777.0,3467221.0,-4208230.0,160638.0,-5460.0,2891750.0,-317969.0,-100000.0,-200000.0,-200000.0,-100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,-677778.0,0.0,-200001.0,0.0,0.0,-70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,679680000.0,175021000.0,113639000.0,131515541.0,4411233.0,67760517.0,65614260.0,37648280.0,0.0,9824682.0,2163486.0,0.0,0.0,7859413.0,0.0,12351099.0,3391818.0,9789867.0,0.0,1939961.0,1173086.0,0.0,100000.0,10600000.0,1500000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149799.0,-84538.0,0.0,0.0,0.0,0.0,0.0,-15257.0,0.0,-1290.0,-300.0,0.0,-617067.0,-511808.0,0.0,0.0,0.0,0.0
