date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,1183657000.0,902858000.0,673624000.0,501526000.0,379724000.0,296228000.0,219887000.0,160505000.0,114526000.0,78877000.0,50222000.0
,costOfRevenue,323607000.0,231043000.0,157129000.0,121271000.0,92211000.0,87271000.0,76773000.0,61519000.0,44903000.0,32998000.0,22452000.0
,grossProfit,860050000.0,671815000.0,516495000.0,380255000.0,287513000.0,208957000.0,143114000.0,98986000.0,69623000.0,45879000.0,27770000.0
,grossProfitRatio,0.726604075336014,0.744098185982735,0.766740793083382,0.758195985851182,0.757163097407591,0.705392467963866,0.650852483320978,0.61671599015607,0.607923091699701,0.581652446213725,0.552944924535064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,189484000.0,136363000.0,101042000.0,75148000.0,65514000.0,52924000.0,44582000.0,33399000.0,24450000.0,12199000.0,7208000.0
,GeneralAndAdministrativeExpenses,200032000.0,142027000.0,102773000.0,72313000.0,55454000.0,47114000.0,38910000.0,34284000.0,24434000.0,12969000.0,4934000.0
,SellingAndMarketingExpenses,583773000.0,439100000.0,329116000.0,260069000.0,192497000.0,139851000.0,104827000.0,72336000.0,54566000.0,34550000.0,22922000.0
,otherExpenses,80458000.0,9247000.0,6475000.0,1491000.0,-2375000.0,-1307000.0,-1031000.0,274000.0,32000.0,109000.0,172000.0
,operatingExpenses,973289000.0,717490000.0,532931000.0,407530000.0,313465000.0,239889000.0,188319000.0,140019000.0,0.0,0.0,0.0
,costAndExpenses,1296896000.0,948533000.0,690060000.0,528801000.0,405676000.0,327160000.0,265092000.0,201538000.0,148353000.0,92716000.0,57516000.0
,interestExpense,49281000.0,20512000.0,16102000.0,99000.0,746000.0,1123000.0,2007000.0,5384000.0,1503000.0,158000.0,184000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,75612000.0,37870000.0,23273000.0,16214000.0,14663000.0,13467000.0,10378000.0,8980000.0,6191000.0,3546000.0,1270000.0
,EBITDA,-37627000.0,-7805000.0,6837000.0,-11061000.0,-11289000.0,-17465000.0,-34827000.0,-32053000.0,-27636000.0,-10293000.0,-6024000.0
,EBITDARatio,-0.0317887698885741,-0.00864477027395227,0.0101495789936226,-0.0220546890889007,-0.0297294877331957,-0.0589579648108889,-0.158385898211354,-0.199700943895829,-0.241307650664478,-0.130494313931818,-0.119947433395723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-113239000.0,-45675000.0,-16436000.0,-27275000.0,-25952000.0,-30932000.0,-45205000.0,-41033000.0,-33827000.0,-13839000.0,-7294000.0
,operatingIncomeRatio,-0.0956687621498458,-0.0505893507063126,-0.0243993681935323,-0.0543840199710484,-0.0683443764418367,-0.104419568710588,-0.205582867563794,-0.255649356717859,-0.295365244573285,-0.175450384776297,-0.14523515590777
,totalOtherIncomeExpensesNet,80458000.0,9247000.0,6475000.0,1491000.0,-2375000.0,-1307000.0,-1031000.0,274000.0,32000.0,109000.0,172000.0
,incomeBeforeTax,-82062000.0,-56940000.0,-26063000.0,-25883000.0,-29073000.0,-33362000.0,-48243000.0,-46143000.0,-35298000.0,-13888000.0,-7306000.0
,incomeBeforeTaxRatio,-0.0693292060115388,-0.0630663958230419,-0.0386907236084225,-0.0516084908858165,-0.0765635040187083,-0.112622709534548,-0.219399054969143,-0.287486371141086,-0.308209489548225,-0.176071605157397,-0.14547409501812
,incomeTaxExpense,934000.0,-3333000.0,140000.0,258000.0,236000.0,-1263000.0,97000.0,-45000.0,92000.0,15000.0,1000.0
,netIncome,-82996000.0,-53607000.0,-26203000.0,-26141000.0,-29309000.0,-32099000.0,-48340000.0,-46098000.0,-35390000.0,-13903000.0,-7307000.0
,netIncomeRatio,-0.0701182859561511,-0.0593747854036847,-0.0388985546833248,-0.0521229208455793,-0.0771850080584846,-0.108359101772959,-0.219840190643376,-0.287206006043425,-0.309012800586766,-0.176261774661815,-0.145494006610649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.998388066883195,-0.64,-0.33,-0.34,-0.4,-0.46,-0.72,-1.39,-0.66688,-0.261985,-0.137691
,EPSDiluted,-0.998388066883195,-0.64,-0.33,-0.34,-0.4,-0.46,-0.72,-1.39,-0.66688,-0.261985,-0.137691
,weightedAverageShsOut,90634000.0,83130000.0,79500000.0,76281000.0,72994000.0,70069000.0,66818000.0,33155000.0,53068000.0,53068000.0,53068000.0
,weightedAverageShsOutDil,90634000.0,83130000.0,79500000.0,76281000.0,72994000.0,70069000.0,66818000.0,33155000.0,53068000.0,53068000.0,53068000.0
