date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-582000.0,-20578000.0,-25322000.0,-3695000.0,-34509000.0,-22663000.0,-22110000.0,-21452000.0,16200000.0,-18765000.0,-22898000.0,-30288000.0,-43907000.0,-24339000.0,-33327000.0,-18128000.0,-27637000.0,-22698000.0,-37173000.0,-44928000.0,-19851000.0,-8708000.0
,depreciationAndAmortization,297000.0,291000.0,254000.0,437000.0,416000.0,425000.0,601000.0,558000.0,964000.0,1176000.0,2251000.0,2506000.0,2628000.0,2318000.0,2463000.0,3169000.0,4640000.0,4745000.0,4319000.0,3298000.0,1500000.0,311000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2170000.0,2108000.0,2998000.0,2605000.0,2655000.0,2660000.0,3080000.0,3426000.0,4320000.0,6641000.0,7802000.0,11430000.0,8500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,17297000.0,983000.0,4548000.0,25854000.0,-27198000.0,-1652000.0,11383000.0,-8285000.0,7018000.0,-14526000.0,2140000.0,-8605000.0,17701000.0,-37400000.0,-21102000.0,42120000.0,-18968000.0,19194000.0,-12607000.0,-50597000.0,89139000.0,261000.0
,accountsReceivables,389000.0,-556000.0,619000.0,-1222000.0,1068000.0,-100000.0,227000.0,-183000.0,1282000.0,268000.0,-2016000.0,2355000.0,-433000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-249000.0,-217000.0,-549000.0,-140000.0,-552000.0,-579000.0,-1369000.0,-681000.0,-353000.0,-670000.0,-303000.0,190000.0,-2024000.0,-82000.0,-64000.0,-204000.0,-27000.0,-47000.0,157000.0,1117000.0,-2494000.0,-188000.0
,accountsPayables,-241000.0,520000.0,69000.0,-566000.0,800000.0,265000.0,285000.0,-1049000.0,511000.0,293000.0,-38000.0,1000.0,-816000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,52358000.0,35061000.0,34078000.0,29530000.0,3676000.0,30874000.0,32526000.0,21143000.0,29428000.0,22410000.0,36936000.0,34796000.0,43401000.0,25700000.0,63100000.0,84202000.0,42082000.0,61050000.0,41856000.0,54463000.0,105060000.0,15921000.0
,otherNonCashItems,453000.0,369000.0,149000.0,62000.0,104000.0,100000.0,38000.0,3426000.0,0.0,-18523000.0,249000.0,870000.0,14009000.0,6887000.0,4525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-38704000.0,11101000.0,-19750000.0,-1343000.0,-27293000.0,-20555000.0,-14209000.0,-15448000.0,-13448000.0,-17386000.0,7763000.0,-20894000.0,-9434000.0,-18295000.0,-9479000.0,-7211000.0,-22208000.0,-19246000.0,-31307000.0,-22428000.0,-14887000.0,-7271000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-208000.0,-155000.0,-93000.0,-69000.0,-147000.0,-225000.0,-204000.0,-69000.0,-290000.0,-2467000.0,-256000.0,-294000.0,-897000.0,-2645000.0,-2220000.0,-2397000.0,-1138000.0,-961000.0,-1413000.0,-7358000.0,-3801000.0,-1016000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-45066000.0,-31866000.0,-9588000.0,-8373000.0,-24400000.0,-34318000.0,-31823000.0,-20403000.0,-25155000.0,-30320000.0,-67150000.0,-46894000.0,-21487000.0,-33458000.0,-56254000.0,-13852000.0,-47729000.0,-113971000.0,-30639000.0,-73906000.0,-58277000.0,-15070000.0
,salesMaturitiesOfInvestments,54706000.0,4697000.0,14218000.0,20632000.0,30584000.0,40797000.0,16294000.0,21580000.0,29352000.0,47521000.0,61276000.0,36805000.0,22698000.0,49179000.0,41823000.0,30234000.0,69659000.0,84069000.0,59929000.0,69892000.0,13994000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4636000.0,0.0
,netCashUsedForInvestingActivites,9432000.0,-27324000.0,4537000.0,12690000.0,6037000.0,6254000.0,-15733000.0,1108000.0,3907000.0,14734000.0,-6130000.0,-10383000.0,289000.0,13076000.0,-16651000.0,13985000.0,20792000.0,-30944000.0,27877000.0,-11809000.0,-52720000.0,-16155000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-7000.0,0.0,-14000.0,-886000.0,-240000.0,-17000.0,-9000.0,-8000.0,-15000.0,-48000.0,-43000.0,-263000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,12283000.0,18360000.0,16780000.0,11989000.0,23745000.0,14290000.0,4618000.0,10675000.0,11617000.0,1126000.0,565000.0,10402000.0,1264000.0,1498000.0,2428000.0,39218000.0,712000.0,797000.0,5660000.0,843000.0,109115000.0,19355000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
