Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-480090.0,-163.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-126250000.0,
Investing Cash flow,-126250000.0,0.0
Issuance (repayment) of debt,-55207.0,73609.0
Issuance (buybacks) of shares,122500000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,126816454.0,4420.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,86364.0,
Free Cash Flow,-480090.0,
Net Cash/Marketcap,0.0006,
