date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-15894000.0,-13630000.0,33986166.0,-51891945.0,-19163629.0,-32010242.0,-38125415.0,-24008558.0,-11593045.0,-18359234.0,-8053395.0,-26051.0,-31881.0,-31995.0,-1004.0
,depreciationAndAmortization,1177000.0,1272000.0,1281379.0,1214474.0,1214453.0,1136292.0,439098.0,137680.0,62396.0,42551.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1277000.0,405000.0,443786.0,744870.0,1516033.0,6171127.0,7852666.0,3448285.0,1522374.0,1987066.0,3096302.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1985000.0,-2648442.0,2049925.0,1296916.0,-20445708.0,-23865865.0,23610371.0,7757289.0,6097602.0,14122348.0,-3908367.0,-26051.0,-31881.0,-31995.0,14.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,-426071.0,1020496.0,699454.0,570500.0,166171.0,385008.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,3966000.0,6614442.0,4564517.0,3267601.0,23713309.0,47579174.0,23968803.0,16211514.0,10113912.0,-4008436.0,-100069.0,-74018.0,-42137.0,-10142.0
,otherNonCashItems,80000.0,80000.0,60000.0,483242.0,240445.0,443591.0,240413.0,88050.0,100150.0,1555497.0,1367771.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-14729000.0,-15383000.0,-12138023.0,-11407947.0,-14624972.0,-26444110.0,-30740583.0,-19133157.0,-9715163.0,-9131662.0,-2628331.0,-21380.0,-37774.0,-18346.0,-990.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-63000.0,-22000.0,-564276.0,-72325.0,-6844.0,-235656.0,-8668351.0,-1311383.0,0.0,-84705.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-890.0,8002.0,-23856.0,15000.0,-35000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-63000.0,-22000.0,-564276.0,-72325.0,-6844.0,-1776546.0,-8657964.0,-1665239.0,15000.0,-119705.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,26191000.0,12142000.0,8000000.0,13339873.0,3903313.0,0.0,68409531.0,30395306.0,17542867.0,22435500.0,1366627.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-1370000.0,-1664000.0,-844409.0,-1351708.0,-375055.0,-345812.0,-4999777.0,-969978.0,-1522512.0,-2775087.0,-150000.0,0.0,0.0,-60.0,990.0
,netCashUsedProvidedByFinancingActivities,25606000.0,14352000.0,12078620.0,14794509.0,3528258.0,4857938.0,63409754.0,29425328.0,16020355.0,19942413.0,3227627.0,19125.0,38962.0,19940.0,990.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10814000.0,-1053000.0,-623679.0,3314237.0,-11103558.0,-23362718.0,24011207.0,8626932.0,6320192.0,10691046.0,599296.0,-2255.0,1188.0,0.0,0.0
,cashAtEndOfPeriod,17346000.0,6532000.0,7585392.0,8209071.0,4894834.0,26957938.0,50320656.0,26309449.0,17682517.0,11362325.0,671279.0,527.0,2782.0,1594.0,0.0
,cashAtBeginningOfPeriod,6532000.0,7585000.0,8209071.0,4894834.0,15998392.0,50320656.0,26309449.0,17682517.0,11362325.0,671279.0,71983.0,2782.0,1594.0,0.0,0.0
,operatingCashFlow,-14729000.0,-15383000.0,-12138023.0,-11407947.0,-14624972.0,-26444110.0,-30740583.0,-19133157.0,-9715163.0,-9131662.0,-2628331.0,-21380.0,-37774.0,-18346.0,-990.0
