date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1992-08-31_FY,1991-08-31_FY,1990-08-31_FY,1989-08-31_FY,1988-08-31_FY,1987-08-31_FY,1986-08-31_FY,1985-08-31_FY
,revenue,2796166000.0,2371482000.0,2475807000.0,2147770000.0,1678898000.0,1403066000.0,1190782000.0,1015576000.0,901123000.0,681166000.0,572755000.0,397839000.0,510506000.0,668625000.0,729232000.0,669147000.0,530870000.0,353116000.0,325431000.0,269469000.0,287765000.0,324500000.0,330600000.0,208400000.0,168200000.0,100100000.0,83000000.0,130800000.0,37100000.0,109600000.0,92600000.0,92200000.0,122900000.0,98800000.0,88000000.0,72600000.0,53300000.0
,costOfRevenue,2090076000.0,1832280000.0,1955463000.0,1654656000.0,1249995000.0,1097064000.0,935859000.0,802467000.0,732464000.0,541445000.0,446585000.0,319129000.0,403000000.0,510200000.0,575156000.0,519000000.0,414491000.0,266435000.0,246844000.0,208072000.0,221646000.0,241000000.0,255900000.0,159100000.0,123700000.0,71800000.0,59800000.0,94700000.0,27600000.0,80700000.0,69300000.0,66000000.0,96300000.0,76200000.0,63500000.0,51200000.0,37000000.0
,grossProfit,706090000.0,539202000.0,520344000.0,493114000.0,428903000.0,306002000.0,254923000.0,213109000.0,168659000.0,139721000.0,126170000.0,78710000.0,107506000.0,158425000.0,154076000.0,150147000.0,116379000.0,86681000.0,78587000.0,61397000.0,66119000.0,83500000.0,74700000.0,49300000.0,44500000.0,28300000.0,23200000.0,36100000.0,9500000.0,28900000.0,23300000.0,26200000.0,26600000.0,22600000.0,24500000.0,21400000.0,16300000.0
,grossProfitRatio,0.252520773087149,0.227369214693597,0.210171471362671,0.229593485335953,0.255466978934992,0.21809522859224,0.214080327045589,0.209840523998204,0.187165348126726,0.205120337773759,0.220286160749361,0.197843851407228,0.210587142952287,0.236941484389606,0.211285297408781,0.224385673103219,0.219223161979392,0.245474574927219,0.241485906382613,0.227844390263815,0.229767344882109,0.257318952234206,0.225952813067151,0.236564299424184,0.264565992865636,0.282717282717283,0.279518072289157,0.275993883792049,0.256064690026954,0.263686131386861,0.251619870410367,0.284164859002169,0.216436126932465,0.228744939271255,0.278409090909091,0.294765840220386,0.305816135084428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,483156000.0,338992000.0,321556000.0,278833000.0,228053000.0,186032000.0,157482000.0,134811000.0,110527000.0,91252000.0,80821000.0,69489000.0,80129000.0,93173000.0,99419000.0,92549000.0,72811000.0,52404000.0,49374000.0,42292000.0,42733000.0,43400000.0,39000000.0,24500000.0,20400000.0,14700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,483156000.0,338992000.0,321556000.0,278833000.0,228053000.0,186032000.0,157482000.0,134811000.0,110527000.0,91173000.0,80742000.0,69251000.0,87608000.0,92466000.0,98781000.0,92418000.0,72383000.0,52404000.0,49374000.0,42292000.0,51687000.0,51500000.0,45800000.0,27500000.0,22100000.0,15500000.0,14000000.0,28200000.0,8500000.0,23400000.0,19600000.0,21500000.0,23300000.0,20700000.0,20200000.0,17400000.0,15000000.0
,costAndExpenses,2573232000.0,2171272000.0,2277019000.0,1933489000.0,1478048000.0,1283096000.0,1093341000.0,937278000.0,842991000.0,632618000.0,527327000.0,388380000.0,490608000.0,602666000.0,673937000.0,611418000.0,486874000.0,318839000.0,296218000.0,250364000.0,273333000.0,292500000.0,301700000.0,186600000.0,145800000.0,87300000.0,73800000.0,122900000.0,36100000.0,104100000.0,88900000.0,87500000.0,119600000.0,96900000.0,83700000.0,68600000.0,52000000.0
,interestExpense,13453000.0,8796000.0,6436000.0,1437000.0,1678000.0,1885000.0,430000.0,351000.0,330000.0,0.0,0.0,789000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,97980000.0,75358000.0,67526000.0,54727000.0,46167000.0,41624000.0,32596000.0,27500000.0,25665000.0,20522000.0,17087000.0,18468000.0,17078000.0,17557000.0,15669000.0,11945000.0,9300000.0,7863000.0,7332000.0,8534000.0,8954000.0,8100000.0,6800000.0,3000000.0,1700000.0,800000.0,700000.0,1900000.0,600000.0,1600000.0,1600000.0,1800000.0,2400000.0,2300000.0,2200000.0,1700000.0,1000000.0
,EBITDA,320914000.0,275568000.0,266314000.0,269008000.0,247017000.0,161594000.0,130037000.0,105798000.0,83797000.0,69070000.0,62515000.0,27927000.0,36976000.0,83516000.0,70964000.0,69674000.0,53296000.0,42140000.0,36545000.0,27639000.0,23386000.0,40100000.0,35700000.0,24800000.0,24100000.0,13600000.0,9900000.0,9800000.0,1600000.0,7100000.0,5300000.0,6500000.0,5700000.0,4200000.0,6500000.0,5700000.0,2300000.0
,EBITDARatio,0.114769294812969,0.116200755476955,0.10756654294943,0.125249910372153,0.147130439133289,0.115172058905283,0.109203027926186,0.104175364522202,0.092991744745168,0.101399658820317,0.109147890459271,0.0701967378763771,0.072430098764755,0.12490708543653,0.0973133378677842,0.104123608116004,0.100393693371259,0.119337554797857,0.112297230442091,0.102568384489496,0.0812677010755304,0.123574730354391,0.107985480943739,0.119001919385797,0.143281807372176,0.135864135864136,0.119277108433735,0.0749235474006116,0.0431266846361186,0.0647810218978102,0.0572354211663067,0.0704989154013015,0.0463791700569569,0.0425101214574899,0.0738636363636364,0.0785123966942149,0.0431519699812383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
