Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,158428943.5601,370155078.5973,391582577.3938,193325219.5347,186923958.6697
Revenue Growth,-0.572,-0.0547,1.0255,0.0342,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0
Gross Profit,158428943.5601,370155078.5973,391582577.3938,193325219.5347,186923958.6697
R&D Expenses,0.0,0.0,0.0,0.0,0.0
SG&A Expense,166335600.5789,244120012.0919,211649964.0029,100443229.0864,87124636.7452
Operating Expenses,284674963.8205,273942563.4825,240231677.4658,117186103.8361,103077171.4562
Operating Income,-126246020.2605,96212515.1149,151350899.928,76139115.6987,83846787.2134
Interest Expense,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,-124748191.0275,98279927.4486,152065946.7243,74752580.4961,83846787.2134
Income Tax Expense,148769.8987,25628174.1233,18060475.162,12664304.4215,6036486.9228
Net Income - Non-Controlling int,-1497829.233,-2067412.3337,-715046.7963,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-124896960.9262,72651753.3253,134005471.5623,62088276.0746,77810300.2906
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,-124896960.9262,72651753.3253,134005471.5623,62088276.0746,77810300.2906
EPS,-1.7366,1.0278,2.275,1.2325,1.5499
EPS Diluted,-1.7366,0.9976,2.1598,1.1709,1.5499
Weighted Average Shs Out,204623892.1852,208238901.9045,198374164.8668,58241000.0,
Weighted Average Shs Out (Dil),204623892.1852,208238901.9045,198374164.8668,,
Dividend per Share,0.0579,0.1209,0.0,0.0,0.0
Gross Margin,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,-0.1036,0.0452,0.0576,0.061,0.0738
EBIT Margin,-0.7874,0.2655,0.3883,0.3867,0.4486
Profit Margin,-0.114,0.0296,0.0492,0.0495,0.0672
Free Cash Flow margin,-0.0687,0.2601,0.3702,0.3382,0.3614
EBITDA,-113438205.4993,110827388.1499,156726853.8517,76582806.9635,85490151.7598
EBIT,-124748191.0275,98279927.4486,152065946.7243,74752580.4961,83846787.2134
Consolidated Income,-126394790.1592,70584340.9915,133290424.766,62088276.0746,77810300.2906
Earnings Before Tax Margin,-0.7874,0.2655,0.3883,0.3867,0.4486
Net Profit Margin,-0.7883,0.1963,0.3422,0.3212,0.4163
