date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,163237073.0,542280819.0,-61250824.0,117648158.0,35739524.0,38734356.0,174627562.0,-100059437.0,36218747.0,12244052.0,30844892.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-31296253.0,-6150091.0,17824138.0,-7372148.0,15927564.0,13198719.0,-13483237.0,-14565312.0,-4451658.0,812142.0,-22856.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-9651206.0,-16121916.0,-18745719.0,-18795380.0,-1711884.0,-1193597.0,-1793161.0,-280358333.0,-608055.0,11699638.0,30268501.0
,netCashProvidedByOperatingActivites,185330084.0,173689769.0,-18069628.0,267282119.0,-151361890.0,67690644.0,71182166.0,-310626502.0,19797386.0,17612240.0,20047529.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-17695323.0,0.0,0.0,-6987599.0,6987599.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,187000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-773675211.0,0.0,0.0,0.0,-83000000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-181586829.0,-168657393.0,-179245556.0,-198404261.0,-67771619.0,-63438584.0,-64840229.0,-31280684.0,-18641800.0,-18177704.0,-18174260.0
,otherFinancingActivites,-11250000.0,-9750000.0,15560000.0,-61374000.0,-7260000.0,2830000.0,-9935000.0,3018700.0,-4725000.0,225000.0,1625000.0
,netCashUsedProvidedByFinancingActivities,-192981956.0,-175885633.0,19749233.0,-266765860.0,118455980.0,-60608584.0,-74375229.0,321638016.0,-23412386.0,-17765113.0,-17630925.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,0.0,1679605.0,0.0,0.0,7082060.0,-3193063.0,11011514.0,-3615000.0,-152873.0,2416604.0
,cashAtEndOfPeriod,0.0,0.0,2195864.0,516259.0,0.0,15114845.0,8032785.0,11225848.0,214334.0,3829334.0,3982207.0
,cashAtBeginningOfPeriod,0.0,2195864.0,516259.0,0.0,15114845.0,8032785.0,11225848.0,214334.0,3829334.0,3982207.0,1565603.0
,operatingCashFlow,185330084.0,173689769.0,-18069628.0,267282119.0,-151361890.0,67690644.0,71182166.0,-310626502.0,19797386.0,17612240.0,20047529.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,185330084.0,173689769.0,-18069628.0,267282119.0,-151361890.0,67690644.0,71182166.0,-310626502.0,19797386.0,17612240.0,20047529.0
