date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-14185306.0,-11799379.0,-18369810.0,-1364518.0,-18036619.0
,depreciationAndAmortization,103168.0,97915.0,110371.0,67981.0,25342.0
,deferredIncomeTax,-1675381.0,332885.0,-437289.0,-1055685.0,-364796.0
,stockBasedCompensation,736119.0,515762.0,1221591.0,1240551.0,1391068.0
,changeInWorkingCapital,3412245.0,4818205.0,1134580.0,9810333.0,-13806149.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,-275835.0,-1663789.0,991625.0
,otherWorkingCapital,16340637.0,12928392.0,8110187.0,6975607.0,-2834726.0
,otherNonCashItems,-1943474.0,-3823763.0,5567741.0,-21031017.0,20022889.0
,netCashProvidedByOperatingActivites,-13552629.0,-9858375.0,-10772816.0,-12332355.0,-10768265.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,-447823.0,-2331.0
,acquisitionsNet,0.0,0.0,0.0,0.0,8500602.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,-447823.0,8498271.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-550000.0,-1880000.0,0.0
,commonStockIssued,10827100.0,12318956.0,10846062.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-428542.0,-125980.0,-54346.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,7063775.0,3725596.0,0.0,22129774.0,1880000.0
,netCashUsedProvidedByFinancingActivities,17890875.0,16044552.0,9867520.0,20123794.0,1825654.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,4338246.0,6186177.0,-905296.0,7343616.0,-444340.0
,cashAtEndOfPeriod,18515595.0,14177349.0,7991172.0,8896468.0,1552852.0
,cashAtBeginningOfPeriod,14177349.0,7991172.0,8896468.0,1552852.0,1997192.0
,operatingCashFlow,-13552629.0,-9858375.0,-10772816.0,-12332355.0,-10768265.0
,capitalExpenditure,0.0,0.0,0.0,-447823.0,-2331.0
,freeCashFlow,-13552629.0,-9858375.0,-10772816.0,-12780178.0,-10770596.0
