date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,164307000.0,23904000.0,6176000.0,2277000.0,295000.0,184000.0,0.0,0.0,7015000.0,7908000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,164307000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,205384000.0,109339000.0,45711000.0,36983000.0,41694000.0,43971000.0,29453000.0,11558000.0,11565000.0,10705000.0
,GeneralAndAdministrativeExpenses,72131000.0,42751000.0,21685000.0,25881000.0,18349000.0,19240000.0,15648000.0,5820000.0,4700000.0,4816000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-5530000.0,193000.0,0.0,0.0,0.0,188000.0,-136000.0,0.0,0.0,0.0
,operatingExpenses,277515000.0,152090000.0,67396000.0,62864000.0,60043000.0,63211000.0,45101000.0,0.0,0.0,0.0
,costAndExpenses,277515000.0,152090000.0,67396000.0,62864000.0,60043000.0,63211000.0,45101000.0,17378000.0,16265000.0,15521000.0
,interestExpense,20000.0,3000.0,603000.0,0.0,0.0,0.0,199000.0,952000.0,1342000.0,997000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2217000.0,1254000.0,774000.0,778000.0,840000.0,727000.0,848000.0,523000.0,551000.0,474000.0
,EBITDA,-110991000.0,-126932000.0,-60446000.0,-59809000.0,-58908000.0,-62300000.0,-44253000.0,-16851000.0,-8699000.0,-7139000.0
,EBITDARatio,-0.675509868721357,-5.31007362784471,-9.78724093264249,-26.2665788317962,-199.68813559322,-338.586956521739,0.0,0.0,-1.24005702066999,-0.902756702073849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-113208000.0,-128186000.0,-61220000.0,-60587000.0,-59748000.0,-63027000.0,-45101000.0,-17378000.0,-9250000.0,-7613000.0
,operatingIncomeRatio,-0.68900290310212,-5.36253346720214,-9.91256476683938,-26.6082564778217,-202.535593220339,-342.538043478261,0.0,0.0,-1.31860299358517,-0.962696004046535
,totalOtherIncomeExpensesNet,-5530000.0,193000.0,-29132000.0,0.0,0.0,188000.0,-2702000.0,-192000.0,469000.0,51000.0
,incomeBeforeTax,-112747000.0,-120459000.0,-88853000.0,-60048000.0,-59513000.0,-62839000.0,-47939000.0,-18518000.0,-10121000.0,-8556000.0
,incomeBeforeTaxRatio,-0.686197179669765,-5.03928212851406,-14.3868199481865,-26.3715415019763,-201.738983050847,-341.516304347826,0.0,0.0,-1.44276550249465,-1.08194233687405
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-112747000.0,-120459000.0,-88853000.0,-60048000.0,-59513000.0,-62839000.0,-47939000.0,-18518000.0,-10121000.0,-8556000.0
,netIncomeRatio,-0.686197179669765,-5.03928212851406,-14.3868199481865,-26.3715415019763,-201.738983050847,-341.516304347826,0.0,0.0,-1.44276550249465,-1.08194233687405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.52,-1.76,-1.6,-3.66,-2.87,-3.09,-3.0,-1.257303,-4.95,-2.847446
,EPSDiluted,-1.52,-1.76,-1.6,-3.66,-2.87,-3.09,-3.0,-1.257303,-4.95,-2.847446
,weightedAverageShsOut,74523319.0,68428000.0,55616000.0,21917415.0,20719761.0,20320628.0,16070054.0,16627660.0,2045579.0,4444333.0
,weightedAverageShsOutDil,74523319.0,68428000.0,55616000.0,21917415.0,20719761.0,20320628.0,16070054.0,16627660.0,2045579.0,4444333.0
