date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-12-30_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,9873240000.0,16941727000.0,17176842000.0,11205978000.0,7463002000.0,8656393000.0,16639233000.0,14399395000.0,11055070000.0,10126115000.0,10126115000.0,6099896000.0,4786959000.0,6386519000.0,4038496000.0,3904415000.0,3606990000.0,2302341000.0,1820394000.0,1095036000.0,1654887000.0,1489895000.0,801400000.0,769200000.0,783500000.0,730600000.0,648700000.0,620200000.0
,costOfRevenue,4922938000.0,5595799000.0,5155059000.0,4603009000.0,4603770000.0,4642082000.0,5559254000.0,4814825000.0,4267700000.0,1677891000.0,0.0,1410244000.0,1141086000.0,1275720000.0,916050000.0,717798000.0,571283000.0,457169000.0,330115000.0,354836000.0,393429000.0,225448000.0,187800000.0,219600000.0,198300000.0,166000000.0,148100000.0,144300000.0
,grossProfit,4950302000.0,11345928000.0,12021783000.0,6602969000.0,2859232000.0,4014311000.0,11079979000.0,9584570000.0,6787370000.0,8448224000.0,10126115000.0,4689652000.0,3645873000.0,5110799000.0,3122446000.0,3186617000.0,3035707000.0,1845172000.0,1490279000.0,740200000.0,1261458000.0,1264447000.0,613600000.0,549600000.0,585200000.0,564600000.0,500600000.0,475900000.0
,grossProfitRatio,0.501385765969429,0.669703153639532,0.699883191566878,0.589236298696999,0.383120894246042,0.46373945822469,0.665894816185337,0.665623104304035,0.613959929697415,0.834300617759131,1.0,0.768808517391116,0.761626117959231,0.800247991120045,0.773170507040245,0.816157350076772,0.841617803209879,0.801432976261987,0.818657389554129,0.675959511833401,0.762262317608393,0.848681954097436,0.76566009483404,0.714508580343214,0.746904913848117,0.772789488091979,0.771697240635116,0.76733311834892
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171658000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,483823000.0,489397000.0,426969000.0,434467000.0,394815000.0,366594000.0,402010000.0,348312000.0,331545000.0,304811000.0,-1810981000.0,280474000.0,248274000.0,243708000.0,205210000.0,164981000.0,125918000.0,115013000.0,100403000.0,88952000.0,79963000.0,102649000.0,82900000.0,69000000.0,54400000.0,56400000.0,56600000.0,51400000.0
,SellingAndMarketingExpenses,2697729000.0,5351524000.0,5203243000.0,3330237000.0,2007635000.0,2385982000.0,4126060000.0,3648840000.0,3035494000.0,2072137000.0,2115792000.0,884212000.0,397375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,10228000.0,31385000.0,16704000.0,9152000.0,-50543000.0,1916000.0,-45050000.0,-2865000.0,14495000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
