Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Revenue,1324000000.0,1066000000.0,1025000000.0,767000000.0,840000000.0,1908000000.0,1241000000.0,3084000000.0,2099000000.0,1576000000.0,1692000000.0,681000000.0
Revenue Growth,0.24202626641651,0.04,0.336375488917862,-0.0869047619047619,-0.559748427672956,0.537469782433521,-0.597600518806744,0.469271081467365,0.331852791878173,-0.0685579196217494,1.48458149779736,
Cost of Revenue,338000000.0,345000000.0,280000000.0,328000000.0,278000000.0,413000000.0,333000000.0,445000000.0,316000000.0,336000000.0,280000000.0,166000000.0
Gross Profit,986000000.0,721000000.0,745000000.0,439000000.0,562000000.0,1495000000.0,908000000.0,2639000000.0,1783000000.0,1240000000.0,1412000000.0,515000000.0
R&D Expenses,5000000.0,12000000.0,,5000000.0,,20000000.0,,25000000.0,,41000000.0,,40000000.0
SG&A Expense,89000000.0,81000000.0,81000000.0,146000000.0,146000000.0,148000000.0,148000000.0,244000000.0,244000000.0,229000000.0,229000000.0,358000000.0
Operating Expenses,1701000000.0,582000000.0,,537000000.0,,5450000000.0,,1146000000.0,,857000000.0,,587000000.0
Operating Income,-715000000.0,139000000.0,,-98000000.0,,-3955000000.0,,1493000000.0,,383000000.0,,-72000000.0
Interest Expense,365000000.0,326000000.0,326000000.0,312000000.0,312000000.0,330000000.0,330000000.0,318000000.0,318000000.0,354000000.0,354000000.0,219000000.0
Earnings before Tax,-1003000000.0,-203000000.0,,-26000000.0,,-4326000000.0,,1163000000.0,,514000000.0,,-256000000.0
Income Tax Expense,0.0,-9000000.0,-9000000.0,1000000.0,1000000.0,-578000000.0,-578000000.0,432000000.0,432000000.0,64000000.0,63000000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,-4000000.0,,-506000000.0,,-50000000.0
Net Income,-1003000000.0,-194000000.0,-194000000.0,-27000000.0,-27000000.0,-3748000000.0,-3748000000.0,731000000.0,731000000.0,450000000.0,450000000.0,-256000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,-1003000000.0,-194000000.0,-194000000.0,-27000000.0,-27000000.0,-3748000000.0,-3748000000.0,731000000.0,731000000.0,450000000.0,450000000.0,-256000000.0
EPS,-4.05,-0.79,-0.79,-0.11,-0.11,-15.37,-15.37,3.02,3.02,2.16,245,-1.23
EPS Diluted,-4.05,-0.79,-0.79,-0.11,-0.11,-15.37,-15.37,3.02,3.02,2.16,245,-1.23
Weighted Average Shs Out,248000000.0,246000000.0,246000000.0,245000000.0,245000000.0,244000000.0,244000000.0,242000000.0,242000000.0,209000000.0,,209000000.0
Weighted Average Shs Out (Dil),248000000.0,246000000.0,246000000.0,245000000.0,245000000.0,244000000.0,244000000.0,242000000.0,242000000.0,209000000.0,,209000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,0.7447,0.6764,0.72682926829268,0.5724,0.66904761904762,0.7835,0.73166800966962,0.8557,0.84945212005717,0.7868,0.83451536643026,0.7562
EBITDA Margin,-0.099,0.572,0.59512195121951,0.975,0.89047619047619,-1.579,-2.4278807413376,0.767,1.1243449261553,0.973,0.60579196217494,0.339
EBIT Margin,-0.4819,0.1154,0.12,0.3729,0.34047619047619,-2.0943,-3.2199838839645,0.4802,0.70557408289662,0.5508,0.51241134751773,-0.0543
Profit Margin,-0.758,-0.182,-0.18926829268293,-0.035,-0.032142857142857,-1.964,-3.0201450443191,0.237,0.34826107670319,0.286,0.26595744680851,-0.376
Free Cash Flow margin,-0.2024,-0.1557,,0.3272,,-0.0556,,-0.2746,,-0.6117,,-0.6285
EBITDA,-131000000.0,610000000.0,610000000.0,748000000.0,748000000.0,-3013000000.0,-3013000000.0,2364000000.0,2360000000.0,1534000000.0,1025000000.0,231000000.0
EBIT,-638000000.0,123000000.0,123000000,286000000.0,286000000,-3996000000.0,-3996000000,1481000000.0,1481000000,868000000.0,867000000,-37000000.0
Consolidated Income,-1003000000.0,-194000000.0,-194000000.0,-27000000.0,-27000000.0,-3748000000.0,-3748000000.0,731000000.0,731000000.0,450000000.0,450000000.0,-256000000.0
Earnings Before Tax Margin,-0.7576,-0.1904,0,-0.0339,0,-2.2673,0,0.3771,0,0.3261,0,-0.3759
Net Profit Margin,-0.7576,-0.182,-0.18926829268293,-0.0352,-0.032142857142857,-1.9644,-3.0201450443191,0.237,0.34826107670319,0.2855,0.26595744680851,-0.3759
