date,,2021-07-31_FY,2020-07-31_FY,2019-07-31_FY,2018-07-31_FY,2017-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-44391000.0,-5284000.0,-66727000.0,36715000.0,-25827000.0
,depreciationAndAmortization,43547000.0,50330000.0,52504000.0,37076000.0,8206000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,591000.0,720000.0,1267000.0,10801000.0,681000.0
,changeInWorkingCapital,21794000.0,17137000.0,-17195000.0,-135022000.0,-16434000.0
,accountsReceivables,23505000.0,20305000.0,-14090000.0,29735000.0,31102000.0
,inventory,-722000.0,8510000.0,2482000.0,19971000.0,6852000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-4595000.0,-26389000.0,-43526000.0,-26331000.0,108691000.0
,otherNonCashItems,1526000.0,8721000.0,51000000.0,62198000.0,8929000.0
,netCashProvidedByOperatingActivites,23067000.0,71624000.0,20849000.0,11768000.0,-24445000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3615000.0,-12070000.0,-14539000.0,-18423000.0,-4730000.0
,acquisitionsNet,0.0,0.0,42000.0,-468420000.0,1278000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,163000.0,0.0,13775000.0,7998000.0
,otherInvestingActivites,289000.0,21000.0,19000.0,20748000.0,1092000.0
,netCashUsedForInvestingActivites,-3326000.0,-11886000.0,-14478000.0,-452320000.0,5638000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-7712000.0,-28254000.0,-82638000.0,-3652000.0,-1934000.0
,commonStockIssued,4000.0,19000.0,15000.0,8000.0,18000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-2129000.0,-2135000.0,-2129000.0,-1143000.0,0.0
,otherFinancingActivites,0.0,18086000.0,20940000.0,426666000.0,0.0
,netCashUsedProvidedByFinancingActivities,-9837000.0,-12284000.0,-63812000.0,421879000.0,-1916000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,597000.0,1124000.0,-321000.0,141000.0,603000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10501000.0,48578000.0,-57762000.0,-18532000.0,-20120000.0
,cashAtEndOfPeriod,105143000.0,94642000.0,46064000.0,92138000.0,110670000.0
,cashAtBeginningOfPeriod,94642000.0,46064000.0,103826000.0,110670000.0,130790000.0
,operatingCashFlow,23067000.0,71624000.0,20849000.0,11768000.0,-24445000.0
,capitalExpenditure,-3615000.0,-12070000.0,-14539000.0,-18423000.0,-4730000.0
,freeCashFlow,19452000.0,59554000.0,6310000.0,-6655000.0,-29175000.0
