Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30
Revenue,2578000000.0,2602500000.0,2220300000.0,1721700000.0,1347100000.0,1123200000.0,1004400000.0,375526000.0
Revenue Growth,-0.0094,0.1721,0.2896,0.2781,0.1993,0.1183,1.6746,
Cost of Revenue,915300000.0,941900000.0,801700000.0,578700000.0,413500000.0,344200000.0,313700000.0,139767000.0
Gross Profit,1662700000.0,1660600000.0,1418600000.0,1143000000.0,933600000.0,779000000.0,690700000.0,235759000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,509000000.0,490900000.0,436400000.0,386400000.0,358400000.0,384700000.0,256600000.0,80979000.0
Operating Expenses,1134600000.0,1235000000.0,1042300000.0,903000000.0,765000000.0,722600000.0,580800000.0,165817000.0
Operating Income,528100000.0,425600000.0,376300000.0,240000000.0,168600000.0,56400000.0,109900000.0,69942000.0
Interest Expense,338700000.0,299800000.0,241500000.0,220100000.0,214000000.0,203500000.0,202500000.0,50720000.0
Earnings before Tax,175300000.0,126300000.0,106300000.0,-67700000.0,-164100000.0,-142000000.0,-161400000.0,25647000.0
Income Tax Expense,25300000.0,23400000.0,19200000.0,8500000.0,-8800000.0,37300000.0,-24200000.0,26871000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,-2300000.0,-8400000.0,-8673000.0
Net Income,150000000.0,102900000.0,87100000.0,-76200000.0,-155300000.0,-179300000.0,-137200000.0,-1224000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,150000000.0,102900000.0,87100000.0,-76200000.0,-155300000.0,-179300000.0,-137200000.0,-1224000.0
EPS,0.63,0.42,0.36,-0.31,-0.66,-0.8,-0.61,-0.01
EPS Diluted,0.62,0.41,0.35,-0.31,-0.66,-0.8,-0.61,-0.01
Weighted Average Shs Out,235583764.0,248555794.0,245752049.0,242228906.0,243008679.0,234100000.0,,
Weighted Average Shs Out (Dil),238500000.0,247300000.0,243900000.0,243300000.0,235400000.0,223000000.0,223000000.0,223000000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.645,0.6381,0.6389,0.6639,0.693,0.6936,0.6877,0.6278
EBITDA Margin,0.445,0.451,0.43,0.388,0.339,0.356,0.364,0.43
EBIT Margin,0.1994,0.1637,0.1566,0.0885,0.037,0.0548,0.0409,0.2034
Profit Margin,0.058,0.04,0.039,-0.044,-0.115,-0.16,-0.137,-0.003
Free Cash Flow margin,0.0637,0.0697,0.0335,0.0058,0.0557,0.1831,0.0928,0.055
EBITDA,1147400000.0,1172600000.0,954000000.0,668700000.0,456100000.0,399700000.0,365600000.0,161328000.0
EBIT,514000000.0,426100000.0,347800000.0,152400000.0,49900000.0,61500000.0,41100000.0,76367000.0
Consolidated Income,150000000.0,102900000.0,87100000.0,-76200000.0,-155300000.0,-179300000.0,-137200000.0,-1224000.0
Earnings Before Tax Margin,0.068,0.0485,0.0479,-0.0393,-0.1218,-0.1264,-0.1607,0.0683
Net Profit Margin,0.0582,0.0395,0.0392,-0.0443,-0.1153,-0.1596,-0.1366,-0.0033
