date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-715000000.0,881000000.0,764000000.0,1259000000.0,348000000.0,1404000000.0,673000000.0
,depreciationAndAmortization,360000000.0,375000000.0,352000000.0,347000000.0,686000000.0,692000000.0,628000000.0
,deferredIncomeTax,-235000000.0,-20000000.0,-14000000.0,-727000000.0,-79000000.0,-479000000.0,14000000.0
,stockBasedCompensation,97000000.0,154000000.0,127000000.0,74000000.0,65000000.0,124000000.0,78000000.0
,changeInWorkingCapital,893000000.0,-146000000.0,-410000000.0,-1095000000.0,755000000.0,-124000000.0,-73000000.0
,accountsReceivables,488000000.0,-105000000.0,-161000000.0,-210000000.0,-197000000.0,-96000000.0,-170000000.0
,inventory,0.0,0.0,0.0,0.0,15000000.0,-39000000.0,56000000.0
,accountsPayables,-414000000.0,0.0,139000000.0,51000000.0,217000000.0,59000000.0,8000000.0
,otherWorkingCapital,167000000.0,-778000000.0,-632000000.0,-222000000.0,873000000.0,118000000.0,242000000.0
,otherNonCashItems,28000000.0,-72000000.0,-91000000.0,50000000.0,2000000.0,-76000000.0,60000000.0
,netCashProvidedByOperatingActivites,708000000.0,1384000000.0,1255000000.0,924000000.0,1350000000.0,1394000000.0,1366000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-1439000000.0,-65000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-15000000.0,82000000.0,28000000.0,-14000000.0,-25000000.0,2185000000.0,63000000.0
,netCashUsedForInvestingActivites,-107000000.0,-123000000.0,-131000000.0,-222000000.0,-478000000.0,392000000.0,-310000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2121000000.0,-1547000000.0,-1005000000.0,-1860000000.0,-4359000000.0,-1624000000.0,-1424000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-296000000.0,-1538000000.0,-1721000000.0,-891000000.0,0.0,0.0,0.0
,dividendsPaid,-42000000.0,-172000000.0,-181000000.0,-195000000.0,-277000000.0,-138000000.0,0.0
,otherFinancingActivites,-99000000.0,-56000000.0,-69000000.0,-602000000.0,-108000000.0,-10000000.0,4000000.0
,netCashUsedProvidedByFinancingActivities,2032000000.0,-1113000000.0,-1300000000.0,-1724000000.0,-29000000.0,-1724000000.0,-1070000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-2000000.0,-10000000.0,8000000.0,-15000000.0,-19000000.0,-14000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,2633000000.0,146000000.0,-186000000.0,-1014000000.0,828000000.0,43000000.0,-28000000.0
,cashAtEndOfPeriod,3263000000.0,630000000.0,484000000.0,670000000.0,1684000000.0,609000000.0,566000000.0
,cashAtBeginningOfPeriod,630000000.0,484000000.0,670000000.0,1684000000.0,856000000.0,566000000.0,594000000.0
,operatingCashFlow,708000000.0,1384000000.0,1255000000.0,924000000.0,1350000000.0,1394000000.0,1366000000.0
,capitalExpenditure,-92000000.0,-205000000.0,-159000000.0,-208000000.0,-453000000.0,-409000000.0,-402000000.0
,freeCashFlow,616000000.0,1179000000.0,1096000000.0,716000000.0,897000000.0,985000000.0,964000000.0
