date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-40379000.0,-53240000.0,-47149000.0,-51508000.0,-43157000.0
,depreciationAndAmortization,1853000.0,1668000.0,575000.0,1744000.0,2052000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,4424000.0,5057000.0,5168000.0,4294000.0,4479000.0
,changeInWorkingCapital,-28882000.0,-33989000.0,42313000.0,-29109000.0,-27305000.0
,accountsReceivables,-203000.0,-383000.0,1484000.0,4300000.0,-2547000.0
,inventory,957000.0,-3392000.0,102000.0,920000.0,-1688000.0
,accountsPayables,1016000.0,-19000.0,458000.0,309000.0,-437000.0
,otherWorkingCapital,29195000.0,58077000.0,92066000.0,49753000.0,78862000.0
,otherNonCashItems,24479000.0,29324000.0,-29982000.0,44814000.0,34536000.0
,netCashProvidedByOperatingActivites,-38505000.0,-51180000.0,-29075000.0,-29765000.0,-29395000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1855000.0,-3470000.0,-819000.0,-2405000.0,-3720000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-44611000.0,-100068000.0,-30558000.0,-7565000.0,-996000.0
,salesMaturitiesOfInvestments,80605000.0,66975000.0,20500000.0,0.0,6525000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,34139000.0,-36563000.0,-10877000.0,-9970000.0,1809000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4667000.0,-12334000.0,-7718000.0,-3514000.0,0.0
,commonStockIssued,21337000.0,1233000.0,81525000.0,15694000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,286000.0,25553000.0,1218000.0,147000.0,-26000.0
,netCashUsedProvidedByFinancingActivities,16956000.0,14452000.0,75025000.0,12327000.0,-26000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,12590000.0,-73291000.0,35073000.0,-27408000.0,-27612000.0
,cashAtEndOfPeriod,27274000.0,14684000.0,88153000.0,52902000.0,80310000.0
,cashAtBeginningOfPeriod,14684000.0,87975000.0,53080000.0,80310000.0,107922000.0
,operatingCashFlow,-38505000.0,-51180000.0,-29075000.0,-29765000.0,-29395000.0
,capitalExpenditure,-1855000.0,-3470000.0,-819000.0,-2405000.0,-3720000.0
,freeCashFlow,-40360000.0,-54650000.0,-29894000.0,-32170000.0,-33115000.0
