date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-8391000.0,-78733000.0,-407088000.0,-44793000.0,-122210000.0,-31978000.0,-66940000.0,-42263000.0,30928000.0,127987000.0,361760000.0,-15567000.0,-71063000.0,-17359000.0,14917000.0,-897000.0,-62555000.0,-9747000.0,-123730000.0,10309000.0,-17880000.0,20400000.0,12700000.0,12300000.0,8000000.0,6800000.0,1500000.0,-400000.0
,depreciationAndAmortization,30697000.0,34399000.0,49998000.0,50095000.0,32650000.0,39850000.0,24573000.0,18425000.0,16192000.0,12892000.0,12854000.0,21616000.0,25089000.0,24991000.0,30080000.0,29811000.0,31264000.0,24858000.0,27929000.0,22654000.0,15551000.0,5800000.0,4700000.0,1600000.0,1600000.0,1200000.0,1400000.0,1300000.0
,deferredIncomeTax,-299000.0,360000.0,-27620000.0,-33875000.0,940000.0,2648000.0,-11330000.0,-12264000.0,-340000.0,11276000.0,-25141000.0,-414000.0,1569000.0,1332000.0,1370000.0,929000.0,39864000.0,-1370000.0,-22643000.0,-13406000.0,-22036000.0,-3300000.0,-1100000.0,-1700000.0,-600000.0,100000.0,-1300000.0,0.0
,stockBasedCompensation,12703000.0,15270000.0,16074000.0,24396000.0,15741000.0,17986000.0,18813000.0,13130000.0,14268000.0,12807000.0,9648000.0,8537000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,82596000.0,-2373000.0,-13509000.0,15537000.0,-21905000.0,-7350000.0,-98198000.0,-146745000.0,45121000.0,-53063000.0,322822000.0,148789000.0,-5988000.0,-73544000.0,18410000.0,12848000.0,-40664000.0,-93640000.0,-6917000.0,137560000.0,70663000.0,64300000.0,31100000.0,10900000.0,-2000000.0,-6000000.0,-1900000.0,-300000.0
,accountsReceivables,-30361000.0,0.0,0.0,4520000.0,-8667000.0,10715000.0,-25390000.0,38844000.0,31215000.0,56843000.0,-83160000.0,-24527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-11528000.0,14969000.0,-24678000.0,6336000.0,-5389000.0,-12312000.0,6513000.0,2753000.0,53937000.0,-19385000.0,-49535000.0,16969000.0,6202000.0,-1331000.0,-10518000.0,20741000.0,-10236000.0,8112000.0,3553000.0,-8399000.0,-20299000.0,-4700000.0,-8800000.0,-12200000.0,-5600000.0,-4900000.0,-2100000.0,-300000.0
,accountsPayables,15959000.0,0.0,0.0,0.0,0.0,0.0,0.0,7542000.0,-12106000.0,8098000.0,7299000.0,-542000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,440250000.0,357654000.0,360027000.0,373536000.0,357999000.0,379904000.0,387254000.0,485452000.0,632197000.0,587076000.0,640139000.0,317317000.0,168528000.0,174516000.0,248060000.0,229650000.0,216802000.0,257466000.0,351106000.0,358023000.0,220463000.0,149800000.0,85500000.0,54400000.0,43500000.0,0.0,0.0,0.0
,otherNonCashItems,0.0,12676000.0,11762000.0,10446000.0,0.0,0.0,-29368000.0,2800000.0,-444000.0,45692000.0,10880000.0,1603000.0,81625000.0,9701000.0,3049000.0,138000.0,1389000.0,0.0,5989000.0,0.0,0.0,-500000.0,1100000.0,800000.0,200000.0,-100000.0,-600000.0,-500000.0
,netCashProvidedByOperatingActivites,43021000.0,-7416000.0,-37738000.0,34146000.0,-23844000.0,15789000.0,42069000.0,727000.0,111963000.0,115442000.0,194214000.0,57849000.0,44264000.0,39185000.0,46015000.0,44910000.0,999000.0,21770000.0,-2157000.0,21743000.0,10312000.0,14000000.0,10800000.0,6800000.0,7200000.0,2000000.0,800000.0,100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,1624000.0,-10873000.0,-12654000.0,-24272000.0,-11479000.0,-13887000.0,-15588000.0,-9174000.0,-24994000.0,-60364000.0,-10724000.0,-8347000.0,-12806000.0,-9092000.0,-17401000.0,-11676000.0,-15476000.0,-8077000.0,-8644000.0,-19180000.0,-17810000.0,-10500000.0,-8100000.0,-9100000.0,-3800000.0,-1000000.0,-400000.0,-400000.0
,acquisitionsNet,0.0,0.0,-3000000.0,-402000000.0,0.0,0.0,-144000000.0,-71000000.0,0.0,-28000000.0,0.0,-3000000.0,-11000000.0,0.0,-3000000.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-248023000.0,-192988000.0,-93046000.0,-282947000.0,-103394000.0,-85838000.0,-160125000.0,-591490000.0,-175421000.0,-588453000.0,-506103000.0,-135000000.0,0.0,0.0,-163000.0,-103000.0,0.0,-3500000.0,-2585000.0,-308204000.0,-436013000.0,-395900000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,127349000.0,90065000.0,348927000.0,152301000.0,88647000.0,318276000.0,499645000.0,244929000.0,707649000.0,32971000.0,0.0,0.0,0.0,0.0,0.0,8835000.0,8607000.0,8621000.0,311580000.0,460031000.0,345000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,645000.0,0.0,2284000.0,-230000.0,1000000.0,350000.0,11000.0,3807000.0,75735000.0,137526000.0,0.0,0.0,0.0,1849000.0,0.0,0.0,0.0,0.0,0.0,2472000.0,-3300000.0,0.0,-4400000.0,0.0,0.0,-100000.0,0.0
,netCashUsedForInvestingActivites,-71792000.0,-75867000.0,-18297000.0,-357836000.0,46710000.0,-7078000.0,8103000.0,-168056000.0,48321000.0,106294000.0,-121129000.0,-154765000.0,-23684000.0,-8780000.0,-18736000.0,-24557000.0,-12746000.0,-131242000.0,2932000.0,-75361000.0,-4658000.0,-61600000.0,-8100000.0,-13500000.0,-3800000.0,-1000000.0,-500000.0,-400000.0
